,counter_hero,disadv,certain_win,num_match
0,Dark Seer,3.29%,44.24%,"14,199"
1,Slark,3.08%,49.43%,"60,546"
2,Lycan,3.05%,54.98%,"4,554"
3,Meepo,2.61%,45.22%,"10,416"
4,Shadow Demon,2.50%,52.74%,"12,028"
5,Outworld Destroyer,2.31%,50.52%,"28,076"
6,Lone Druid,2.25%,55.25%,"6,109"
7,Chen,2.16%,56.20%,"2,548"
8,Underlord,2.08%,45.58%,"22,011"
9,Alchemist,1.96%,54.73%,"15,122"
10,Ancient Apparition,1.95%,46.70%,"50,819"
11,Io,1.81%,56.44%,"8,018"
12,Undying,1.74%,50.96%,"22,488"
13,Grimstroke,1.71%,51.36%,"39,230"
14,Broodmother,1.68%,50.60%,"10,295"
15,Monkey King,1.55%,54.34%,"39,114"
16,Anti-Mage,1.53%,51.65%,"49,142"
17,Omniknight,1.52%,48.62%,"10,807"
18,Pangolier,1.51%,54.04%,"18,271"
19,Elder Titan,1.50%,49.92%,"8,628"
20,Naga Siren,1.42%,49.74%,"10,458"
21,Razor,1.42%,51.19%,"21,889"
22,Phantom Lancer,1.42%,50.62%,"40,722"
23,Beastmaster,1.34%,58.08%,"4,167"
24,Rubick,1.30%,56.29%,"49,593"
25,Lion,1.12%,52.28%,"106,350"
26,Dawnbreaker,1.11%,52.03%,"26,465"
27,Necrophos,1.10%,48.66%,"32,440"
28,Tusk,1.09%,56.17%,"20,538"
29,Medusa,1.09%,49.40%,"43,409"
30,Earthshaker,1.04%,54.17%,"39,055"
31,Troll Warlord,1.02%,53.52%,"22,102"
32,Keeper of the Light,1.02%,54.53%,"16,176"
33,Terrorblade,0.99%,54.10%,"22,909"
34,Lifestealer,0.95%,51.07%,"37,521"
35,Lina,0.95%,54.78%,"57,195"
36,Leshrac,0.90%,54.67%,"19,072"
37,Shadow Fiend,0.86%,54.10%,"61,354"
38,Lich,0.85%,52.92%,"30,962"
39,Enchantress,0.84%,56.55%,"16,028"
