,counter_hero,disadv,certain_win,num_match
0,Huskar,2.57%,42.14%,"22,246"
1,Morphling,2.46%,44.98%,"24,431"
2,Razor,2.23%,43.76%,"15,003"
3,Lifestealer,2.11%,43.34%,"27,738"
4,Slark,2.09%,43.78%,"45,176"
5,Shadow Fiend,1.99%,46.38%,"40,624"
6,Phantom Assassin,1.85%,47.34%,"47,574"
7,Slardar,1.83%,44.14%,"24,259"
8,Monkey King,1.71%,47.52%,"30,044"
9,Ancient Apparition,1.63%,40.45%,"32,188"
10,Terrorblade,1.61%,46.81%,"14,626"
11,Troll Warlord,1.45%,46.43%,"17,703"
12,Bristleback,1.36%,43.33%,"43,517"
13,Bounty Hunter,1.25%,45.22%,"24,831"
14,Juggernaut,1.03%,44.47%,"58,454"
15,Outworld Destroyer,0.96%,45.24%,"18,398"
16,Timbersaw,0.92%,47.64%,"24,970"
17,Sniper,0.87%,45.68%,"49,866"
18,Drow Ranger,0.86%,42.99%,"35,756"
19,Ogre Magi,0.85%,42.72%,"53,395"
20,Windranger,0.73%,44.65%,"48,428"
21,Queen of Pain,0.73%,48.45%,"22,117"
22,Witch Doctor,0.69%,46.48%,"38,565"
23,Necrophos,0.66%,42.51%,"23,038"
24,Enchantress,0.62%,50.07%,"11,286"
25,Chaos Knight,0.58%,42.64%,"22,660"
26,Lich,0.56%,46.57%,"21,661"
27,Crystal Maiden,0.55%,45.38%,"35,054"
28,Hoodwink,0.54%,44.65%,"30,073"
29,Omniknight,0.49%,43.07%,"7,311"
30,Leshrac,0.49%,48.41%,"12,114"
31,Gyrocopter,0.47%,47.24%,"16,661"
32,Nyx Assassin,0.47%,43.58%,"17,854"
33,Luna,0.45%,43.45%,"35,038"
34,Venomancer,0.44%,45.55%,"21,745"
35,Dazzle,0.43%,42.76%,"26,583"
36,Mirana,0.38%,44.42%,"36,331"
37,Spirit Breaker,0.36%,45.28%,"27,217"
38,Death Prophet,0.33%,49.80%,"9,637"
39,Bane,0.29%,47.47%,"6,176"
40,Lion,0.27%,46.41%,"72,397"
41,Lina,0.23%,48.80%,"39,155"
42,Skywrath Mage,0.16%,45.36%,"26,915"
43,Grimstroke,0.15%,46.26%,"24,959"
44,Tusk,0.15%,50.41%,"17,486"
45,Pugna,0.14%,48.13%,"12,789"
46,Vengeful Spirit,0.10%,45.79%,"15,216"
47,Pudge,0.05%,46.01%,"76,572"
48,Disruptor,0.04%,46.38%,"20,940"
49,Dragon Knight,0.04%,45.11%,"27,752"
50,Sven,0.04%,48.92%,"20,854"
51,Viper,0.03%,47.67%,"34,268"
52,Clockwerk,0.02%,46.98%,"14,649"
53,Storm Spirit,0.01%,49.21%,"24,836"
54,Dawnbreaker,-0.03%,46.53%,"17,269"
55,Treant Protector,-0.05%,43.95%,"17,487"
56,Dark Willow,-0.07%,45.67%,"19,296"
57,Silencer,-0.07%,43.13%,"29,532"
