,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,3.79%,51.14%,"129,229"
1,Broodmother,3.18%,50.66%,"26,735"
2,Lycan,3.03%,57.01%,"9,701"
3,Clinkz,2.75%,48.98%,"50,419"
4,Storm Spirit,2.69%,55.21%,"97,546"
5,Bane,2.62%,53.56%,"21,530"
6,Phantom Lancer,2.58%,51.08%,"93,197"
7,Nature's Prophet,2.55%,60.31%,"55,567"
8,Lone Druid,2.52%,56.92%,"12,471"
9,Weaver,2.43%,53.37%,"65,255"
10,Arc Warden,2.32%,49.08%,"38,136"
11,Void Spirit,2.22%,55.16%,"57,457"
12,Naga Siren,2.19%,50.51%,"22,702"
13,Visage,1.96%,51.78%,"10,736"
14,Brewmaster,1.94%,52.36%,"15,178"
15,Windranger,1.93%,51.74%,"162,717"
16,Tinker,1.91%,52.73%,"80,030"
17,Riki,1.83%,49.49%,"82,111"
18,Earth Spirit,1.83%,56.03%,"39,210"
19,Shadow Demon,1.76%,55.38%,"28,500"
20,Oracle,1.74%,55.95%,"42,687"
21,Doom,1.72%,57.11%,"61,973"
22,Night Stalker,1.61%,52.40%,"35,213"
23,Beastmaster,1.56%,60.03%,"9,318"
24,Batrider,1.55%,59.56%,"15,120"
25,Puck,1.52%,54.21%,"106,436"
26,Templar Assassin,1.49%,54.21%,"91,969"
27,Phantom Assassin,1.27%,56.47%,"155,941"
28,Mirana,1.26%,51.78%,"134,269"
29,Ember Spirit,1.24%,57.70%,"79,107"
30,Zeus,1.18%,51.53%,"108,146"
31,Tusk,1.17%,58.15%,"49,742"
32,Vengeful Spirit,1.17%,53.04%,"52,812"
33,Lina,1.10%,56.57%,"137,715"
34,Bounty Hunter,1.09%,53.72%,"78,363"
35,Shadow Shaman,1.07%,51.86%,"147,485"
36,Queen of Pain,1.04%,56.76%,"77,407"
37,Pangolier,1.01%,56.52%,"46,500"
38,Skywrath Mage,1.00%,52.82%,"88,257"
39,Ursa,0.95%,53.63%,"119,482"
40,Phoenix,0.94%,57.41%,"49,675"
41,Spirit Breaker,0.93%,53.01%,"81,657"
42,Chaos Knight,0.92%,50.38%,"69,909"
43,Silencer,0.83%,50.30%,"100,244"
44,Outworld Destroyer,0.79%,53.75%,"63,246"
45,Sniper,0.74%,54.14%,"145,743"
46,Hoodwink,0.72%,52.75%,"121,537"
47,Enchantress,0.72%,58.77%,"38,744"
48,Chen,0.72%,59.82%,"5,754"
49,Centaur Warrunner,0.71%,52.09%,"75,261"
50,Tiny,0.68%,60.41%,"70,260"
51,Lion,0.63%,54.48%,"268,223"
52,Mars,0.63%,56.99%,"104,730"
53,Wraith King,0.63%,50.54%,"143,434"
54,Faceless Void,0.63%,54.71%,"122,730"
55,Slardar,0.60%,53.67%,"76,034"
56,Nyx Assassin,0.58%,51.62%,"67,481"
57,Rubick,0.57%,59.12%,"132,976"
58,Snapfire,0.57%,58.08%,"81,298"
59,Legion Commander,0.56%,54.16%,"133,260"
60,Razor,0.52%,53.80%,"46,824"
61,Spectre,0.51%,50.47%,"122,771"
62,Keeper of the Light,0.51%,57.00%,"38,622"
63,Techies,0.46%,55.61%,"97,461"
64,Invoker,0.46%,54.78%,"192,023"
65,Crystal Maiden,0.45%,53.81%,"125,101"
66,Magnus,0.45%,56.43%,"75,046"
67,Enigma,0.40%,49.91%,"46,593"
68,Io,0.35%,60.16%,"20,400"
69,Terrorblade,0.35%,56.67%,"52,512"
70,Pudge,0.35%,54.09%,"269,874"
71,Clockwerk,0.31%,55.17%,"53,945"
72,Grimstroke,0.30%,54.54%,"105,131"
73,Drow Ranger,0.29%,51.67%,"121,071"
74,Sven,0.28%,57.27%,"57,255"
75,Viper,0.27%,55.93%,"108,194"
76,Disruptor,0.22%,54.63%,"79,713"
77,Shadow Fiend,0.22%,56.62%,"155,620"
78,Tidehunter,0.20%,54.62%,"74,426"
79,Elder Titan,0.16%,52.92%,"19,890"
80,Pugna,0.15%,56.68%,"42,253"
81,Jakiro,0.14%,52.95%,"79,090"
82,Axe,0.03%,52.70%,"155,917"
83,Dawnbreaker,0.02%,54.91%,"64,357"
84,Ogre Magi,-0.04%,51.66%,"183,602"
85,Earthshaker,-0.06%,57.16%,"91,139"
86,Medusa,-0.07%,52.09%,"97,752"
87,Lich,-0.13%,55.74%,"78,047"
88,Juggernaut,-0.17%,53.86%,"196,236"
89,Witch Doctor,-0.18%,55.81%,"143,294"
90,Dark Willow,-0.18%,54.13%,"76,313"
91,Venomancer,-0.19%,54.54%,"73,091"
92,Timbersaw,-0.19%,57.28%,"67,840"
93,Luna,-0.21%,52.25%,"113,508"
94,Kunkka,-0.25%,55.87%,"68,969"
95,Leshrac,-0.31%,57.88%,"45,647"
96,Dark Seer,-0.32%,49.23%,"34,546"
97,Warlock,-0.49%,53.36%,"62,902"
98,Meepo,-0.72%,50.03%,"21,176"
99,Death Prophet,-0.80%,59.65%,"27,591"
100,Alchemist,-0.82%,59.56%,"32,187"
101,Dragon Knight,-0.91%,54.34%,"93,099"
102,Sand King,-0.99%,52.14%,"92,397"
103,Bloodseeker,-1.05%,54.09%,"48,924"
104,Treant Protector,-1.10%,53.21%,"65,715"
105,Lifestealer,-1.33%,55.03%,"85,588"
106,Undying,-1.42%,55.92%,"51,316"
107,Gyrocopter,-1.56%,57.85%,"53,744"
108,Monkey King,-1.57%,59.38%,"82,464"
109,Troll Warlord,-1.70%,58.11%,"44,453"
