,counter_hero,disadv,certain_win,num_match
0,Meepo,8.70%,34.84%,"29,154"
1,Lone Druid,4.98%,49.46%,"13,712"
2,Troll Warlord,4.82%,46.50%,"58,051"
3,Slardar,4.71%,44.55%,"79,633"
4,Legion Commander,4.00%,45.86%,"148,907"
5,Phantom Assassin,3.83%,49.10%,"180,571"
6,Axe,3.15%,44.77%,"148,430"
7,Monkey King,2.83%,50.07%,"94,697"
8,Huskar,2.78%,45.12%,"71,424"
9,Templar Assassin,2.76%,47.98%,"93,234"
10,Ursa,2.70%,46.95%,"116,922"
11,Terrorblade,2.69%,49.32%,"56,049"
12,Riki,2.67%,43.70%,"85,639"
13,Kunkka,2.60%,48.03%,"70,684"
14,Earthshaker,2.29%,49.89%,"89,693"
15,Hoodwink,2.23%,46.31%,"102,561"
16,Puck,2.21%,48.56%,"104,064"
17,Bloodseeker,2.18%,45.81%,"67,268"
18,Magnus,2.18%,49.71%,"68,037"
19,Tiny,1.97%,54.11%,"64,088"
20,Outworld Destroyer,1.87%,47.72%,"62,694"
21,Enchantress,1.86%,52.61%,"34,442"
22,Sven,1.76%,50.89%,"62,155"
23,Lina,1.70%,51.08%,"140,227"
24,Dawnbreaker,1.62%,48.33%,"58,354"
25,Io,1.54%,53.91%,"18,856"
26,Slark,1.47%,47.71%,"146,702"
27,Spirit Breaker,1.43%,47.62%,"77,874"
28,Centaur Warrunner,1.43%,46.45%,"72,192"
29,Drow Ranger,1.42%,45.63%,"126,854"
30,Nyx Assassin,1.33%,45.95%,"60,643"
31,Shadow Fiend,1.31%,50.63%,"147,298"
32,Luna,1.23%,45.90%,"118,077"
33,Lycan,1.22%,54.01%,"9,477"
34,Shadow Shaman,1.18%,46.83%,"143,764"
35,Snapfire,1.13%,52.53%,"71,579"
36,Clinkz,1.08%,45.78%,"52,597"
37,Tusk,1.08%,53.32%,"47,628"
38,Disruptor,1.08%,48.82%,"73,531"
39,Crystal Maiden,1.04%,48.31%,"125,038"
40,Night Stalker,1.01%,48.12%,"31,170"
41,Naga Siren,0.99%,46.84%,"24,139"
42,Alchemist,0.95%,52.86%,"36,049"
43,Viper,0.74%,50.56%,"104,892"
44,Beastmaster,0.73%,56.01%,"9,359"
45,Silencer,0.69%,45.51%,"107,508"
46,Jakiro,0.68%,47.48%,"73,615"
47,Earth Spirit,0.66%,52.27%,"33,948"
48,Elder Titan,0.65%,47.51%,"17,970"
49,Bounty Hunter,0.60%,49.33%,"78,295"
50,Pangolier,0.58%,52.00%,"41,315"
51,Lion,0.56%,49.64%,"270,856"
52,Vengeful Spirit,0.56%,48.75%,"51,426"
53,Chen,0.53%,55.08%,"5,536"
54,Invoker,0.49%,49.84%,"199,047"
55,Ember Spirit,0.45%,53.52%,"69,776"
56,Mirana,0.44%,47.68%,"123,639"
57,Doom,0.43%,53.52%,"61,062"
58,Dazzle,0.42%,45.94%,"96,799"
59,Bane,0.30%,51.07%,"20,695"
60,Grimstroke,0.25%,49.64%,"92,806"
61,Visage,0.09%,48.84%,"9,377"
62,Nature's Prophet,0.09%,58.04%,"61,649"
63,Dragon Knight,0.04%,48.49%,"92,526"
64,Weaver,0.03%,50.94%,"68,531"
65,Windranger,0.02%,48.71%,"163,585"
66,Keeper of the Light,-0.02%,52.65%,"39,677"
67,Venomancer,-0.05%,49.49%,"70,411"
68,Dark Willow,-0.06%,49.08%,"69,872"
69,Rubick,-0.12%,54.88%,"127,666"
70,Batrider,-0.15%,56.37%,"13,771"
71,Shadow Demon,-0.20%,52.51%,"28,188"
72,Witch Doctor,-0.27%,50.97%,"136,886"
73,Warlock,-0.28%,48.22%,"55,964"
74,Phoenix,-0.35%,53.72%,"40,815"
75,Queen of Pain,-0.45%,53.39%,"80,876"
76,Mars,-0.46%,53.14%,"93,677"
77,Lifestealer,-0.47%,49.27%,"90,388"
78,Tidehunter,-0.50%,50.42%,"69,570"
79,Chaos Knight,-0.53%,46.96%,"71,586"
80,Enigma,-0.57%,46.00%,"48,181"
81,Gyrocopter,-0.65%,52.00%,"54,056"
82,Leshrac,-0.71%,53.38%,"46,701"
83,Treant Protector,-0.88%,48.07%,"58,233"
84,Pudge,-0.99%,50.43%,"243,024"
85,Timbersaw,-1.00%,53.26%,"75,021"
86,Faceless Void,-1.06%,51.51%,"157,437"
87,Void Spirit,-1.18%,53.73%,"52,640"
88,Oracle,-1.26%,54.07%,"36,014"
89,Broodmother,-1.46%,50.64%,"23,093"
90,Undying,-1.54%,51.13%,"48,392"
91,Sniper,-1.56%,51.52%,"157,646"
92,Omniknight,-1.58%,48.47%,"23,320"
93,Lich,-1.62%,52.35%,"76,242"
94,Abaddon,-1.65%,48.34%,"49,142"
95,Arc Warden,-1.73%,48.43%,"35,163"
96,Skywrath Mage,-1.75%,50.70%,"110,657"
97,Underlord,-1.91%,46.12%,"47,674"
98,Juggernaut,-1.93%,50.65%,"214,159"
99,Ogre Magi,-2.07%,48.70%,"192,093"
100,Phantom Lancer,-2.11%,50.93%,"95,176"
101,Clockwerk,-2.18%,52.81%,"48,162"
102,Techies,-2.19%,53.42%,"113,296"
103,Razor,-2.33%,51.85%,"47,621"
104,Wraith King,-2.47%,48.67%,"159,727"
105,Death Prophet,-2.49%,56.59%,"30,581"
106,Sand King,-2.50%,48.75%,"92,435"
107,Dark Seer,-2.52%,46.62%,"33,991"
108,Brewmaster,-2.68%,52.32%,"12,889"
109,Spectre,-2.94%,49.00%,"122,111"
110,Bristleback,-3.10%,50.97%,"145,996"
111,Winter Wyvern,-3.35%,49.93%,"103,622"
112,Storm Spirit,-3.40%,56.45%,"89,641"
113,Pugna,-3.58%,55.69%,"45,077"
114,Morphling,-3.62%,54.66%,"88,409"
115,Necrophos,-3.70%,50.14%,"73,454"
116,Ancient Apparition,-3.79%,48.86%,"129,230"
117,Tinker,-3.90%,53.76%,"79,863"
118,Zeus,-5.65%,53.48%,"120,868"
119,Medusa,-7.45%,54.60%,"140,215"
