,counter_hero,disadv,certain_win,num_match
0,Meepo,6.73%,41.11%,"8,270"
1,Broodmother,6.67%,45.55%,"7,828"
2,Lycan,6.34%,51.53%,"2,851"
3,Morphling,3.36%,50.69%,"26,070"
4,Phantom Lancer,3.20%,48.86%,"25,250"
5,Chaos Knight,3.05%,46.80%,"19,959"
6,Slark,2.78%,49.68%,"37,621"
7,Naga Siren,2.70%,48.45%,"7,017"
8,Storm Spirit,2.54%,53.34%,"27,593"
9,Phantom Assassin,2.51%,53.30%,"44,735"
10,Bristleback,2.44%,48.88%,"42,633"
11,Legion Commander,2.42%,50.62%,"38,816"
12,Io,2.35%,55.80%,"6,416"
13,Centaur Warrunner,2.16%,49.05%,"21,239"
14,Dazzle,2.16%,47.68%,"29,662"
15,Void Spirit,2.12%,53.27%,"16,469"
16,Tusk,1.92%,55.23%,"13,074"
17,Kunkka,1.78%,51.98%,"19,955"
18,Spirit Breaker,1.76%,50.51%,"22,797"
19,Anti-Mage,1.58%,51.57%,"35,165"
20,Pudge,1.46%,51.34%,"76,674"
21,Pangolier,1.46%,54.00%,"12,596"
22,Ember Spirit,1.36%,55.39%,"20,192"
23,Abaddon,1.34%,48.67%,"14,700"
24,Warlock,1.28%,49.93%,"17,007"
25,Mars,1.25%,54.32%,"28,905"
26,Crystal Maiden,1.20%,51.33%,"34,212"
27,Dawnbreaker,1.20%,51.90%,"18,936"
28,Earth Spirit,1.19%,54.62%,"11,426"
29,Bane,1.17%,53.18%,"6,358"
30,Bounty Hunter,1.06%,51.98%,"22,001"
31,Oracle,1.01%,54.57%,"11,377"
32,Weaver,0.90%,53.08%,"18,772"
33,Spectre,0.85%,48.67%,"35,181"
34,Juggernaut,0.75%,51.30%,"56,615"
35,Slardar,0.75%,51.77%,"21,136"
36,Tinker,0.72%,52.16%,"25,636"
37,Elder Titan,0.72%,50.69%,"5,796"
38,Magnus,0.67%,54.20%,"20,894"
39,Omniknight,0.60%,49.55%,"7,059"
40,Invoker,0.60%,52.81%,"59,154"
41,Faceless Void,0.56%,52.95%,"37,308"
42,Jakiro,0.56%,50.86%,"21,279"
43,Enchantress,0.54%,56.74%,"10,942"
44,Batrider,0.53%,58.25%,"4,319"
45,Alchemist,0.49%,56.08%,"9,696"
46,Visage,0.49%,51.62%,"3,365"
47,Queen of Pain,0.42%,55.33%,"21,193"
48,Clockwerk,0.39%,53.19%,"14,466"
49,Sven,0.38%,55.16%,"16,647"
50,Keeper of the Light,0.37%,55.09%,"11,141"
51,Lone Druid,0.35%,57.07%,"4,603"
52,Lich,0.35%,53.35%,"21,367"
53,Earthshaker,0.33%,54.78%,"26,264"
54,Wraith King,0.33%,49.35%,"40,627"
55,Lifestealer,0.24%,51.75%,"27,119"
56,Tiny,0.23%,58.46%,"18,931"
57,Witch Doctor,0.23%,53.50%,"38,620"
58,Snapfire,0.21%,56.25%,"22,082"
59,Leshrac,0.17%,55.30%,"12,599"
60,Timbersaw,0.16%,54.96%,"22,490"
61,Treant Protector,0.14%,50.34%,"18,449"
62,Brewmaster,0.14%,52.47%,"3,932"
63,Axe,0.12%,51.00%,"47,516"
64,Sand King,0.11%,49.52%,"25,729"
65,Shadow Demon,0.11%,55.05%,"7,836"
66,Tidehunter,0.05%,52.95%,"20,921"
67,Vengeful Spirit,0.02%,52.45%,"15,462"
68,Mirana,-0.05%,51.40%,"36,155"
69,Ogre Magi,-0.06%,50.12%,"49,979"
70,Monkey King,-0.09%,55.85%,"26,529"
71,Riki,-0.10%,49.93%,"22,240"
72,Rubick,-0.12%,57.53%,"36,097"
73,Outworld Destroyer,-0.19%,52.95%,"17,599"
74,Dark Seer,-0.20%,47.80%,"9,646"
75,Zeus,-0.27%,51.35%,"31,799"
76,Shadow Fiend,-0.34%,55.13%,"53,886"
77,Nature's Prophet,-0.41%,60.87%,"18,136"
78,Bloodseeker,-0.42%,51.77%,"15,058"
79,Beastmaster,-0.44%,59.73%,"2,853"
80,Dark Willow,-0.44%,52.62%,"20,840"
81,Nyx Assassin,-0.47%,51.08%,"18,401"
82,Huskar,-0.49%,51.73%,"19,668"
83,Skywrath Mage,-0.52%,52.60%,"26,153"
84,Ursa,-0.55%,53.30%,"34,017"
85,Winter Wyvern,-0.66%,50.58%,"31,575"
86,Undying,-0.69%,53.33%,"14,646"
87,Pugna,-0.69%,55.54%,"12,541"
88,Sniper,-0.69%,53.72%,"46,406"
89,Lina,-0.71%,56.26%,"40,624"
90,Underlord,-0.74%,48.44%,"14,167"
91,Night Stalker,-0.85%,53.16%,"9,085"
92,Lion,-0.89%,54.01%,"74,639"
93,Disruptor,-0.95%,53.94%,"21,891"
94,Hoodwink,-1.00%,52.71%,"34,451"
95,Death Prophet,-1.02%,57.72%,"8,420"
96,Troll Warlord,-1.05%,55.50%,"14,694"
97,Clinkz,-1.19%,51.47%,"14,353"
98,Phoenix,-1.28%,57.45%,"14,417"
99,Grimstroke,-1.28%,54.22%,"29,370"
100,Chen,-1.32%,59.64%,"1,965"
101,Enigma,-1.40%,50.29%,"15,213"
102,Luna,-1.44%,51.84%,"34,208"
103,Puck,-1.61%,55.37%,"28,870"
104,Shadow Shaman,-1.62%,52.78%,"40,701"
