,counter_hero,disadv,certain_win,num_match
0,Outworld Destroyer,3.27%,48.68%,"82,979"
1,Batrider,2.97%,53.32%,"22,346"
2,Leshrac,2.97%,51.46%,"46,350"
3,Timbersaw,2.61%,52.65%,"98,882"
4,Venomancer,2.56%,47.55%,"93,886"
5,Death Prophet,2.55%,53.94%,"32,425"
6,Ursa,2.43%,49.25%,"138,808"
7,Pugna,2.37%,52.69%,"54,934"
8,Viper,2.34%,51.48%,"143,080"
9,Ember Spirit,2.05%,54.10%,"83,401"
10,Razor,1.93%,50.38%,"59,517"
11,Phoenix,1.83%,53.15%,"45,946"
12,Tinker,1.77%,51.80%,"122,400"
13,Necrophos,1.71%,46.54%,"101,025"
14,Io,1.69%,53.27%,"23,925"
15,Gyrocopter,1.65%,52.27%,"104,289"
16,Witch Doctor,1.62%,51.11%,"165,754"
17,Sand King,1.59%,46.98%,"135,247"
18,Clockwerk,1.55%,50.97%,"55,870"
19,Doom,1.54%,55.22%,"65,259"
20,Warlock,1.53%,49.02%,"55,285"
21,Lifestealer,1.50%,50.19%,"111,414"
22,Jakiro,1.47%,48.13%,"99,077"
23,Alchemist,1.45%,54.37%,"43,710"
24,Monkey King,1.42%,51.54%,"157,673"
25,Kunkka,1.31%,50.88%,"105,827"
26,Keeper of the Light,1.30%,52.68%,"82,243"
27,Tiny,1.26%,56.53%,"74,077"
28,Spectre,1.23%,47.94%,"149,529"
29,Abaddon,1.19%,47.41%,"77,094"
30,Pudge,1.01%,50.15%,"354,828"
31,Tusk,0.96%,55.64%,"62,117"
32,Dragon Knight,0.94%,51.03%,"121,186"
33,Lich,0.92%,51.34%,"95,543"
34,Elder Titan,0.91%,50.18%,"21,684"
35,Sven,0.90%,50.13%,"102,707"
36,Zeus,0.88%,49.05%,"145,545"
37,Spirit Breaker,0.82%,50.59%,"128,913"
38,Treant Protector,0.79%,48.36%,"74,878"
39,Luna,0.78%,47.90%,"201,604"
40,Shadow Demon,0.76%,52.89%,"36,534"
41,Snapfire,0.74%,55.17%,"65,949"
42,Dawnbreaker,0.61%,51.09%,"84,782"
43,Dark Seer,0.59%,46.70%,"44,615"
44,Omniknight,0.58%,47.06%,"36,647"
45,Puck,0.57%,53.56%,"99,299"
46,Grimstroke,0.54%,51.60%,"113,898"
47,Shadow Shaman,0.52%,49.83%,"175,958"
48,Undying,0.50%,52.11%,"86,412"
49,Tidehunter,0.50%,51.28%,"109,870"
50,Magnus,0.49%,53.07%,"97,835"
51,Mars,0.49%,54.26%,"113,783"
52,Silencer,0.48%,46.97%,"151,782"
53,Skywrath Mage,0.47%,49.50%,"119,094"
54,Bristleback,0.46%,50.50%,"191,907"
55,Earth Spirit,0.44%,53.85%,"43,785"
56,Centaur Warrunner,0.43%,49.42%,"78,193"
57,Wraith King,0.40%,48.67%,"153,029"
58,Night Stalker,0.37%,49.29%,"53,612"
59,Chen,0.36%,53.69%,"9,566"
60,Pangolier,0.28%,53.89%,"70,965"
61,Lone Druid,0.27%,54.64%,"17,328"
62,Disruptor,0.26%,50.59%,"94,314"
63,Invoker,0.25%,52.80%,"247,262"
64,Earthshaker,0.23%,53.05%,"125,653"
65,Underlord,0.23%,46.94%,"61,948"
66,Oracle,0.21%,54.43%,"47,779"
67,Crystal Maiden,0.21%,51.43%,"143,955"
68,Ancient Apparition,0.18%,47.86%,"138,716"
69,Bounty Hunter,0.12%,52.45%,"122,133"
70,Medusa,0.11%,48.91%,"140,513"
71,Ogre Magi,0.08%,48.47%,"237,485"
72,Slardar,0.02%,51.53%,"105,061"
73,Vengeful Spirit,0.02%,49.39%,"90,408"
74,Queen of Pain,0.01%,53.96%,"106,835"
75,Slark,0.00%,49.42%,"206,555"
76,Enchantress,-0.04%,57.02%,"35,395"
77,Shadow Fiend,-0.07%,53.86%,"197,004"
78,Bloodseeker,-0.16%,49.72%,"75,048"
79,Arc Warden,-0.21%,49.36%,"47,690"
80,Riki,-0.21%,49.20%,"106,856"
81,Enigma,-0.29%,48.11%,"73,027"
82,Void Spirit,-0.34%,52.88%,"75,845"
83,Rubick,-0.38%,57.42%,"155,097"
84,Lion,-0.39%,53.31%,"307,249"
85,Techies,-0.45%,53.62%,"129,016"
86,Huskar,-0.46%,50.21%,"92,807"
87,Bane,-0.49%,51.81%,"31,412"
88,Hoodwink,-0.52%,51.77%,"153,410"
89,Juggernaut,-0.59%,51.53%,"235,112"
90,Brewmaster,-0.63%,51.69%,"24,237"
91,Legion Commander,-0.67%,51.46%,"201,358"
92,Nature's Prophet,-0.73%,60.88%,"78,956"
93,Nyx Assassin,-0.76%,50.43%,"79,626"
94,Storm Spirit,-0.81%,54.82%,"112,143"
95,Drow Ranger,-0.82%,51.77%,"164,716"
96,Templar Assassin,-0.82%,53.71%,"111,898"
97,Clinkz,-0.93%,49.87%,"88,163"
98,Chaos Knight,-1.01%,51.17%,"99,122"
99,Winter Wyvern,-1.05%,50.10%,"126,568"
100,Dark Willow,-1.11%,52.75%,"95,698"
101,Dazzle,-1.13%,49.55%,"196,449"
102,Sniper,-1.15%,52.26%,"225,128"
103,Weaver,-1.27%,54.20%,"90,887"
104,Mirana,-1.29%,51.20%,"176,147"
105,Meepo,-1.30%,49.55%,"28,165"
106,Faceless Void,-1.30%,54.60%,"151,460"
107,Lina,-1.35%,56.29%,"196,089"
108,Beastmaster,-1.38%,53.98%,"20,983"
109,Phantom Assassin,-1.49%,56.42%,"197,122"
110,Visage,-1.65%,53.15%,"12,628"
111,Lycan,-1.85%,52.24%,"33,364"
112,Troll Warlord,-1.89%,55.14%,"60,860"
113,Windranger,-2.33%,53.73%,"217,972"
114,Terrorblade,-2.75%,58.57%,"51,151"
115,Broodmother,-2.86%,55.46%,"29,383"
116,Anti-Mage,-2.95%,54.36%,"148,077"
117,Morphling,-3.22%,56.17%,"98,491"
118,Naga Siren,-4.01%,54.19%,"24,871"
119,Phantom Lancer,-4.10%,54.97%,"106,344"
