,counter_hero,disadv,certain_win,num_match
0,Naga Siren,5.02%,41.85%,"4,712"
1,Meepo,4.37%,39.28%,"4,554"
2,Silencer,2.16%,43.30%,"18,193"
3,Wraith King,2.06%,43.45%,"24,567"
4,Chaos Knight,2.00%,43.58%,"13,172"
5,Abaddon,1.97%,43.79%,"10,049"
6,Phantom Lancer,1.67%,46.06%,"17,505"
7,Spectre,1.66%,43.63%,"20,336"
8,Terrorblade,1.61%,49.06%,"9,426"
9,Slardar,1.57%,46.67%,"13,047"
10,Drow Ranger,1.47%,44.72%,"21,643"
11,Dark Seer,1.43%,41.94%,"5,916"
12,Spirit Breaker,1.40%,46.56%,"14,844"
13,Undying,1.30%,47.06%,"9,093"
14,Axe,1.26%,45.63%,"26,691"
15,Earthshaker,1.22%,49.57%,"15,848"
16,Kunkka,1.22%,48.20%,"12,339"
17,Lycan,1.18%,52.37%,"2,001"
18,Batrider,1.16%,53.23%,"2,848"
19,Luna,1.08%,45.15%,"20,283"
20,Visage,1.06%,46.72%,"1,954"
21,Medusa,0.98%,45.22%,"17,168"
22,Pudge,0.94%,47.49%,"45,594"
23,Tidehunter,0.84%,47.85%,"13,842"
24,Omniknight,0.78%,45.09%,"4,518"
25,Treant Protector,0.71%,45.49%,"10,749"
26,Dawnbreaker,0.70%,48.06%,"11,129"
27,Sniper,0.68%,48.11%,"27,296"
28,Slark,0.64%,47.41%,"23,523"
29,Death Prophet,0.64%,51.70%,"5,861"
30,Witch Doctor,0.60%,48.82%,"23,939"
31,Enigma,0.60%,44.04%,"8,458"
32,Brewmaster,0.56%,47.72%,"2,609"
33,Dazzle,0.47%,45.03%,"17,524"
34,Beastmaster,0.46%,54.40%,"1,862"
35,Bounty Hunter,0.45%,48.27%,"14,287"
36,Earth Spirit,0.44%,50.99%,"6,472"
37,Sand King,0.42%,44.95%,"15,668"
38,Queen of Pain,0.42%,50.97%,"13,319"
39,Elder Titan,0.41%,46.70%,"3,816"
40,Ogre Magi,0.39%,45.43%,"30,358"
41,Doom,0.29%,52.02%,"10,443"
42,Winter Wyvern,0.29%,45.38%,"18,187"
43,Dark Willow,0.28%,47.60%,"12,732"
44,Dragon Knight,0.26%,47.17%,"16,770"
45,Ursa,0.24%,48.22%,"19,791"
46,Bloodseeker,0.22%,46.83%,"9,884"
47,Crystal Maiden,0.20%,47.98%,"21,666"
48,Rubick,0.18%,52.86%,"21,990"
49,Storm Spirit,0.18%,51.26%,"15,175"
50,Necrophos,0.15%,45.32%,"12,073"
51,Pugna,0.10%,50.40%,"7,740"
52,Ember Spirit,0.08%,52.27%,"12,070"
53,Clockwerk,0.01%,49.23%,"9,275"
54,Shadow Shaman,-0.02%,46.96%,"23,901"
55,Oracle,-0.03%,51.23%,"6,769"
56,Magnus,-0.05%,50.55%,"12,078"
57,Razor,-0.06%,48.30%,"8,350"
58,Underlord,-0.07%,43.53%,"8,654"
59,Venomancer,-0.08%,48.32%,"12,711"
60,Nature's Prophet,-0.08%,56.12%,"10,234"
61,Outworld Destroyer,-0.10%,48.54%,"10,805"
62,Monkey King,-0.11%,51.50%,"15,385"
63,Warlock,-0.11%,47.00%,"10,494"
64,Invoker,-0.14%,49.16%,"32,313"
65,Tusk,-0.15%,52.91%,"8,685"
66,Gyrocopter,-0.15%,50.10%,"9,463"
67,Mirana,-0.16%,47.21%,"21,993"
68,Templar Assassin,-0.16%,49.62%,"15,153"
69,Shadow Demon,-0.18%,50.99%,"5,409"
70,Puck,-0.18%,49.65%,"16,931"
71,Anti-Mage,-0.19%,48.93%,"20,697"
72,Disruptor,-0.20%,48.88%,"13,237"
73,Broodmother,-0.21%,48.15%,"4,538"
74,Vengeful Spirit,-0.24%,48.38%,"9,477"
75,Lich,-0.26%,49.61%,"13,507"
76,Centaur Warrunner,-0.26%,47.12%,"12,777"
77,Zeus,-0.29%,47.06%,"19,481"
78,Huskar,-0.31%,47.26%,"11,579"
79,Alchemist,-0.32%,52.52%,"6,177"
80,Viper,-0.33%,50.25%,"19,362"
81,Riki,-0.34%,45.89%,"14,056"
82,Tiny,-0.34%,54.62%,"11,465"
83,Lion,-0.40%,49.25%,"43,146"
84,Tinker,-0.40%,48.92%,"13,281"
85,Troll Warlord,-0.41%,50.52%,"8,830"
86,Sven,-0.47%,51.64%,"10,766"
87,Io,-0.49%,54.23%,"3,699"
88,Void Spirit,-0.54%,51.53%,"9,565"
89,Leshrac,-0.54%,51.64%,"7,972"
90,Lina,-0.56%,51.76%,"23,981"
91,Grimstroke,-0.57%,49.20%,"16,879"
92,Nyx Assassin,-0.58%,46.89%,"11,346"
93,Hoodwink,-0.61%,48.02%,"20,227"
94,Skywrath Mage,-0.62%,48.39%,"16,027"
95,Phoenix,-0.63%,52.42%,"8,135"
96,Shadow Fiend,-0.68%,51.11%,"26,377"
97,Clinkz,-0.78%,46.76%,"8,695"
98,Enchantress,-0.78%,53.66%,"7,346"
99,Pangolier,-0.88%,51.97%,"7,674"
100,Weaver,-0.90%,50.50%,"11,422"
101,Techies,-0.92%,50.69%,"17,105"
102,Jakiro,-0.95%,48.04%,"13,592"
103,Lone Druid,-0.99%,54.01%,"2,631"
104,Mars,-1.01%,52.14%,"17,134"
105,Chen,-1.06%,54.94%,"1,154"
106,Snapfire,-1.07%,53.13%,"13,366"
107,Legion Commander,-1.10%,49.63%,"22,778"
108,Arc Warden,-1.12%,46.82%,"6,358"
109,Windranger,-1.28%,48.79%,"28,155"
110,Phantom Assassin,-1.32%,52.53%,"25,955"
111,Night Stalker,-1.34%,49.34%,"5,955"
112,Keeper of the Light,-1.37%,52.45%,"7,153"
113,Juggernaut,-1.69%,49.21%,"32,418"
114,Timbersaw,-1.96%,52.67%,"12,843"
115,Morphling,-1.97%,51.52%,"14,194"
116,Faceless Void,-2.17%,51.22%,"21,478"
117,Ancient Apparition,-2.21%,46.44%,"21,529"
118,Bristleback,-2.36%,49.08%,"25,206"
119,Lifestealer,-2.77%,50.34%,"14,613"
