,counter_hero,disadv,certain_win,num_match
0,Slark,3.74%,40.18%,"17,792"
1,Queen of Pain,3.25%,43.87%,"10,104"
2,Beastmaster,2.86%,47.61%,"1,464"
3,Legion Commander,2.70%,41.71%,"16,927"
4,Viper,2.59%,43.12%,"14,218"
5,Weaver,2.59%,42.75%,"8,512"
6,Abaddon,2.33%,39.10%,"7,181"
7,Brewmaster,2.15%,41.78%,"1,807"
8,Crystal Maiden,2.06%,41.87%,"14,511"
9,Oracle,2.04%,44.81%,"4,744"
10,Storm Spirit,1.93%,45.21%,"11,095"
11,Medusa,1.91%,39.99%,"11,955"
12,Lifestealer,1.88%,41.52%,"11,155"
13,Puck,1.85%,43.35%,"12,911"
14,Phantom Lancer,1.63%,41.75%,"11,272"
15,Huskar,1.54%,41.11%,"8,209"
16,Omniknight,1.54%,40.01%,"3,187"
17,Underlord,1.43%,37.73%,"6,154"
18,Faceless Void,1.42%,43.47%,"15,799"
19,Silencer,1.42%,39.66%,"11,562"
20,Windranger,1.35%,42.01%,"20,497"
21,Grimstroke,1.26%,43.10%,"11,529"
22,Lich,1.19%,43.86%,"9,305"
23,Juggernaut,1.18%,42.26%,"23,931"
24,Shadow Shaman,0.94%,41.73%,"16,999"
25,Ogre Magi,0.92%,40.61%,"21,496"
26,Razor,0.87%,43.04%,"6,603"
27,Ember Spirit,0.86%,47.13%,"9,461"
28,Vengeful Spirit,0.84%,42.97%,"6,704"
29,Leshrac,0.84%,45.91%,"6,467"
30,Venomancer,0.84%,43.08%,"9,306"
31,Anti-Mage,0.82%,43.63%,"13,772"
32,Gyrocopter,0.78%,44.83%,"7,172"
33,Witch Doctor,0.70%,44.37%,"15,563"
34,Alchemist,0.66%,47.18%,"4,714"
35,Nyx Assassin,0.60%,41.40%,"8,140"
36,Sand King,0.60%,40.45%,"11,525"
37,Bloodseeker,0.58%,42.15%,"6,994"
38,Outworld Destroyer,0.58%,43.53%,"7,904"
39,Tidehunter,0.56%,43.77%,"9,593"
40,Sniper,0.53%,43.91%,"18,919"
41,Dazzle,0.52%,40.64%,"10,964"
42,Jakiro,0.52%,42.27%,"9,683"
43,Disruptor,0.50%,43.85%,"9,126"
44,Spirit Breaker,0.48%,43.10%,"10,672"
45,Mirana,0.42%,42.32%,"16,551"
46,Pangolier,0.42%,46.31%,"6,446"
47,Chaos Knight,0.39%,40.81%,"8,594"
48,Invoker,0.36%,44.35%,"22,886"
49,Riki,0.29%,40.95%,"9,961"
50,Dark Willow,0.28%,43.25%,"8,787"
51,Bristleback,0.26%,42.30%,"17,651"
52,Rubick,0.24%,48.43%,"15,673"
53,Skywrath Mage,0.22%,43.24%,"11,018"
54,Slardar,0.17%,43.68%,"9,563"
55,Mars,0.14%,46.66%,"12,768"
56,Lina,0.10%,46.78%,"16,564"
57,Magnus,0.04%,46.10%,"9,442"
58,Night Stalker,0.00%,43.66%,"4,327"
59,Void Spirit,-0.01%,46.64%,"7,315"
60,Lycan,-0.02%,49.20%,"1,494"
61,Luna,-0.04%,41.88%,"14,891"
62,Bounty Hunter,-0.05%,44.40%,"10,537"
63,Lion,-0.09%,44.64%,"29,553"
64,Death Prophet,-0.11%,48.06%,"4,182"
65,Drow Ranger,-0.12%,41.88%,"14,358"
66,Troll Warlord,-0.14%,45.90%,"6,283"
67,Zeus,-0.22%,42.66%,"13,527"
68,Phoenix,-0.25%,47.67%,"5,760"
69,Pudge,-0.27%,44.21%,"31,805"
70,Undying,-0.30%,44.28%,"6,474"
71,Arc Warden,-0.36%,41.75%,"4,319"
72,Morphling,-0.40%,45.65%,"10,174"
73,Necrophos,-0.41%,41.53%,"8,773"
74,Snapfire,-0.44%,48.13%,"10,178"
75,Elder Titan,-0.44%,43.20%,"2,787"
76,Ancient Apparition,-0.44%,40.43%,"15,121"
77,Warlock,-0.50%,43.04%,"7,189"
78,Phantom Assassin,-0.54%,47.44%,"18,509"
79,Enigma,-0.58%,40.88%,"5,749"
80,Centaur Warrunner,-0.65%,43.16%,"9,029"
81,Doom,-0.69%,48.59%,"8,184"
82,Wraith King,-0.69%,41.70%,"16,692"
83,Pugna,-0.75%,46.87%,"5,756"
84,Clockwerk,-0.78%,45.65%,"6,964"
85,Dragon Knight,-0.96%,44.00%,"12,770"
86,Naga Siren,-0.99%,43.51%,"3,045"
87,Dark Seer,-0.99%,40.02%,"4,388"
88,Keeper of the Light,-1.02%,47.74%,"5,122"
89,Earthshaker,-1.06%,47.40%,"12,084"
90,Terrorblade,-1.07%,47.32%,"7,058"
91,Winter Wyvern,-1.10%,42.37%,"13,309"
92,Sven,-1.10%,47.89%,"7,872"
93,Bane,-1.13%,46.77%,"2,848"
94,Dawnbreaker,-1.19%,45.56%,"7,925"
95,Spectre,-1.22%,42.04%,"14,647"
96,Tiny,-1.30%,51.15%,"9,166"
97,Shadow Demon,-1.32%,47.76%,"3,901"
98,Enchantress,-1.40%,49.88%,"5,609"
99,Tusk,-1.45%,49.80%,"6,946"
100,Shadow Fiend,-1.47%,47.49%,"18,562"
101,Ursa,-1.93%,45.93%,"14,763"
102,Hoodwink,-1.95%,44.94%,"15,092"
103,Clinkz,-2.04%,43.67%,"5,793"
104,Treant Protector,-2.19%,43.99%,"8,174"
105,Tinker,-2.20%,46.32%,"9,072"
106,Earth Spirit,-2.23%,49.26%,"5,175"
107,Techies,-2.34%,47.71%,"11,457"
108,Monkey King,-2.34%,49.28%,"11,514"
109,Timbersaw,-2.39%,48.69%,"11,048"
110,Kunkka,-2.54%,47.50%,"8,867"
111,Nature's Prophet,-2.75%,54.30%,"8,147"
112,Axe,-2.88%,45.14%,"19,726"
113,Visage,-3.30%,46.75%,"1,461"
114,Broodmother,-3.92%,47.49%,"3,251"
115,Meepo,-5.61%,44.92%,"2,787"
116,Templar Assassin,-5.61%,50.45%,"13,428"
117,Chen,-6.45%,55.97%,988
118,Lone Druid,-6.45%,55.09%,"2,013"
119,Io,-7.28%,56.62%,"2,842"
