,counter_hero,disadv,certain_win,num_match
0,Lycan,2.85%,45.86%,"1,038"
1,Rubick,2.22%,46.11%,"9,738"
2,Keeper of the Light,2.20%,44.12%,"3,434"
3,Silencer,1.97%,38.74%,"7,941"
4,Enchantress,1.87%,46.20%,"3,517"
5,Medusa,1.85%,39.64%,"8,078"
6,Bristleback,1.75%,40.49%,"11,971"
7,Winter Wyvern,1.52%,39.44%,"7,693"
8,Jakiro,1.51%,40.88%,"5,939"
9,Dark Seer,1.46%,37.19%,"2,775"
10,Sniper,1.43%,42.64%,"13,578"
11,Alchemist,1.41%,45.98%,"3,271"
12,Dazzle,1.36%,39.42%,"7,336"
13,Kunkka,1.33%,43.31%,"5,888"
14,Leshrac,1.28%,45.03%,"3,675"
15,Gyrocopter,1.26%,43.92%,"4,784"
16,Faceless Void,1.20%,43.24%,"10,317"
17,Doom,1.15%,46.36%,"4,845"
18,Chaos Knight,1.14%,39.67%,"5,984"
19,Axe,1.11%,41.02%,"12,649"
20,Sand King,1.09%,39.56%,"7,295"
21,Bloodseeker,1.09%,41.23%,"4,912"
22,Lich,1.02%,43.58%,"5,794"
23,Timbersaw,1.01%,44.98%,"6,345"
24,Queen of Pain,0.98%,45.61%,"6,628"
25,Clinkz,0.88%,40.38%,"4,099"
26,Weaver,0.85%,44.00%,"5,705"
27,Magnus,0.85%,44.87%,"5,685"
28,Shadow Fiend,0.81%,44.93%,"11,543"
29,Centaur Warrunner,0.73%,41.39%,"5,919"
30,Phantom Assassin,0.73%,45.79%,"12,733"
31,Tidehunter,0.73%,43.17%,"6,298"
32,Arc Warden,0.70%,40.27%,"2,853"
33,Skywrath Mage,0.70%,42.34%,"7,165"
34,Spectre,0.67%,39.83%,"9,452"
35,Drow Ranger,0.62%,40.76%,"10,151"
36,Underlord,0.57%,38.18%,"3,937"
37,Crystal Maiden,0.51%,42.91%,"9,495"
38,Wraith King,0.46%,40.20%,"10,926"
39,Slark,0.43%,42.83%,"10,232"
40,Sven,0.37%,46.00%,"5,448"
41,Vengeful Spirit,0.36%,43.01%,"4,357"
42,Phantom Lancer,0.34%,42.56%,"7,706"
43,Terrorblade,0.31%,45.52%,"4,334"
44,Mars,0.30%,46.07%,"7,708"
45,Venomancer,0.16%,43.30%,"6,041"
46,Ogre Magi,0.15%,40.90%,"14,016"
47,Invoker,0.14%,44.11%,"14,433"
48,Dawnbreaker,0.13%,43.83%,"5,117"
49,Legion Commander,0.11%,43.70%,"10,480"
50,Earthshaker,0.11%,45.83%,"7,661"
51,Storm Spirit,0.11%,46.51%,"6,882"
52,Pudge,0.09%,43.45%,"20,557"
53,Clockwerk,0.08%,44.37%,"4,050"
54,Warlock,0.03%,42.10%,"4,551"
55,Windranger,0.02%,42.81%,"12,987"
56,Anti-Mage,-0.02%,43.99%,"9,359"
57,Enigma,-0.03%,39.93%,"4,363"
58,Brewmaster,-0.07%,43.57%,"1,221"
59,Shadow Shaman,-0.10%,42.28%,"10,797"
60,Ember Spirit,-0.11%,47.63%,"5,656"
61,Tiny,-0.16%,49.58%,"5,419"
62,Witch Doctor,-0.16%,44.75%,"10,200"
63,Undying,-0.17%,43.71%,"4,415"
64,Viper,-0.17%,45.30%,"9,005"
65,Zeus,-0.22%,42.23%,"9,367"
66,Mirana,-0.24%,42.52%,"10,241"
67,Disruptor,-0.27%,44.15%,"5,705"
68,Lina,-0.31%,46.71%,"10,830"
69,Riki,-0.32%,41.12%,"6,647"
70,Spirit Breaker,-0.34%,43.46%,"7,013"
71,Luna,-0.37%,41.77%,"9,558"
72,Dark Willow,-0.38%,43.46%,"5,488"
73,Ancient Apparition,-0.39%,39.97%,"9,318"
74,Bane,-0.40%,45.60%,"1,862"
75,Juggernaut,-0.44%,43.30%,"15,455"
76,Elder Titan,-0.45%,42.78%,"1,877"
77,Hoodwink,-0.45%,43.10%,"9,200"
78,Grimstroke,-0.49%,44.34%,"7,095"
79,Tinker,-0.49%,44.23%,"5,614"
80,Pugna,-0.50%,46.18%,"3,716"
81,Dragon Knight,-0.53%,43.15%,"7,972"
82,Snapfire,-0.57%,47.81%,"6,128"
83,Puck,-0.61%,45.26%,"7,649"
84,Razor,-0.73%,44.18%,"4,129"
85,Earth Spirit,-0.74%,47.35%,"2,864"
86,Treant Protector,-0.76%,42.17%,"5,644"
87,Necrophos,-0.80%,41.48%,"5,766"
88,Night Stalker,-0.82%,44.03%,"2,723"
89,Morphling,-0.82%,45.61%,"6,501"
90,Pangolier,-0.84%,47.11%,"3,613"
91,Death Prophet,-0.89%,48.37%,"2,764"
92,Lion,-0.92%,44.92%,"19,800"
93,Void Spirit,-0.96%,47.12%,"4,359"
94,Abaddon,-0.98%,41.92%,"4,167"
95,Naga Siren,-1.11%,43.20%,"2,081"
96,Bounty Hunter,-1.20%,45.07%,"6,816"
97,Slardar,-1.29%,44.65%,"6,342"
98,Tusk,-1.40%,49.30%,"4,043"
99,Shadow Demon,-1.42%,47.40%,"2,367"
100,Techies,-1.44%,46.36%,"9,314"
101,Oracle,-1.52%,47.88%,"2,836"
102,Templar Assassin,-1.61%,46.22%,"6,662"
103,Lifestealer,-1.63%,44.46%,"7,000"
104,Outworld Destroyer,-1.73%,45.35%,"4,911"
105,Phoenix,-1.78%,48.72%,"3,629"
106,Omniknight,-1.99%,43.09%,"2,119"
107,Nature's Prophet,-2.06%,53.14%,"5,563"
108,Monkey King,-2.20%,48.69%,"7,274"
109,Meepo,-2.27%,41.17%,"2,096"
110,Nyx Assassin,-2.36%,43.86%,"5,372"
111,Huskar,-2.56%,44.67%,"5,621"
112,Troll Warlord,-2.76%,48.00%,"4,500"
113,Batrider,-2.87%,52.39%,"1,464"
114,Ursa,-3.02%,46.53%,"8,712"
115,Broodmother,-3.06%,46.19%,"2,128"
116,Visage,-3.56%,46.58%,876
117,Chen,-3.98%,53.01%,615
118,Lone Druid,-5.14%,53.29%,"1,488"
119,Io,-6.18%,55.03%,"1,870"
