,counter_hero,disadv,certain_win,num_match
0,Medusa,2.76%,46.37%,"47,904"
1,Juggernaut,2.75%,48.10%,"92,929"
2,Brewmaster,2.63%,48.59%,"6,434"
3,Techies,2.28%,50.63%,"46,927"
4,Lifestealer,2.27%,48.40%,"44,428"
5,Morphling,2.27%,50.42%,"37,130"
6,Tinker,2.19%,49.36%,"33,261"
7,Nature's Prophet,2.00%,57.37%,"32,319"
8,Enchantress,1.93%,54.12%,"19,618"
9,Troll Warlord,1.93%,51.27%,"30,646"
10,Storm Spirit,1.79%,52.79%,"43,487"
11,Naga Siren,1.76%,48.00%,"12,549"
12,Lone Druid,1.58%,54.61%,"7,387"
13,Zeus,1.52%,48.26%,"59,321"
14,Enigma,1.38%,46.10%,"21,923"
15,Spectre,1.37%,46.75%,"52,988"
16,Ancient Apparition,1.29%,45.92%,"48,924"
17,Chaos Knight,1.27%,47.15%,"38,468"
18,Wraith King,1.26%,47.06%,"67,582"
19,Clockwerk,1.24%,51.02%,"21,922"
20,Ogre Magi,1.23%,47.54%,"85,565"
21,Ember Spirit,1.18%,54.32%,"32,812"
22,Necrophos,1.11%,47.25%,"36,494"
23,Outworld Destroyer,1.01%,50.44%,"29,325"
24,Viper,0.94%,52.09%,"58,902"
25,Faceless Void,0.93%,51.29%,"61,972"
26,Pudge,0.93%,50.47%,"121,546"
27,Shadow Shaman,0.85%,49.08%,"66,772"
28,Meepo,0.84%,45.59%,"12,279"
29,Rubick,0.80%,55.43%,"53,803"
30,Lion,0.78%,51.21%,"114,768"
31,Monkey King,0.73%,53.80%,"46,782"
32,Terrorblade,0.71%,53.00%,"22,055"
33,Magnus,0.71%,52.86%,"28,710"
34,Spirit Breaker,0.68%,50.22%,"47,753"
35,Dragon Knight,0.67%,49.72%,"45,889"
36,Skywrath Mage,0.57%,50.21%,"47,474"
37,Tusk,0.57%,55.36%,"23,352"
38,Ursa,0.54%,50.92%,"51,356"
39,Sven,0.54%,53.77%,"34,242"
40,Winter Wyvern,0.53%,48.02%,"42,178"
41,Alchemist,0.49%,54.88%,"18,743"
42,Tiny,0.49%,57.02%,"30,473"
43,Treant Protector,0.43%,48.67%,"29,299"
44,Luna,0.41%,48.69%,"55,801"
45,Undying,0.41%,50.92%,"26,028"
46,Venomancer,0.40%,50.84%,"35,325"
47,Axe,0.38%,49.38%,"74,517"
48,Arc Warden,0.37%,48.24%,"15,056"
49,Pugna,0.33%,53.26%,"23,175"
50,Warlock,0.33%,49.51%,"25,072"
51,Elder Titan,0.32%,49.74%,"9,331"
52,Witch Doctor,0.26%,52.17%,"62,438"
53,Earthshaker,0.18%,53.66%,"45,705"
54,Gyrocopter,0.09%,52.92%,"26,928"
55,Sniper,0.07%,51.70%,"90,662"
56,Mars,0.05%,54.22%,"41,242"
57,Doom,0.02%,55.43%,"26,363"
58,Io,-0.02%,56.97%,"9,378"
59,Crystal Maiden,-0.04%,51.20%,"59,167"
60,Slardar,-0.09%,51.28%,"39,747"
61,Bane,-0.10%,53.17%,"9,884"
62,Dark Willow,-0.12%,50.96%,"31,785"
63,Legion Commander,-0.15%,51.74%,"67,470"
64,Lich,-0.17%,52.57%,"35,703"
65,Shadow Fiend,-0.18%,53.73%,"68,499"
66,Batrider,-0.23%,57.85%,"6,994"
67,Jakiro,-0.25%,50.31%,"34,883"
68,Hoodwink,-0.28%,50.67%,"50,597"
69,Vengeful Spirit,-0.29%,51.43%,"25,548"
70,Shadow Demon,-0.30%,54.21%,"13,031"
71,Lina,-0.32%,54.65%,"66,256"
72,Abaddon,-0.32%,48.93%,"25,411"
73,Disruptor,-0.35%,52.04%,"33,118"
74,Puck,-0.36%,52.86%,"41,870"
75,Queen of Pain,-0.38%,54.88%,"39,080"
76,Oracle,-0.43%,54.72%,"14,070"
77,Bristleback,-0.43%,50.23%,"76,185"
78,Phantom Lancer,-0.46%,51.08%,"46,109"
79,Dazzle,-0.58%,48.94%,"44,342"
80,Underlord,-0.60%,46.87%,"22,688"
81,Beastmaster,-0.61%,58.77%,"4,912"
82,Leshrac,-0.63%,54.84%,"19,746"
83,Snapfire,-0.68%,55.90%,"33,868"
84,Kunkka,-0.71%,53.13%,"35,412"
85,Invoker,-0.71%,52.71%,"84,041"
86,Dawnbreaker,-0.72%,52.48%,"29,730"
87,Templar Assassin,-0.73%,53.22%,"38,464"
88,Grimstroke,-0.76%,52.40%,"40,009"
89,Death Prophet,-0.77%,56.30%,"17,123"
90,Nyx Assassin,-0.77%,50.01%,"29,146"
91,Void Spirit,-0.80%,54.90%,"24,607"
92,Bounty Hunter,-0.80%,52.51%,"48,753"
93,Chen,-0.85%,57.99%,"3,152"
94,Silencer,-0.86%,49.08%,"50,398"
95,Phantom Assassin,-0.86%,55.20%,"84,254"
96,Lycan,-0.91%,57.83%,"6,606"
97,Weaver,-0.91%,53.60%,"41,815"
98,Keeper of the Light,-0.93%,55.15%,"19,315"
99,Sand King,-0.93%,49.15%,"44,532"
100,Centaur Warrunner,-0.94%,50.74%,"34,794"
101,Mirana,-1.07%,51.03%,"62,189"
102,Windranger,-1.09%,51.60%,"89,861"
103,Earth Spirit,-1.15%,55.69%,"15,266"
104,Tidehunter,-1.27%,52.94%,"33,909"
105,Phoenix,-1.33%,56.25%,"19,251"
106,Huskar,-1.55%,51.44%,"39,335"
107,Omniknight,-1.56%,50.36%,"12,886"
108,Timbersaw,-2.02%,55.85%,"35,203"
109,Slark,-2.13%,53.01%,"89,935"
110,Night Stalker,-2.26%,53.29%,"16,948"
111,Dark Seer,-2.43%,48.61%,"16,241"
112,Riki,-2.45%,50.86%,"48,948"
113,Pangolier,-2.52%,56.79%,"26,391"
114,Anti-Mage,-2.52%,54.19%,"67,269"
115,Drow Ranger,-2.62%,51.54%,"64,187"
116,Visage,-2.77%,53.61%,"4,574"
117,Razor,-2.90%,54.16%,"27,623"
118,Clinkz,-3.03%,51.94%,"27,763"
119,Broodmother,-4.47%,55.48%,"11,313"
