,counter_hero,disadv,certain_win,num_match
0,Naga Siren,4.87%,42.99%,"17,514"
1,Meepo,2.30%,42.18%,"18,244"
2,Troll Warlord,2.15%,49.33%,"39,706"
3,Huskar,2.00%,46.11%,"52,802"
4,Enchantress,1.87%,52.56%,"26,619"
5,Beastmaster,1.59%,54.94%,"6,817"
6,Slark,1.54%,47.77%,"97,568"
7,Phantom Lancer,1.53%,47.37%,"70,691"
8,Necrophos,1.43%,45.09%,"52,916"
9,Chaos Knight,1.31%,45.28%,"52,464"
10,Techies,1.31%,49.89%,"70,095"
11,Legion Commander,1.27%,48.66%,"99,904"
12,Slardar,1.22%,48.22%,"77,233"
13,Abaddon,1.20%,45.58%,"36,635"
14,Lion,1.18%,49.14%,"174,810"
15,Earthshaker,1.17%,51.02%,"65,642"
16,Venomancer,1.16%,48.34%,"54,963"
17,Clockwerk,1.15%,49.41%,"35,513"
18,Omniknight,1.14%,45.80%,"17,169"
19,Storm Spirit,1.01%,51.92%,"66,496"
20,Tusk,0.99%,53.32%,"33,155"
21,Queen of Pain,0.99%,51.88%,"56,864"
22,Chen,0.95%,54.51%,"3,924"
23,Terrorblade,0.93%,51.12%,"34,583"
24,Crystal Maiden,0.89%,48.55%,"81,869"
25,Io,0.84%,54.50%,"12,959"
26,Magnus,0.84%,51.08%,"45,142"
27,Morphling,0.82%,50.15%,"57,597"
28,Pudge,0.82%,48.84%,"178,401"
29,Phoenix,0.73%,52.55%,"29,789"
30,Tidehunter,0.73%,49.23%,"47,328"
31,Bloodseeker,0.72%,47.49%,"48,754"
32,Shadow Shaman,0.69%,47.47%,"94,448"
33,Spirit Breaker,0.66%,48.49%,"63,174"
34,Leshrac,0.66%,51.91%,"32,088"
35,Faceless Void,0.64%,49.86%,"95,232"
36,Dark Willow,0.64%,48.47%,"48,061"
37,Sven,0.60%,52.05%,"45,472"
38,Outworld Destroyer,0.57%,49.15%,"45,885"
39,Vengeful Spirit,0.54%,48.86%,"35,064"
40,Windranger,0.52%,48.33%,"119,977"
41,Enigma,0.51%,45.15%,"31,139"
42,Tiny,0.50%,55.46%,"47,147"
43,Ember Spirit,0.48%,53.42%,"51,634"
44,Oracle,0.47%,52.18%,"22,591"
45,Batrider,0.46%,55.61%,"10,536"
46,Lone Druid,0.39%,54.21%,"9,894"
47,Void Spirit,0.30%,52.15%,"35,939"
48,Ogre Magi,0.28%,46.64%,"123,733"
49,Rubick,0.27%,54.36%,"82,933"
50,Earth Spirit,0.26%,52.63%,"23,701"
51,Treant Protector,0.18%,47.12%,"46,121"
52,Ursa,0.14%,49.59%,"76,811"
53,Axe,0.13%,47.86%,"113,578"
54,Lina,0.11%,52.60%,"97,382"
55,Luna,0.02%,47.28%,"81,444"
56,Lich,0.01%,50.70%,"49,144"
57,Razor,0.00%,49.50%,"37,793"
58,Keeper of the Light,-0.03%,52.59%,"26,361"
59,Mars,-0.05%,52.68%,"64,089"
60,Dark Seer,-0.07%,44.36%,"22,763"
61,Visage,-0.13%,49.17%,"6,799"
62,Skywrath Mage,-0.18%,49.20%,"68,968"
63,Gyrocopter,-0.20%,51.54%,"38,324"
64,Shadow Fiend,-0.23%,52.12%,"106,396"
65,Lifestealer,-0.25%,49.15%,"57,065"
66,Drow Ranger,-0.25%,47.48%,"83,921"
67,Pangolier,-0.27%,52.83%,"28,904"
68,Viper,-0.29%,51.60%,"78,926"
