,counter_hero,disadv,certain_win,num_match
0,Weaver,3.08%,48.33%,"7,409"
1,Slark,3.05%,46.85%,"14,317"
2,Anti-Mage,2.94%,47.68%,"12,889"
3,Faceless Void,2.69%,48.34%,"14,575"
4,Void Spirit,2.34%,50.41%,"6,477"
5,Riki,2.25%,45.12%,"8,814"
6,Legion Commander,2.25%,48.19%,"15,068"
7,Death Prophet,2.22%,51.82%,"3,827"
8,Dawnbreaker,1.82%,48.69%,"7,256"
9,Queen of Pain,1.67%,51.46%,"8,899"
10,Mirana,1.65%,47.22%,"13,975"
11,Skywrath Mage,1.64%,47.94%,"10,138"
12,Storm Spirit,1.63%,51.56%,"10,345"
13,Puck,1.61%,49.64%,"11,710"
14,Broodmother,1.54%,48.13%,"2,913"
15,Morphling,1.51%,49.86%,"9,538"
16,Pangolier,1.47%,51.34%,"5,450"
17,Lifestealer,1.43%,48.01%,"9,802"
18,Phantom Lancer,1.38%,48.06%,"10,986"
19,Clinkz,1.30%,46.46%,"5,708"
20,Earthshaker,1.27%,51.23%,"10,281"
21,Pugna,1.26%,50.96%,"4,990"
22,Windranger,1.16%,48.25%,"18,409"
23,Invoker,1.15%,49.69%,"20,170"
24,Jakiro,1.11%,47.76%,"8,677"
25,Timbersaw,1.09%,51.41%,"9,069"
26,Sven,1.08%,51.83%,"6,846"
27,Alchemist,1.01%,52.89%,"3,925"
28,Nyx Assassin,1.00%,47.09%,"7,726"
29,Necrophos,0.89%,46.33%,"7,774"
30,Bounty Hunter,0.85%,49.59%,"9,608"
31,Sand King,0.73%,46.40%,"10,481"
32,Medusa,0.71%,47.21%,"10,725"
33,Centaur Warrunner,0.69%,47.92%,"8,447"
34,Keeper of the Light,0.69%,52.11%,"4,454"
35,Axe,0.60%,47.99%,"18,714"
36,Leshrac,0.56%,52.25%,"5,680"
37,Bristleback,0.53%,48.11%,"16,152"
38,Night Stalker,0.52%,49.21%,"3,981"
39,Huskar,0.48%,48.21%,"7,397"
40,Juggernaut,0.43%,49.00%,"21,264"
41,Enchantress,0.40%,54.18%,"4,467"
42,Lycan,0.37%,54.86%,"1,265"
43,Underlord,0.34%,44.88%,"5,727"
44,Spirit Breaker,0.33%,49.31%,"9,587"
45,Doom,0.32%,53.66%,"7,804"
46,Lion,0.21%,50.42%,"27,402"
47,Tusk,0.19%,54.25%,"5,928"
48,Kunkka,0.16%,50.94%,"8,071"
49,Winter Wyvern,0.12%,47.27%,"11,578"
50,Lina,0.09%,52.84%,"15,238"
51,Techies,0.08%,51.44%,"10,785"
52,Beastmaster,0.07%,56.46%,"1,222"
53,Undying,0.02%,50.03%,"5,801"
54,Disruptor,0.02%,50.38%,"8,553"
55,Pudge,0.01%,50.02%,"28,895"
56,Shadow Fiend,-0.02%,52.20%,"16,570"
57,Oracle,-0.03%,52.93%,"4,370"
58,Earth Spirit,-0.04%,53.16%,"4,417"
59,Ember Spirit,-0.05%,54.08%,"8,421"
60,Arc Warden,-0.08%,47.53%,"3,932"
61,Dragon Knight,-0.18%,49.32%,"11,321"
62,Vengeful Spirit,-0.19%,50.05%,"5,826"
63,Magnus,-0.22%,52.41%,"8,366"
64,Enigma,-0.29%,46.66%,"5,184"
65,Tinker,-0.29%,50.53%,"7,718"
66,Sniper,-0.29%,50.73%,"16,693"
67,Dark Willow,-0.30%,49.88%,"8,282"
68,Elder Titan,-0.31%,49.14%,"2,503"
69,Clockwerk,-0.36%,51.30%,"5,834"
70,Ogre Magi,-0.36%,47.84%,"18,918"
71,Phoenix,-0.39%,53.87%,"5,458"
72,Dark Seer,-0.40%,45.51%,"4,151"
73,Hoodwink,-0.41%,49.56%,"13,394"
74,Phantom Assassin,-0.54%,53.50%,"16,601"
75,Shadow Shaman,-0.56%,49.20%,"15,655"
76,Razor,-0.56%,50.51%,"5,682"
77,Outworld Destroyer,-0.57%,50.71%,"7,091"
78,Rubick,-0.57%,55.25%,"14,171"
79,Venomancer,-0.58%,50.52%,"8,900"
80,Bane,-0.58%,52.28%,"2,609"
81,Slardar,-0.58%,50.47%,"8,781"
82,Snapfire,-0.59%,54.34%,"9,177"
83,Nature's Prophet,-0.62%,58.30%,"6,757"
84,Tiny,-0.63%,56.56%,"7,793"
85,Grimstroke,-0.65%,50.99%,"10,895"
86,Abaddon,-0.65%,48.09%,"5,972"
87,Chaos Knight,-0.66%,47.90%,"8,330"
88,Dazzle,-0.69%,47.87%,"10,426"
89,Luna,-0.78%,48.65%,"13,586"
90,Lich,-0.83%,51.87%,"8,598"
91,Warlock,-0.85%,49.45%,"6,937"
92,Crystal Maiden,-0.95%,50.78%,"13,353"
93,Tidehunter,-0.97%,51.32%,"8,516"
94,Omniknight,-0.98%,48.58%,"2,952"
95,Wraith King,-1.03%,48.08%,"15,276"
96,Mars,-1.07%,53.87%,"11,979"
97,Drow Ranger,-1.11%,48.88%,"13,039"
98,Zeus,-1.16%,49.61%,"12,273"
99,Silencer,-1.17%,48.21%,"10,682"
100,Templar Assassin,-1.32%,52.43%,"10,022"
101,Monkey King,-1.38%,54.42%,"9,934"
102,Witch Doctor,-1.39%,52.39%,"14,882"
103,Gyrocopter,-1.39%,53.01%,"6,404"
104,Treant Protector,-1.59%,49.47%,"6,950"
105,Naga Siren,-1.59%,50.17%,"2,611"
106,Ancient Apparition,-1.64%,47.64%,"15,177"
107,Troll Warlord,-1.90%,53.68%,"5,572"
108,Shadow Demon,-1.96%,54.45%,"3,427"
109,Batrider,-2.16%,58.22%,"1,807"
110,Visage,-2.37%,51.89%,"1,270"
111,Bloodseeker,-2.69%,51.41%,"6,433"
112,Lone Druid,-2.80%,57.50%,"1,774"
113,Terrorblade,-2.81%,55.09%,"6,059"
114,Spectre,-2.84%,49.63%,"13,129"
115,Meepo,-2.91%,48.30%,"2,762"
116,Viper,-2.98%,54.47%,"12,310"
117,Chen,-3.63%,59.20%,821
118,Io,-4.07%,59.47%,"2,487"
119,Ursa,-4.45%,54.38%,"12,808"
