,counter_hero,disadv,certain_win,num_match
0,Viper,5.44%,47.41%,"189,153"
1,Slark,4.29%,44.26%,"219,485"
2,Silencer,4.15%,42.34%,"150,045"
3,Drow Ranger,3.67%,46.29%,"170,882"
4,Hoodwink,3.02%,47.23%,"135,470"
5,Anti-Mage,2.75%,47.65%,"140,053"
6,Legion Commander,2.71%,47.13%,"198,669"
7,Slardar,2.09%,48.41%,"103,921"
8,Nature's Prophet,2.00%,56.98%,"75,556"
9,Ancient Apparition,1.96%,45.15%,"122,487"
10,Morphling,1.60%,50.20%,"91,789"
11,Keeper of the Light,1.34%,51.65%,"74,336"
12,Mars,1.32%,52.36%,"94,203"
13,Venomancer,1.21%,48.00%,"90,831"
14,Tusk,1.19%,54.35%,"55,135"
15,Monkey King,1.19%,50.80%,"139,963"
16,Grimstroke,1.17%,49.98%,"103,234"
17,Bounty Hunter,1.15%,50.41%,"111,025"
18,Bane,1.14%,49.13%,"29,143"
19,Tinker,1.13%,51.48%,"107,619"
20,Nyx Assassin,1.11%,47.55%,"69,209"
21,Storm Spirit,0.95%,51.99%,"96,548"
22,Timbersaw,0.90%,53.42%,"90,701"
23,Dark Willow,0.88%,49.72%,"87,751"
24,Undying,0.88%,50.75%,"83,625"
25,Templar Assassin,0.85%,51.00%,"97,564"
26,Necrophos,0.83%,46.50%,"103,572"
27,Ogre Magi,0.82%,46.83%,"230,231"
28,Dazzle,0.81%,46.75%,"112,430"
29,Lion,0.80%,51.22%,"281,008"
30,Batrider,0.70%,54.70%,"19,482"
31,Shadow Shaman,0.65%,48.76%,"167,526"
32,Dragon Knight,0.60%,50.41%,"110,531"
33,Naga Siren,0.60%,48.31%,"26,016"
34,Pangolier,0.60%,52.52%,"58,245"
35,Spirit Breaker,0.58%,49.88%,"123,262"
36,Earth Spirit,0.55%,52.71%,"37,900"
37,Outworld Destroyer,0.44%,50.69%,"76,266"
38,Doom,0.43%,55.37%,"61,160"
39,Queen of Pain,0.35%,52.61%,"93,875"
40,Gyrocopter,0.28%,52.68%,"89,447"
41,Faceless Void,0.27%,52.02%,"137,507"
42,Phoenix,0.27%,53.78%,"40,182"
43,Juggernaut,0.18%,49.82%,"213,331"
44,Omniknight,0.14%,46.62%,"33,492"
45,Phantom Assassin,0.10%,53.86%,"197,818"
46,Puck,0.09%,53.01%,"79,841"
