,counter_hero,disadv,certain_win,num_match
0,Naga Siren,7.53%,41.39%,"5,376"
1,Legion Commander,6.61%,44.43%,"27,304"
2,Earthshaker,6.15%,46.95%,"24,754"
3,Meepo,5.78%,39.90%,"6,111"
4,Sven,4.90%,48.48%,"17,472"
5,Bloodseeker,4.66%,44.52%,"11,313"
6,Kunkka,4.51%,47.07%,"16,416"
7,Magnus,4.05%,48.63%,"15,962"
8,Batrider,3.96%,52.49%,"3,250"
9,Spirit Breaker,3.92%,46.16%,"15,889"
10,Axe,3.85%,45.31%,"33,686"
11,Crystal Maiden,3.79%,46.61%,"23,699"
12,Alchemist,3.74%,50.56%,"7,045"
13,Monkey King,3.19%,50.39%,"18,806"
14,Beastmaster,3.12%,53.81%,"2,128"
15,Bristleback,3.10%,46.03%,"30,048"
16,Necrophos,2.79%,44.79%,"14,331"
17,Troll Warlord,2.44%,49.78%,"10,761"
18,Lycan,2.39%,53.23%,"2,123"
19,Keeper of the Light,2.39%,50.80%,"7,813"
20,Void Spirit,2.07%,51.03%,"11,005"
21,Timbersaw,1.99%,50.89%,"16,000"
22,Leshrac,1.98%,51.22%,"10,392"
23,Tiny,1.90%,54.50%,"14,137"
24,Storm Spirit,1.79%,51.77%,"17,764"
25,Bounty Hunter,1.77%,49.04%,"16,498"
26,Gyrocopter,1.77%,50.27%,"11,394"
27,Sand King,1.77%,45.70%,"18,983"
28,Slark,1.74%,48.41%,"23,677"
29,Phantom Assassin,1.70%,51.78%,"30,211"
30,Lina,1.68%,51.72%,"26,890"
31,Chaos Knight,1.54%,46.06%,"13,562"
32,Anti-Mage,1.52%,49.36%,"23,094"
33,Techies,1.49%,50.45%,"22,139"
34,Enchantress,1.47%,53.50%,"8,304"
35,Elder Titan,1.38%,47.78%,"4,311"
36,Weaver,1.32%,50.39%,"12,547"
37,Dawnbreaker,1.27%,49.57%,"13,602"
38,Ember Spirit,1.25%,53.20%,"17,065"
39,Huskar,1.22%,47.82%,"13,535"
40,Slardar,1.19%,49.09%,"14,639"
41,Phantom Lancer,1.09%,48.66%,"17,265"
42,Death Prophet,1.08%,53.32%,"5,501"
43,Mars,1.05%,52.22%,"22,089"
44,Grimstroke,1.00%,49.76%,"19,622"
45,Treant Protector,0.85%,47.41%,"13,092"
46,Winter Wyvern,0.84%,46.90%,"21,401"
47,Tidehunter,0.79%,49.95%,"15,372"
48,Queen of Pain,0.77%,52.70%,"14,143"
49,Earth Spirit,0.65%,52.86%,"8,696"
50,Jakiro,0.48%,48.70%,"14,493"
51,Sniper,0.33%,50.50%,"28,491"
52,Disruptor,0.28%,50.47%,"14,915"
53,Omniknight,0.27%,47.65%,"4,711"
54,Tusk,0.25%,54.59%,"9,079"
55,Bane,0.22%,51.85%,"4,538"
56,Undying,0.15%,50.25%,"9,977"
57,Lion,0.13%,50.85%,"49,904"
58,Shadow Fiend,0.10%,52.44%,"34,104"
59,Pangolier,0.06%,53.11%,"9,974"
60,Rubick,0.04%,55.07%,"25,462"
61,Enigma,-0.03%,46.71%,"9,530"
62,Centaur Warrunner,-0.28%,49.19%,"14,955"
63,Dragon Knight,-0.31%,49.77%,"18,854"
64,Pugna,-0.46%,53.02%,"8,249"
65,Skywrath Mage,-0.53%,50.36%,"18,244"
66,Snapfire,-0.54%,54.68%,"15,373"
67,Dazzle,-0.56%,48.07%,"19,704"
68,Lone Druid,-0.59%,55.68%,"2,861"
69,Riki,-0.66%,48.25%,"15,529"
70,Pudge,-0.66%,50.95%,"54,632"
71,Terrorblade,-0.75%,53.45%,"10,633"
72,Lich,-0.77%,52.17%,"14,766"
73,Io,-0.78%,56.62%,"4,795"
74,Vengeful Spirit,-0.79%,50.98%,"10,421"
75,Razor,-0.79%,51.08%,"8,751"
76,Templar Assassin,-0.87%,52.37%,"19,295"
77,Shadow Demon,-0.91%,53.78%,"5,695"
78,Windranger,-1.02%,50.60%,"31,788"
79,Dark Seer,-1.06%,46.44%,"7,271"
80,Shadow Shaman,-1.07%,50.01%,"27,410"
81,Dark Willow,-1.24%,51.13%,"15,199"
82,Witch Doctor,-1.28%,52.66%,"26,618"
83,Nyx Assassin,-1.40%,49.75%,"13,769"
84,Puck,-1.42%,52.89%,"20,579"
85,Faceless Void,-1.42%,52.57%,"24,693"
86,Brewmaster,-1.52%,51.87%,"2,913"
87,Viper,-1.53%,53.46%,"21,256"
88,Oracle,-1.63%,54.90%,"8,583"
89,Abaddon,-1.66%,49.40%,"10,295"
90,Hoodwink,-1.75%,51.16%,"25,062"
91,Tinker,-1.76%,52.30%,"16,098"
92,Underlord,-1.84%,47.31%,"9,539"
93,Drow Ranger,-1.89%,49.95%,"23,548"
94,Nature's Prophet,-1.97%,60.05%,"12,437"
95,Wraith King,-2.04%,49.35%,"27,605"
96,Ogre Magi,-2.05%,49.73%,"33,590"
97,Mirana,-2.08%,51.08%,"25,370"
98,Spectre,-2.17%,49.32%,"21,735"
99,Venomancer,-2.24%,52.48%,"14,201"
100,Doom,-2.26%,56.59%,"12,402"
101,Ursa,-2.29%,52.69%,"22,706"
102,Phoenix,-2.39%,56.23%,"9,842"
103,Juggernaut,-2.39%,51.92%,"37,360"
104,Luna,-2.40%,50.51%,"24,232"
105,Lifestealer,-2.49%,52.12%,"17,015"
106,Morphling,-2.59%,54.18%,"17,460"
107,Night Stalker,-2.75%,52.80%,"6,686"
108,Invoker,-2.77%,53.61%,"40,474"
109,Visage,-2.80%,52.68%,"2,646"
110,Chen,-2.90%,58.90%,"1,455"
111,Medusa,-2.93%,51.02%,"19,238"
112,Silencer,-3.05%,50.34%,"18,641"
113,Ancient Apparition,-3.11%,49.34%,"26,736"
114,Zeus,-3.60%,52.29%,"20,322"
115,Outworld Destroyer,-4.06%,54.49%,"11,084"
116,Clinkz,-4.08%,52.08%,"9,313"
117,Warlock,-4.77%,53.62%,"12,618"
118,Clockwerk,-5.95%,57.17%,"10,470"
119,Arc Warden,-6.72%,54.44%,"7,829"
