,counter_hero,disadv,certain_win,num_match
0,Templar Assassin,3.39%,49.38%,"54,270"
1,Dazzle,3.08%,45.48%,"56,847"
2,Bristleback,3.00%,47.14%,"96,290"
3,Death Prophet,2.68%,53.04%,"19,546"
4,Lifestealer,2.52%,48.36%,"63,385"
5,Timbersaw,2.34%,51.80%,"52,901"
6,Witch Doctor,2.25%,50.48%,"81,962"
7,Ursa,2.18%,49.54%,"74,823"
8,Alchemist,1.87%,53.73%,"21,045"
9,Juggernaut,1.83%,49.14%,"121,358"
10,Ember Spirit,1.82%,53.97%,"45,100"
11,Sven,1.81%,52.73%,"37,979"
12,Outworld Destroyer,1.79%,49.87%,"39,398"
13,Kunkka,1.78%,50.88%,"44,229"
14,Monkey King,1.71%,53.10%,"56,101"
15,Wraith King,1.63%,46.85%,"86,926"
16,Undying,1.63%,49.90%,"32,532"
17,Warlock,1.63%,48.38%,"36,376"
18,Venomancer,1.59%,49.86%,"44,658"
19,Underlord,1.52%,44.83%,"33,930"
20,Chen,1.30%,56.04%,"3,549"
21,Slardar,1.23%,50.17%,"52,521"
22,Io,1.23%,55.98%,"11,345"
23,Bounty Hunter,1.08%,50.86%,"48,054"
24,Batrider,1.06%,56.85%,"9,029"
25,Treant Protector,1.00%,48.28%,"37,590"
26,Bloodseeker,0.93%,49.26%,"34,794"
27,Oracle,0.90%,53.67%,"21,683"
28,Doom,0.86%,54.90%,"38,920"
29,Tiny,0.82%,57.03%,"41,915"
30,Dawnbreaker,0.76%,51.23%,"39,969"
31,Dark Willow,0.76%,50.30%,"44,508"
32,Tidehunter,0.62%,51.29%,"49,864"
33,Phoenix,0.62%,54.59%,"28,336"
34,Viper,0.59%,52.66%,"68,338"
35,Clockwerk,0.55%,51.96%,"32,494"
36,Dragon Knight,0.54%,50.05%,"64,099"
37,Jakiro,0.51%,49.75%,"47,839"
38,Riki,0.49%,48.13%,"47,932"
39,Queen of Pain,0.48%,54.29%,"47,610"
40,Earth Spirit,0.46%,54.36%,"22,579"
41,Invoker,0.44%,51.87%,"115,769"
42,Lycan,0.43%,56.62%,"6,125"
43,Vengeful Spirit,0.42%,50.93%,"32,195"
44,Bane,0.42%,52.88%,"12,776"
45,Mars,0.40%,54.16%,"67,294"
46,Necrophos,0.40%,48.11%,"47,969"
47,Leshrac,0.39%,54.10%,"28,214"
48,Pudge,0.38%,51.18%,"161,158"
49,Enigma,0.36%,47.28%,"27,968"
50,Elder Titan,0.36%,49.89%,"11,975"
51,Shadow Shaman,0.35%,49.76%,"88,994"
52,Grimstroke,0.34%,51.56%,"60,911"
53,Clinkz,0.34%,48.74%,"29,690"
54,Tusk,0.33%,55.92%,"32,510"
55,Earthshaker,0.32%,53.79%,"58,982"
56,Broodmother,0.32%,50.81%,"14,955"
57,Omniknight,0.31%,48.62%,"15,077"
58,Razor,0.31%,51.14%,"30,609"
59,Keeper of the Light,0.31%,54.17%,"23,869"
60,Shadow Fiend,0.28%,53.55%,"87,633"
61,Ogre Magi,0.26%,48.62%,"111,908"
62,Abaddon,0.25%,48.53%,"31,856"
63,Disruptor,0.24%,51.68%,"47,294"
64,Visage,0.19%,50.78%,"5,866"
65,Crystal Maiden,0.18%,51.19%,"74,326"
66,Slark,0.13%,51.08%,"85,766"
67,Enchantress,0.12%,56.24%,"22,925"
68,Silencer,0.10%,48.31%,"63,001"
69,Magnus,0.07%,53.78%,"46,355"
70,Spirit Breaker,0.02%,51.08%,"53,181"
71,Puck,0.02%,52.74%,"62,235"
72,Luna,-0.03%,49.29%,"72,603"
73,Night Stalker,-0.07%,51.28%,"21,780"
74,Legion Commander,-0.09%,51.91%,"88,457"
75,Mirana,-0.10%,50.29%,"80,471"
76,Huskar,-0.11%,50.20%,"40,734"
77,Nyx Assassin,-0.15%,49.58%,"40,560"
78,Beastmaster,-0.17%,58.63%,"5,922"
79,Nature's Prophet,-0.26%,59.93%,"34,670"
80,Terrorblade,-0.29%,54.28%,"30,998"
81,Chaos Knight,-0.33%,48.90%,"46,564"
82,Snapfire,-0.36%,55.89%,"50,539"
83,Pugna,-0.37%,54.21%,"26,274"
84,Lone Druid,-0.38%,56.87%,"8,104"
85,Weaver,-0.40%,53.31%,"40,348"
86,Tinker,-0.45%,52.20%,"46,115"
87,Axe,-0.45%,50.37%,"106,308"
88,Brewmaster,-0.56%,52.08%,"8,447"
89,Shadow Demon,-0.57%,54.76%,"16,921"
90,Ancient Apparition,-0.61%,47.92%,"75,264"
91,Meepo,-0.61%,47.25%,"13,340"
92,Rubick,-0.62%,57.11%,"78,930"
93,Winter Wyvern,-0.62%,49.32%,"61,482"
94,Lich,-0.65%,53.29%,"48,310"
95,Hoodwink,-0.66%,51.25%,"70,086"
96,Gyrocopter,-0.67%,53.94%,"34,955"
97,Dark Seer,-0.71%,47.00%,"21,186"
98,Pangolier,-0.86%,55.36%,"27,605"
99,Storm Spirit,-0.87%,55.69%,"53,415"
100,Drow Ranger,-0.88%,50.05%,"75,349"
101,Void Spirit,-1.04%,55.42%,"32,706"
102,Sand King,-1.08%,49.47%,"60,144"
103,Lion,-1.11%,53.14%,"158,236"
104,Phantom Assassin,-1.13%,55.75%,"94,178"
105,Lina,-1.15%,55.72%,"84,151"
106,Skywrath Mage,-1.17%,52.13%,"55,909"
107,Morphling,-1.42%,54.31%,"51,163"
108,Troll Warlord,-1.42%,54.87%,"30,226"
109,Faceless Void,-1.45%,53.83%,"80,721"
110,Anti-Mage,-1.61%,53.56%,"72,189"
111,Techies,-1.67%,54.76%,"62,189"
112,Zeus,-1.76%,51.63%,"68,081"
113,Spectre,-1.86%,50.07%,"73,042"
114,Arc Warden,-2.13%,50.96%,"21,241"
115,Medusa,-2.63%,51.84%,"61,286"
116,Sniper,-2.88%,54.73%,"99,705"
117,Phantom Lancer,-3.19%,54.00%,"55,161"
118,Naga Siren,-3.33%,53.41%,"13,577"
119,Windranger,-3.38%,53.97%,"113,593"
