,counter_hero,disadv,certain_win,num_match
0,Naga Siren,5.10%,46.16%,"16,387"
1,Phantom Lancer,4.56%,47.76%,"61,100"
2,Timbersaw,3.34%,52.21%,"48,447"
3,Medusa,3.23%,47.52%,"76,231"
4,Sand King,3.23%,46.63%,"57,005"
5,Phoenix,3.17%,53.39%,"24,658"
6,Tidehunter,3.05%,50.28%,"46,335"
7,Underlord,2.99%,44.78%,"30,966"
8,Meepo,2.89%,45.04%,"15,021"
9,Leshrac,2.87%,52.99%,"26,985"
10,Kunkka,2.85%,51.25%,"46,294"
11,Sven,2.60%,53.52%,"62,604"
12,Lich,2.58%,51.49%,"45,055"
13,Ember Spirit,2.40%,54.84%,"48,157"
14,Dark Seer,2.27%,45.40%,"19,877"
15,Treant Protector,2.22%,48.47%,"37,318"
16,Jakiro,2.19%,49.49%,"45,135"
17,Pangolier,2.19%,53.66%,"24,858"
18,Earthshaker,2.18%,53.42%,"73,041"
19,Enigma,2.17%,46.86%,"28,836"
20,Dawnbreaker,2.09%,51.31%,"37,969"
21,Elder Titan,1.93%,49.70%,"12,266"
22,Witch Doctor,1.78%,52.36%,"82,216"
23,Crystal Maiden,1.74%,51.10%,"75,251"
24,Monkey King,1.57%,54.66%,"57,429"
25,Troll Warlord,1.51%,53.36%,"35,988"
26,Winter Wyvern,1.51%,48.64%,"55,009"
27,Undying,1.41%,51.55%,"33,600"
28,Gyrocopter,1.38%,53.30%,"36,154"
29,Snapfire,1.37%,55.56%,"44,489"
30,Warlock,1.36%,50.08%,"34,145"
31,Invoker,1.33%,52.44%,"107,621"
32,Tiny,1.33%,57.91%,"38,842"
33,Omniknight,1.22%,49.12%,"15,436"
34,Puck,1.20%,52.98%,"53,928"
35,Rubick,1.06%,56.89%,"71,423"
36,Io,1.02%,57.64%,"11,732"
37,Bristleback,0.98%,50.51%,"102,265"
38,Dragon Knight,0.90%,51.12%,"61,239"
39,Weaver,0.87%,53.47%,"42,857"
40,Axe,0.80%,50.61%,"104,751"
41,Brewmaster,0.80%,52.10%,"8,330"
42,Magnus,0.77%,54.49%,"40,833"
43,Phantom Assassin,0.71%,55.42%,"102,338"
44,Shadow Fiend,0.62%,54.64%,"88,922"
45,Terrorblade,0.49%,54.91%,"30,152"
46,Grimstroke,0.45%,52.86%,"54,103"
47,Necrophos,0.41%,49.53%,"44,829"
48,Storm Spirit,0.38%,55.85%,"50,846"
49,Anti-Mage,0.38%,53.04%,"71,582"
50,Hoodwink,0.37%,51.66%,"64,905"
