,counter_hero,disadv,certain_win,num_match
0,Lycan,11.79%,37.93%,696
1,Naga Siren,6.69%,36.50%,"1,411"
2,Batrider,6.56%,43.98%,989
3,Elder Titan,6.37%,37.04%,"1,223"
4,Meepo,4.60%,35.41%,"1,652"
5,Alchemist,4.31%,44.13%,"1,967"
6,Beastmaster,4.00%,46.99%,615
7,Death Prophet,3.88%,44.67%,"1,612"
8,Brewmaster,3.72%,40.80%,821
9,Terrorblade,3.65%,43.26%,"2,813"
10,Tusk,3.32%,45.68%,"2,384"
11,Weaver,3.17%,42.76%,"3,536"
12,Broodmother,3.11%,41.10%,"1,455"
13,Chaos Knight,2.79%,39.10%,"3,772"
14,Phantom Assassin,2.48%,45.18%,"7,949"
15,Bristleback,2.45%,40.85%,"7,195"
16,Earth Spirit,2.41%,45.23%,"1,992"
17,Snapfire,2.30%,46.04%,"3,703"
18,Crystal Maiden,2.13%,42.39%,"6,226"
19,Troll Warlord,2.05%,44.31%,"2,900"
20,Lina,1.94%,45.61%,"6,451"
21,Underlord,1.92%,37.87%,"2,308"
22,Enchantress,1.84%,47.22%,"2,533"
23,Sven,1.77%,45.64%,"3,429"
24,Arc Warden,1.66%,40.36%,"1,965"
25,Lich,1.64%,43.99%,"3,655"
26,Morphling,1.63%,44.25%,"4,470"
27,Void Spirit,1.54%,45.68%,"2,708"
28,Omniknight,1.42%,40.72%,"1,326"
29,Undying,1.41%,43.18%,"2,580"
30,Bloodseeker,1.35%,41.99%,"3,153"
31,Phantom Lancer,1.34%,42.61%,"4,421"
32,Queen of Pain,1.30%,46.30%,"3,974"
33,Viper,1.29%,44.92%,"5,606"
34,Outworld Destroyer,1.26%,43.44%,"3,020"
35,Magnus,1.16%,45.58%,"3,379"
36,Bane,1.15%,45.06%,"1,154"
37,Keeper of the Light,1.05%,46.24%,"2,197"
38,Slardar,1.03%,43.43%,"3,643"
39,Earthshaker,1.00%,45.97%,"5,238"
40,Storm Spirit,0.97%,46.69%,"4,241"
41,Treant Protector,0.96%,41.51%,"3,151"
42,Dark Willow,0.96%,43.17%,"3,498"
43,Riki,0.95%,40.91%,"4,011"
44,Monkey King,0.95%,46.66%,"4,616"
45,Lifestealer,0.92%,43.02%,"4,289"
46,Luna,0.91%,41.58%,"6,056"
47,Slark,0.90%,43.39%,"6,232"
48,Jakiro,0.86%,42.53%,"3,579"
49,Disruptor,0.80%,44.13%,"3,449"
50,Doom,0.76%,47.72%,"3,051"
51,Gyrocopter,0.74%,45.43%,"2,809"
52,Leshrac,0.67%,46.63%,"2,402"
53,Night Stalker,0.66%,43.58%,"1,535"
54,Kunkka,0.65%,44.97%,"3,576"
55,Axe,0.63%,42.47%,"7,366"
56,Warlock,0.63%,42.53%,"2,925"
57,Shadow Fiend,0.59%,46.12%,"7,610"
58,Dawnbreaker,0.57%,44.42%,"3,289"
59,Sniper,0.56%,44.45%,"8,459"
60,Windranger,0.47%,43.41%,"7,969"
61,Dark Seer,0.44%,39.22%,"1,688"
62,Ancient Apparition,0.44%,40.20%,"5,756"
63,Shadow Demon,0.42%,46.58%,"1,460"
64,Phoenix,0.36%,47.62%,"2,266"
65,Timbersaw,0.32%,46.64%,"3,964"
66,Anti-Mage,0.05%,44.92%,"5,536"
67,Spirit Breaker,0.05%,44.09%,"4,250"
68,Enigma,-0.01%,40.93%,"2,536"
69,Legion Commander,-0.02%,44.83%,"6,295"
70,Sand King,-0.06%,41.67%,"4,250"
71,Skywrath Mage,-0.06%,44.08%,"4,437"
72,Shadow Shaman,-0.07%,43.26%,"6,376"
73,Faceless Void,-0.15%,45.51%,"6,146"
74,Vengeful Spirit,-0.17%,44.54%,"2,647"
75,Templar Assassin,-0.21%,45.87%,"4,349"
76,Grimstroke,-0.24%,45.10%,"4,494"
77,Drow Ranger,-0.27%,42.61%,"6,186"
78,Dazzle,-0.34%,42.07%,"4,766"
79,Pugna,-0.41%,47.09%,"2,251"
80,Medusa,-0.52%,42.90%,"4,608"
81,Razor,-0.57%,45.02%,"2,381"
82,Bounty Hunter,-0.59%,45.49%,"3,924"
83,Mars,-0.61%,47.94%,"4,610"
84,Clockwerk,-0.70%,46.14%,"2,397"
85,Hoodwink,-0.73%,44.37%,"5,722"
86,Lone Druid,-0.85%,50.00%,"1,072"
87,Centaur Warrunner,-0.87%,43.96%,"3,549"
88,Pangolier,-0.88%,48.14%,"2,281"
89,Invoker,-0.96%,46.12%,"9,192"
90,Rubick,-0.98%,50.13%,"5,725"
91,Venomancer,-1.13%,45.56%,"3,637"
92,Huskar,-1.13%,44.30%,"3,445"
93,Lion,-1.15%,46.12%,"12,965"
94,Visage,-1.21%,45.22%,743
95,Tiny,-1.40%,51.78%,"3,223"
96,Puck,-1.42%,47.04%,"4,496"
