,counter_hero,disadv,certain_win,num_match
0,Meepo,7.44%,40.00%,"11,277"
1,Naga Siren,7.24%,43.55%,"10,183"
2,Bounty Hunter,4.79%,48.11%,"41,081"
3,Phantom Lancer,4.13%,47.68%,"37,751"
4,Broodmother,4.03%,47.92%,"9,313"
5,Chaos Knight,3.22%,46.33%,"30,965"
6,Bloodseeker,3.05%,48.06%,"27,762"
7,Slardar,3.00%,49.31%,"34,599"
8,Troll Warlord,2.97%,51.29%,"23,398"
9,Phantom Assassin,2.82%,52.79%,"67,990"
10,Wraith King,2.64%,46.85%,"58,251"
11,Abaddon,2.40%,47.31%,"20,948"
12,Enchantress,2.31%,54.77%,"16,141"
13,Axe,2.31%,48.66%,"65,547"
14,Batrider,2.26%,56.33%,"5,793"
15,Legion Commander,2.26%,50.52%,"56,129"
16,Lycan,2.08%,55.69%,"4,561"
17,Drow Ranger,1.92%,48.29%,"56,491"
18,Spirit Breaker,1.86%,50.14%,"33,916"
19,Mars,1.86%,53.50%,"35,427"
20,Chen,1.80%,56.29%,"2,649"
21,Omniknight,1.69%,48.16%,"10,445"
22,Morphling,1.64%,52.12%,"34,598"
23,Terrorblade,1.64%,53.14%,"19,507"
24,Bristleback,1.48%,49.50%,"61,925"
25,Techies,1.42%,52.55%,"42,027"
26,Crystal Maiden,1.41%,50.88%,"48,945"
27,Spectre,1.33%,47.91%,"49,113"
28,Ogre Magi,1.30%,48.57%,"71,828"
29,Riki,1.23%,48.35%,"37,511"
30,Tusk,1.22%,55.72%,"16,778"
31,Arc Warden,1.17%,48.54%,"14,352"
32,Slark,1.10%,51.01%,"53,000"
33,Nature's Prophet,1.06%,59.30%,"26,728"
34,Tiny,1.05%,57.48%,"25,641"
35,Pudge,1.05%,51.45%,"105,960"
36,Clockwerk,1.03%,52.31%,"19,364"
37,Void Spirit,0.94%,54.21%,"20,402"
38,Bane,0.88%,53.24%,"8,695"
39,Dazzle,0.81%,48.68%,"40,729"
40,Alchemist,0.71%,55.67%,"13,968"
41,Tinker,0.59%,52.02%,"28,357"
42,Shadow Demon,0.56%,54.39%,"11,129"
43,Vengeful Spirit,0.45%,51.77%,"21,846"
44,Zeus,0.44%,50.40%,"51,701"
45,Dragon Knight,0.44%,51.04%,"38,644"
46,Pugna,0.41%,54.23%,"19,189"
47,Earth Spirit,0.33%,55.25%,"13,354"
48,Io,0.28%,57.70%,"8,180"
49,Treant Protector,0.28%,49.92%,"25,172"
50,Sven,0.26%,55.08%,"26,612"
51,Faceless Void,0.25%,53.01%,"55,010"
52,Lion,0.25%,52.76%,"102,211"
53,Monkey King,0.19%,55.38%,"38,806"
54,Kunkka,0.05%,53.44%,"28,449"
55,Oracle,0.01%,55.34%,"13,409"
56,Dawnbreaker,0.00%,52.84%,"25,639"
57,Winter Wyvern,0.00%,49.64%,"38,449"
58,Night Stalker,-0.04%,52.11%,"13,220"
59,Shadow Shaman,-0.09%,51.07%,"55,501"
60,Mirana,-0.13%,51.21%,"50,587"
61,Skywrath Mage,-0.15%,51.99%,"41,533"
62,Shadow Fiend,-0.16%,54.76%,"66,574"
63,Keeper of the Light,-0.24%,55.50%,"15,920"
64,Necrophos,-0.29%,49.73%,"31,808"
65,Centaur Warrunner,-0.37%,51.26%,"29,691"
66,Queen of Pain,-0.38%,55.92%,"32,257"
67,Death Prophet,-0.44%,56.98%,"13,416"
68,Outworld Destroyer,-0.45%,52.96%,"26,121"
69,Witch Doctor,-0.47%,53.93%,"54,364"
70,Beastmaster,-0.48%,59.63%,"4,100"
71,Luna,-0.53%,50.69%,"47,765"
72,Snapfire,-0.58%,56.83%,"28,823"
73,Earthshaker,-0.60%,55.47%,"36,659"
74,Magnus,-0.60%,55.22%,"25,309"
75,Doom,-0.62%,57.11%,"24,448"
76,Razor,-0.65%,52.96%,"21,898"
77,Rubick,-0.65%,57.87%,"47,534"
78,Timbersaw,-0.70%,55.59%,"28,525"
79,Lich,-0.71%,54.17%,"30,044"
80,Silencer,-0.74%,50.07%,"45,814"
81,Lone Druid,-0.76%,58.03%,"6,219"
82,Ursa,-0.77%,53.26%,"44,283"
83,Lina,-0.82%,56.16%,"57,834"
84,Lifestealer,-0.84%,52.53%,"37,389"
85,Undying,-0.95%,53.36%,"22,498"
86,Hoodwink,-0.99%,52.44%,"44,829"
87,Warlock,-1.04%,51.95%,"23,462"
88,Disruptor,-1.05%,53.80%,"29,215"
89,Windranger,-1.08%,52.67%,"72,480"
90,Sniper,-1.10%,53.86%,"77,242"
91,Brewmaster,-1.16%,53.54%,"5,708"
92,Dark Willow,-1.25%,53.16%,"29,216"
