,counter_hero,disadv,certain_win,num_match
0,Broodmother,5.74%,42.83%,"10,469"
1,Visage,4.12%,44.30%,"4,047"
2,Phantom Lancer,3.19%,45.25%,"42,283"
3,Meepo,2.51%,41.71%,"9,075"
4,Anti-Mage,2.38%,47.19%,"48,163"
5,Void Spirit,2.02%,49.80%,"25,565"
6,Huskar,2.02%,45.64%,"26,812"
7,Ember Spirit,1.86%,51.37%,"34,011"
8,Terrorblade,1.47%,49.97%,"22,812"
9,Io,1.42%,53.19%,"8,026"
10,Undying,1.34%,47.72%,"21,016"
11,Snapfire,1.33%,51.62%,"36,325"
12,Juggernaut,1.29%,47.20%,"87,447"
13,Warlock,1.21%,46.36%,"24,805"
14,Queen of Pain,1.17%,51.05%,"35,557"
15,Storm Spirit,1.14%,51.14%,"39,674"
16,Templar Assassin,1.13%,49.12%,"36,734"
17,Faceless Void,1.12%,48.84%,"57,111"
18,Sand King,1.07%,44.93%,"42,136"
19,Death Prophet,1.07%,52.10%,"13,491"
20,Timbersaw,1.04%,50.55%,"36,067"
21,Dazzle,1.02%,45.12%,"38,212"
22,Keeper of the Light,1.02%,50.89%,"16,475"
23,Mirana,1.02%,46.77%,"57,267"
24,Phoenix,0.99%,51.65%,"19,897"
25,Batrider,0.96%,54.35%,"6,964"
26,Venomancer,0.92%,48.05%,"31,594"
27,Underlord,0.91%,43.11%,"22,821"
28,Necrophos,0.90%,45.20%,"30,564"
29,Chen,0.87%,53.86%,"2,397"
30,Naga Siren,0.86%,46.68%,"9,377"
31,Pangolier,0.81%,51.10%,"21,096"
32,Viper,0.66%,50.07%,"45,395"
33,Oracle,0.63%,51.39%,"15,398"
34,Night Stalker,0.59%,48.12%,"14,695"
35,Spectre,0.59%,45.27%,"51,251"
36,Jakiro,0.58%,47.22%,"33,502"
37,Wraith King,0.58%,45.46%,"56,792"
38,Puck,0.58%,49.67%,"47,219"
39,Morphling,0.55%,49.84%,"37,014"
40,Lycan,0.50%,53.92%,"3,967"
41,Riki,0.49%,45.72%,"32,653"
42,Magnus,0.46%,50.84%,"33,547"
43,Nyx Assassin,0.43%,46.55%,"29,560"
44,Winter Wyvern,0.43%,45.87%,"42,243"
45,Omniknight,0.43%,46.08%,"10,158"
46,Chaos Knight,0.43%,45.74%,"28,936"
47,Disruptor,0.42%,49.00%,"32,940"
48,Kunkka,0.42%,49.73%,"30,103"
49,Lone Druid,0.41%,53.45%,"5,472"
50,Ogre Magi,0.39%,46.08%,"76,488"
51,Ursa,0.36%,48.83%,"49,630"
52,Witch Doctor,0.34%,49.82%,"57,550"
53,Outworld Destroyer,0.32%,48.85%,"27,732"
54,Brewmaster,0.30%,48.70%,"5,834"
55,Dark Willow,0.30%,48.28%,"31,221"
56,Shadow Demon,0.29%,51.32%,"11,798"
57,Dawnbreaker,0.28%,49.21%,"27,251"
58,Abaddon,0.27%,46.09%,"21,077"
59,Dragon Knight,0.25%,47.87%,"42,614"
60,Grimstroke,0.25%,49.15%,"42,670"
61,Dark Seer,0.20%,43.71%,"14,556"
62,Invoker,0.18%,49.61%,"79,538"
63,Earth Spirit,0.17%,52.09%,"16,892"
64,Doom,0.16%,53.00%,"27,627"
65,Beastmaster,0.16%,55.63%,"4,050"
66,Lich,0.13%,49.99%,"32,183"
67,Ancient Apparition,0.11%,44.84%,"53,947"
68,Alchemist,0.03%,53.02%,"14,649"
69,Lifestealer,0.03%,48.34%,"39,199"
70,Shadow Shaman,0.02%,47.62%,"63,208"
71,Bane,0.01%,50.77%,"9,275"
72,Mars,0.00%,51.98%,"46,143"
73,Bristleback,-0.03%,47.59%,"62,194"
74,Enchantress,-0.05%,53.80%,"16,066"
75,Tusk,-0.09%,53.73%,"24,083"
76,Silencer,-0.19%,46.18%,"41,655"
77,Treant Protector,-0.21%,47.06%,"25,827"
78,Gyrocopter,-0.34%,51.07%,"24,569"
79,Skywrath Mage,-0.35%,48.84%,"38,509"
80,Lina,-0.40%,52.43%,"58,116"
81,Vengeful Spirit,-0.42%,49.29%,"22,026"
82,Medusa,-0.42%,47.23%,"40,452"
83,Arc Warden,-0.44%,46.81%,"14,466"
84,Monkey King,-0.44%,52.66%,"36,230"
85,Nature's Prophet,-0.48%,57.48%,"23,154"
86,Razor,-0.49%,49.45%,"21,142"
87,Centaur Warrunner,-0.50%,48.04%,"32,494"
88,Techies,-0.54%,51.11%,"38,778"
89,Weaver,-0.58%,50.97%,"26,370"
90,Legion Commander,-0.59%,49.89%,"56,720"
91,Hoodwink,-0.61%,48.73%,"50,360"
92,Tiny,-0.61%,55.81%,"30,371"
93,Pugna,-0.61%,51.91%,"18,140"
94,Lion,-0.62%,50.19%,"112,340"
95,Zeus,-0.65%,48.09%,"46,213"
96,Leshrac,-0.82%,52.75%,"20,693"
97,Rubick,-0.83%,54.70%,"55,461"
98,Slardar,-0.84%,49.74%,"33,168"
99,Axe,-0.89%,48.33%,"68,694"
100,Crystal Maiden,-0.90%,49.75%,"52,091"
101,Clinkz,-1.03%,47.69%,"19,365"
102,Slark,-1.03%,49.71%,"56,435"
103,Luna,-1.04%,47.83%,"49,539"
104,Troll Warlord,-1.12%,52.01%,"20,234"
105,Enigma,-1.17%,46.41%,"20,348"
106,Tidehunter,-1.17%,50.56%,"32,258"
