,counter_hero,disadv,certain_win,num_match
0,Pudge,1.57%,48.72%,"270,877"
1,Juggernaut,1.45%,48.07%,"196,091"
2,Monkey King,1.27%,52.31%,"92,298"
3,Puck,1.27%,50.17%,"94,973"
4,Enigma,1.16%,44.85%,"47,948"
5,Witch Doctor,1.14%,50.24%,"151,877"
6,Bristleback,1.11%,47.48%,"153,022"
7,Death Prophet,1.10%,53.49%,"31,420"
8,Rubick,1.08%,54.34%,"129,982"
9,Pangolier,0.98%,52.24%,"41,768"
10,Drow Ranger,0.94%,46.77%,"128,613"
11,Magnus,0.92%,51.65%,"68,392"
12,Clockwerk,0.92%,50.25%,"52,092"
13,Phoenix,0.88%,53.12%,"43,697"
14,Brewmaster,0.86%,49.22%,"13,353"
15,Shadow Shaman,0.85%,47.81%,"157,440"
16,Shadow Fiend,0.82%,51.77%,"151,379"
17,Faceless Void,0.79%,50.32%,"130,343"
18,Pugna,0.76%,51.82%,"45,213"
19,Medusa,0.74%,47.03%,"99,608"
20,Undying,0.68%,49.48%,"54,316"
21,Earth Spirit,0.67%,52.93%,"35,838"
22,Snapfire,0.66%,53.69%,"78,586"
23,Tidehunter,0.66%,49.88%,"74,611"
24,Mars,0.51%,52.82%,"97,952"
25,Kunkka,0.49%,50.86%,"70,875"
26,Lina,0.45%,52.97%,"138,711"
27,Outworld Destroyer,0.44%,49.85%,"61,530"
28,Dawnbreaker,0.42%,50.22%,"63,957"
29,Phantom Assassin,0.42%,53.07%,"163,755"
30,Elder Titan,0.40%,48.40%,"19,566"
31,Grimstroke,0.40%,50.14%,"100,859"
32,Disruptor,0.40%,50.17%,"79,511"
33,Silencer,0.39%,46.47%,"107,361"
34,Tiny,0.38%,56.42%,"66,774"
35,Lich,0.36%,50.98%,"83,798"
36,Leshrac,0.35%,52.91%,"44,037"
37,Beastmaster,0.34%,57.09%,"9,495"
38,Gyrocopter,0.29%,51.69%,"55,231"
39,Earthshaker,0.28%,52.59%,"96,837"
40,Invoker,0.26%,50.72%,"187,890"
41,Tusk,0.22%,54.89%,"50,818"
42,Queen of Pain,0.21%,53.36%,"76,989"
43,Techies,0.20%,51.63%,"102,288"
44,Lifestealer,0.20%,49.23%,"93,228"
45,Void Spirit,0.19%,52.96%,"52,146"
46,Sniper,0.19%,50.46%,"166,476"
47,Hoodwink,0.19%,49.01%,"112,068"
48,Winter Wyvern,0.18%,47.02%,"100,534"
49,Sven,0.12%,53.24%,"64,159"
50,Jakiro,0.11%,48.71%,"81,721"
51,Doom,0.10%,54.47%,"55,452"
52,Legion Commander,0.03%,50.44%,"140,275"
53,Bane,0.03%,52.03%,"21,668"
54,Treant Protector,0.02%,47.78%,"64,667"
55,Ursa,0.00%,50.31%,"110,422"
56,Io,0.00%,56.23%,"19,840"
57,Warlock,-0.01%,48.59%,"61,011"
58,Dark Willow,-0.02%,49.69%,"74,863"
59,Oracle,-0.04%,53.43%,"35,086"
60,Bloodseeker,-0.04%,48.81%,"59,166"
61,Nature's Prophet,-0.04%,58.83%,"61,179"
62,Viper,-0.04%,52.01%,"113,748"
63,Vengeful Spirit,-0.05%,50.03%,"54,772"
64,Nyx Assassin,-0.06%,48.02%,"63,691"
65,Night Stalker,-0.06%,49.89%,"32,793"
66,Slardar,-0.09%,50.12%,"78,858"
67,Lion,-0.10%,50.90%,"262,236"
68,Timbersaw,-0.10%,52.99%,"73,144"
69,Alchemist,-0.12%,54.63%,"35,054"
70,Spectre,-0.13%,46.85%,"115,130"
71,Axe,-0.14%,48.63%,"158,244"
72,Terrorblade,-0.14%,52.90%,"50,792"
73,Ogre Magi,-0.17%,47.53%,"194,121"
74,Storm Spirit,-0.21%,53.85%,"85,768"
75,Windranger,-0.23%,49.60%,"162,492"
76,Centaur Warrunner,-0.24%,48.81%,"74,324"
77,Shadow Demon,-0.28%,53.24%,"26,812"
78,Luna,-0.30%,48.09%,"115,148"
79,Zeus,-0.30%,48.77%,"113,393"
80,Morphling,-0.30%,51.93%,"88,706"
81,Weaver,-0.31%,51.95%,"68,098"
82,Ember Spirit,-0.31%,54.96%,"69,632"
83,Tinker,-0.33%,50.75%,"75,107"
84,Skywrath Mage,-0.38%,49.97%,"95,172"
85,Riki,-0.43%,47.54%,"82,300"
86,Ancient Apparition,-0.46%,46.19%,"125,096"
87,Keeper of the Light,-0.46%,53.78%,"40,885"
88,Venomancer,-0.48%,50.58%,"74,020"
89,Sand King,-0.57%,47.45%,"90,537"
90,Abaddon,-0.61%,47.91%,"51,131"
91,Spirit Breaker,-0.62%,50.35%,"88,488"
92,Dazzle,-0.64%,47.64%,"106,693"
93,Underlord,-0.67%,45.47%,"48,977"
94,Razor,-0.71%,50.82%,"48,044"
95,Mirana,-0.78%,49.54%,"129,520"
96,Lycan,-0.78%,56.85%,"10,272"
97,Dark Seer,-0.79%,45.47%,"33,006"
98,Visage,-0.80%,50.44%,"9,680"
99,Bounty Hunter,-0.83%,51.45%,"81,871"
100,Lone Druid,-0.86%,56.32%,"13,844"
101,Enchantress,-0.89%,56.22%,"40,300"
102,Huskar,-0.95%,49.63%,"70,026"
103,Templar Assassin,-0.96%,52.43%,"84,124"
104,Dragon Knight,-0.98%,50.17%,"96,290"
105,Anti-Mage,-1.04%,51.69%,"125,032"
106,Chen,-1.14%,57.61%,"6,226"
107,Batrider,-1.15%,58.13%,"14,511"
108,Slark,-1.18%,51.00%,"135,188"
109,Troll Warlord,-1.26%,53.48%,"52,438"
110,Necrophos,-1.31%,48.34%,"72,464"
111,Arc Warden,-1.33%,48.67%,"34,208"
112,Wraith King,-1.33%,48.23%,"134,978"
113,Clinkz,-1.48%,49.13%,"48,948"
114,Omniknight,-1.71%,49.25%,"24,935"
115,Chaos Knight,-1.80%,48.90%,"75,250"
116,Naga Siren,-2.76%,51.47%,"23,183"
117,Broodmother,-3.45%,53.39%,"23,698"
118,Meepo,-3.46%,48.61%,"24,711"
119,Phantom Lancer,-3.88%,53.38%,"88,784"
