,counter_hero,disadv,certain_win,num_match
0,Clinkz,3.65%,49.06%,"13,956"
1,Bristleback,3.55%,50.23%,"40,845"
2,Lone Druid,3.53%,56.22%,"3,933"
3,Oracle,3.20%,54.77%,"10,517"
4,Faceless Void,3.18%,52.85%,"35,209"
5,Sven,3.03%,54.94%,"17,037"
6,Leshrac,2.94%,54.95%,"13,497"
7,Enigma,2.60%,48.71%,"12,945"
8,Bloodseeker,2.39%,51.39%,"16,241"
9,Invoker,2.26%,53.66%,"50,780"
10,Windranger,2.22%,52.23%,"44,540"
11,Anti-Mage,2.18%,53.38%,"33,991"
12,Weaver,2.13%,54.26%,"18,225"
13,Doom,2.07%,57.03%,"18,452"
14,Monkey King,2.05%,56.15%,"24,071"
15,Ember Spirit,2.01%,57.15%,"21,583"
16,Keeper of the Light,1.74%,56.11%,"10,772"
17,Gyrocopter,1.59%,55.11%,"15,842"
18,Troll Warlord,1.52%,55.34%,"14,087"
19,Ursa,1.47%,53.74%,"29,594"
20,Lina,1.37%,56.67%,"37,412"
21,Warlock,1.36%,52.25%,"16,791"
22,Juggernaut,1.33%,53.15%,"53,119"
23,Void Spirit,1.32%,56.44%,"15,153"
24,Timbersaw,1.32%,56.21%,"20,608"
25,Techies,1.32%,55.25%,"24,508"
26,Sniper,1.30%,54.24%,"42,913"
27,Dawnbreaker,1.27%,54.22%,"18,068"
28,Nature's Prophet,1.25%,61.60%,"15,872"
29,Batrider,1.18%,59.99%,"4,389"
30,Shadow Fiend,1.14%,56.13%,"38,930"
31,Enchantress,1.14%,58.53%,"11,547"
32,Broodmother,1.10%,53.55%,"7,270"
33,Hoodwink,1.07%,53.13%,"33,037"
34,Rubick,1.00%,58.84%,"35,531"
35,Phoenix,0.96%,57.60%,"13,025"
36,Phantom Assassin,0.93%,57.16%,"41,303"
37,Queen of Pain,0.91%,57.23%,"21,549"
38,Disruptor,0.87%,54.55%,"20,597"
39,Alchemist,0.83%,58.12%,"9,067"
40,Pangolier,0.79%,57.07%,"13,262"
41,Zeus,0.78%,52.72%,"30,315"
42,Earthshaker,0.74%,56.77%,"25,768"
43,Grimstroke,0.74%,54.66%,"27,213"
44,Jakiro,0.68%,53.14%,"21,557"
45,Legion Commander,0.63%,54.70%,"36,199"
46,Outworld Destroyer,0.63%,54.53%,"17,065"
47,Death Prophet,0.60%,58.49%,"8,796"
48,Tiny,0.59%,60.49%,"19,141"
49,Witch Doctor,0.58%,55.55%,"36,193"
50,Centaur Warrunner,0.58%,52.99%,"21,187"
51,Kunkka,0.56%,55.56%,"19,546"
52,Brewmaster,0.50%,54.49%,"4,151"
53,Underlord,0.44%,49.68%,"14,651"
54,Sand King,0.42%,51.62%,"26,262"
55,Silencer,0.39%,51.65%,"27,269"
56,Huskar,0.37%,53.28%,"17,358"
57,Crystal Maiden,0.36%,54.52%,"33,004"
58,Drow Ranger,0.30%,52.50%,"35,379"
59,Ancient Apparition,0.24%,50.77%,"34,544"
60,Tinker,0.21%,55.03%,"19,051"
61,Undying,0.21%,54.83%,"14,522"
62,Arc Warden,0.19%,52.20%,"9,646"
63,Snapfire,0.17%,58.68%,"22,386"
64,Mars,0.16%,57.75%,"29,120"
65,Nyx Assassin,0.15%,52.86%,"18,591"
66,Puck,0.11%,56.09%,"29,270"
67,Skywrath Mage,0.10%,54.39%,"24,249"
68,Shadow Demon,0.03%,57.53%,"7,984"
69,Razor,0.01%,54.93%,"13,911"
70,Mirana,0.01%,53.74%,"37,155"
71,Dazzle,-0.06%,52.21%,"26,048"
72,Dark Willow,-0.07%,54.64%,"20,588"
73,Storm Spirit,-0.12%,58.30%,"24,380"
74,Chen,-0.13%,60.78%,"1,688"
75,Vengeful Spirit,-0.14%,54.99%,"14,320"
76,Bounty Hunter,-0.24%,55.64%,"22,762"
77,Riki,-0.26%,52.49%,"21,730"
78,Lycan,-0.28%,60.61%,"2,795"
79,Slardar,-0.30%,55.19%,"21,424"
80,Meepo,-0.30%,50.61%,"5,904"
81,Clockwerk,-0.32%,56.28%,"14,555"
82,Slark,-0.36%,55.04%,"33,672"
83,Treant Protector,-0.36%,53.23%,"17,856"
84,Winter Wyvern,-0.41%,52.72%,"29,115"
85,Io,-0.44%,60.97%,"5,632"
86,Earth Spirit,-0.46%,58.64%,"10,627"
87,Night Stalker,-0.53%,55.24%,"9,324"
