,counter_hero,disadv,certain_win,num_match
0,Naga Siren,2.25%,46.64%,"13,852"
1,Pugna,2.17%,50.57%,"26,185"
2,Nature's Prophet,2.01%,56.58%,"33,796"
3,Juggernaut,1.72%,48.20%,"119,829"
4,Phantom Lancer,1.58%,48.22%,"56,294"
5,Techies,1.53%,50.54%,"56,599"
6,Leshrac,1.42%,52.00%,"29,254"
7,Tinker,1.41%,49.30%,"45,345"
8,Broodmother,1.18%,48.87%,"15,198"
9,Clinkz,1.18%,46.84%,"29,214"
10,Shadow Fiend,1.16%,51.64%,"90,476"
11,Puck,1.07%,50.65%,"62,815"
12,Axe,1.05%,47.89%,"95,177"
13,Venomancer,0.95%,49.45%,"44,086"
14,Huskar,0.95%,48.09%,"39,140"
15,Elder Titan,0.92%,48.25%,"12,078"
16,Zeus,0.91%,47.98%,"66,113"
17,Sand King,0.89%,46.47%,"56,423"
18,Legion Commander,0.89%,49.91%,"79,279"
19,Jakiro,0.89%,48.32%,"47,395"
20,Beastmaster,0.80%,56.53%,"5,489"
21,Sniper,0.76%,50.20%,"92,350"
22,Lycan,0.71%,55.26%,"5,791"
23,Enigma,0.52%,46.07%,"27,421"
24,Invoker,0.47%,50.79%,"112,307"
25,Lifestealer,0.45%,49.34%,"55,332"
26,Ancient Apparition,0.42%,45.87%,"76,314"
27,Viper,0.41%,51.78%,"65,958"
28,Nyx Assassin,0.40%,47.97%,"40,029"
29,Queen of Pain,0.39%,53.32%,"45,907"
30,Shadow Demon,0.38%,52.73%,"17,004"
31,Snapfire,0.37%,54.09%,"48,260"
32,Arc Warden,0.34%,47.38%,"20,840"
33,Weaver,0.33%,51.52%,"37,876"
34,Keeper of the Light,0.32%,53.09%,"23,588"
35,Brewmaster,0.31%,50.12%,"8,282"
36,Lina,0.29%,53.26%,"83,969"
37,Storm Spirit,0.29%,53.47%,"52,737"
38,Tiny,0.25%,56.53%,"41,313"
39,Oracle,0.23%,53.30%,"22,714"
40,Alchemist,0.23%,54.33%,"19,296"
41,Doom,0.23%,54.46%,"36,384"
42,Phoenix,0.22%,53.93%,"28,012"
43,Wraith King,0.21%,47.18%,"80,418"
44,Drow Ranger,0.20%,47.95%,"73,397"
45,Faceless Void,0.17%,51.19%,"77,325"
46,Spectre,0.16%,47.04%,"70,907"
47,Tidehunter,0.15%,50.69%,"45,237"
48,Treant Protector,0.12%,48.11%,"38,036"
49,Dazzle,0.12%,47.36%,"59,922"
50,Underlord,0.12%,45.22%,"31,272"
51,Batrider,0.11%,56.76%,"8,788"
52,Bloodseeker,0.11%,49.04%,"31,785"
53,Void Spirit,0.10%,53.21%,"32,746"
54,Phantom Assassin,0.08%,53.53%,"89,575"
55,Winter Wyvern,0.08%,47.58%,"63,181"
56,Earthshaker,0.03%,53.01%,"56,271"
57,Grimstroke,0.03%,50.81%,"61,908"
58,Lion,0.02%,51.07%,"157,205"
59,Monkey King,0.02%,53.70%,"52,148"
60,Anti-Mage,0.01%,50.92%,"69,871"
61,Crystal Maiden,0.01%,50.31%,"74,866"
62,Skywrath Mage,-0.01%,49.93%,"54,864"
63,Hoodwink,-0.03%,49.58%,"70,582"
64,Silencer,-0.04%,47.40%,"59,148"
65,Earth Spirit,-0.07%,53.85%,"23,340"
66,Undying,-0.08%,50.57%,"30,805"
67,Magnus,-0.10%,52.89%,"44,349"
68,Mirana,-0.10%,49.24%,"79,292"
69,Sven,-0.12%,53.61%,"35,376"
70,Mars,-0.12%,53.60%,"60,548"
71,Dark Seer,-0.13%,45.36%,"20,589"
72,Bane,-0.14%,52.40%,"12,732"
73,Rubick,-0.15%,55.59%,"76,348"
74,Terrorblade,-0.16%,53.10%,"31,151"
75,Dragon Knight,-0.16%,49.69%,"58,642"
76,Chaos Knight,-0.19%,47.72%,"42,218"
77,Riki,-0.22%,47.79%,"47,402"
78,Clockwerk,-0.26%,51.72%,"31,223"
79,Shadow Shaman,-0.26%,49.29%,"88,181"
80,Pudge,-0.30%,50.74%,"162,310"
81,Windranger,-0.32%,50.02%,"96,406"
82,Kunkka,-0.35%,51.96%,"41,245"
83,Disruptor,-0.38%,51.24%,"46,767"
84,Gyrocopter,-0.38%,52.58%,"32,835"
85,Death Prophet,-0.39%,55.10%,"18,281"
86,Omniknight,-0.45%,48.36%,"14,685"
