,counter_hero,disadv,certain_win,num_match
0,Bristleback,2.76%,45.42%,"81,268"
1,Troll Warlord,2.18%,49.24%,"27,273"
2,Dark Willow,1.93%,47.15%,"38,111"
3,Faceless Void,1.92%,48.58%,"68,444"
4,Timbersaw,1.90%,50.22%,"44,308"
5,Underlord,1.77%,42.68%,"26,718"
6,Death Prophet,1.66%,52.05%,"16,172"
7,Weaver,1.62%,49.30%,"35,239"
8,Winter Wyvern,1.59%,45.20%,"52,978"
9,Nyx Assassin,1.56%,45.90%,"33,527"
10,Sven,1.47%,51.06%,"31,838"
11,Razor,1.43%,48.02%,"25,463"
12,Batrider,1.42%,54.44%,"7,925"
13,Lina,1.40%,51.24%,"72,418"
14,Monkey King,1.37%,51.41%,"48,450"
15,Lycan,1.33%,53.66%,"5,401"
16,Techies,1.32%,49.81%,"52,468"
17,Slardar,1.14%,48.28%,"41,301"
18,Lich,1.11%,49.54%,"40,245"
19,Silencer,1.02%,45.47%,"51,146"
20,Outworld Destroyer,1.00%,48.68%,"31,951"
21,Lifestealer,0.98%,47.90%,"49,016"
22,Elder Titan,0.94%,47.32%,"10,528"
23,Keeper of the Light,0.83%,51.61%,"20,088"
24,Juggernaut,0.81%,48.13%,"101,371"
25,Jakiro,0.79%,47.50%,"39,803"
26,Grimstroke,0.79%,49.13%,"51,647"
27,Sniper,0.77%,49.26%,"81,011"
28,Ogre Magi,0.72%,46.23%,"91,342"
29,Windranger,0.71%,48.13%,"84,576"
30,Bloodseeker,0.70%,47.52%,"29,731"
31,Phoenix,0.70%,52.47%,"23,866"
32,Drow Ranger,0.67%,46.59%,"66,029"
33,Ursa,0.66%,49.04%,"60,467"
34,Witch Doctor,0.65%,50.03%,"70,934"
35,Kunkka,0.56%,50.11%,"37,251"
36,Dragon Knight,0.52%,48.10%,"51,120"
37,Medusa,0.49%,46.82%,"49,812"
38,Doom,0.42%,53.29%,"31,486"
39,Pangolier,0.38%,52.07%,"23,460"
40,Lone Druid,0.36%,54.08%,"7,304"
41,Shadow Fiend,0.34%,51.48%,"82,246"
42,Io,0.33%,54.89%,"10,774"
43,Bounty Hunter,0.32%,49.63%,"42,685"
44,Ancient Apparition,0.31%,45.09%,"64,353"
45,Skywrath Mage,0.29%,48.71%,"47,443"
46,Tinker,0.29%,49.49%,"40,019"
47,Invoker,0.24%,50.06%,"98,212"
48,Beastmaster,0.22%,56.17%,"5,117"
49,Disruptor,0.20%,49.73%,"39,525"
50,Viper,0.20%,51.04%,"55,916"
51,Tiny,0.19%,55.58%,"35,145"
52,Earthshaker,0.18%,51.91%,"48,016"
53,Oracle,0.17%,52.40%,"19,393"
54,Pugna,0.15%,51.67%,"22,318"
55,Hoodwink,0.15%,48.48%,"60,832"
56,Alchemist,0.14%,53.46%,"17,269"
57,Terrorblade,0.12%,51.85%,"27,478"
58,Riki,0.10%,46.57%,"40,508"
59,Ember Spirit,0.06%,53.69%,"37,507"
60,Huskar,0.03%,48.09%,"36,232"
61,Morphling,-0.01%,50.91%,"45,118"
62,Necrophos,-0.04%,46.60%,"37,677"
63,Luna,-0.04%,47.35%,"61,461"
64,Clinkz,-0.04%,47.16%,"25,638"
65,Zeus,-0.05%,48.00%,"56,903"
66,Night Stalker,-0.06%,49.28%,"16,969"
67,Snapfire,-0.06%,53.55%,"41,968"
68,Omniknight,-0.10%,47.09%,"13,113"
69,Queen of Pain,-0.11%,52.85%,"39,906"
70,Venomancer,-0.12%,49.59%,"37,255"
71,Chen,-0.21%,55.58%,"3,289"
72,Warlock,-0.21%,48.27%,"31,387"
73,Templar Assassin,-0.21%,50.95%,"46,870"
74,Leshrac,-0.23%,52.70%,"24,056"
75,Magnus,-0.23%,52.06%,"37,912"
76,Dazzle,-0.24%,46.82%,"50,120"
77,Enigma,-0.25%,45.94%,"25,363"
78,Rubick,-0.26%,54.72%,"65,779"
79,Clockwerk,-0.27%,50.79%,"27,252"
80,Mirana,-0.28%,48.50%,"66,222"
81,Lion,-0.29%,50.41%,"131,165"
82,Visage,-0.33%,49.34%,"5,610"
83,Puck,-0.38%,51.12%,"50,508"
84,Crystal Maiden,-0.40%,49.77%,"63,956"
85,Shadow Demon,-0.47%,52.63%,"14,090"
86,Gyrocopter,-0.50%,51.76%,"28,714"
87,Enchantress,-0.54%,54.87%,"20,342"
88,Treant Protector,-0.58%,47.90%,"33,431"
89,Bane,-0.61%,51.93%,"11,128"
90,Vengeful Spirit,-0.72%,50.09%,"27,443"
91,Centaur Warrunner,-0.75%,48.77%,"39,968"
92,Phantom Assassin,-0.76%,53.37%,"79,797"
93,Storm Spirit,-0.85%,53.63%,"46,157"
94,Axe,-0.90%,48.82%,"87,649"
95,Slark,-0.92%,50.11%,"69,082"
96,Tusk,-0.93%,55.13%,"26,557"
97,Void Spirit,-0.96%,53.31%,"28,529"
98,Tidehunter,-1.04%,50.94%,"38,371"
99,Abaddon,-1.13%,47.97%,"26,465"
100,Sand King,-1.14%,47.57%,"47,869"
101,Broodmother,-1.24%,50.42%,"13,602"
102,Arc Warden,-1.26%,48.10%,"18,935"
103,Earth Spirit,-1.32%,54.15%,"20,417"
104,Spirit Breaker,-1.34%,50.45%,"45,429"
105,Nature's Prophet,-1.34%,58.95%,"30,716"
106,Naga Siren,-1.35%,49.41%,"11,758"
107,Shadow Shaman,-1.40%,49.46%,"72,639"
108,Dark Seer,-1.41%,45.78%,"18,068"
109,Mars,-1.42%,53.91%,"55,072"
110,Wraith King,-1.48%,47.90%,"72,206"
111,Anti-Mage,-1.72%,51.67%,"58,355"
112,Spectre,-1.73%,47.99%,"57,695"
113,Brewmaster,-1.75%,51.31%,"7,256"
114,Meepo,-1.98%,46.69%,"12,384"
115,Undying,-2.05%,51.62%,"27,001"
116,Chaos Knight,-2.07%,48.69%,"37,967"
117,Phantom Lancer,-2.13%,50.95%,"46,375"
118,Pudge,-2.20%,51.49%,"140,774"
119,Legion Commander,-2.73%,52.45%,"71,789"
