,counter_hero,disadv,certain_win,num_match
0,Ancient Apparition,2.42%,46.38%,"110,070"
1,Morphling,1.98%,52.50%,"73,286"
2,Monkey King,1.80%,54.61%,"73,291"
3,Weaver,1.77%,52.70%,"54,397"
4,Razor,1.51%,51.43%,"36,188"
5,Slark,1.49%,51.28%,"109,629"
6,Tidehunter,1.49%,51.93%,"55,588"
7,Drow Ranger,1.43%,49.28%,"106,443"
8,Io,1.34%,57.60%,"16,434"
9,Outworld Destroyer,1.30%,51.88%,"49,631"
10,Pangolier,1.28%,54.74%,"31,487"
11,Shadow Fiend,1.22%,54.25%,"131,091"
12,Gyrocopter,1.11%,53.70%,"42,729"
13,Chen,1.11%,57.93%,"4,766"
14,Grimstroke,1.08%,52.37%,"82,520"
15,Nature's Prophet,1.06%,60.35%,"47,623"
16,Faceless Void,1.02%,52.97%,"103,235"
17,Night Stalker,1.01%,51.69%,"25,227"
18,Doom,0.99%,56.35%,"44,093"
19,Axe,0.97%,50.59%,"195,878"
20,Pugna,0.91%,54.50%,"34,582"
21,Venomancer,0.90%,52.08%,"59,129"
22,Luna,0.89%,49.87%,"90,424"
23,Brewmaster,0.87%,52.13%,"10,426"
24,Riki,0.84%,49.24%,"65,386"
25,Huskar,0.82%,50.77%,"54,685"
26,Tiny,0.81%,58.66%,"49,244"
27,Lich,0.80%,53.42%,"65,347"
28,Magnus,0.78%,54.63%,"52,547"
29,Meepo,0.74%,47.22%,"21,027"
30,Keeper of the Light,0.71%,55.37%,"31,528"
31,Broodmother,0.71%,51.94%,"19,705"
32,Snapfire,0.68%,56.46%,"60,652"
33,Leshrac,0.66%,55.40%,"33,785"
34,Earthshaker,0.64%,55.05%,"72,199"
35,Silencer,0.63%,49.24%,"87,123"
36,Bloodseeker,0.63%,51.07%,"44,339"
37,Troll Warlord,0.61%,54.39%,"40,534"
38,Crystal Maiden,0.57%,52.36%,"106,692"
39,Abaddon,0.56%,49.69%,"41,086"
40,Sven,0.55%,55.59%,"47,564"
41,Puck,0.52%,53.79%,"74,537"
42,Phoenix,0.52%,56.32%,"35,619"
43,Hoodwink,0.43%,51.70%,"90,790"
44,Omniknight,0.43%,49.98%,"20,189"
45,Witch Doctor,0.42%,53.84%,"123,525"
46,Bounty Hunter,0.42%,53.06%,"62,227"
47,Earth Spirit,0.40%,56.04%,"29,535"
48,Treant Protector,0.39%,50.37%,"52,661"
49,Mars,0.39%,55.75%,"74,050"
50,Lina,0.37%,55.87%,"112,270"
51,Dawnbreaker,0.36%,53.19%,"50,121"
52,Ogre Magi,0.35%,50.02%,"152,476"
53,Tusk,0.34%,57.49%,"36,414"
54,Viper,0.32%,54.50%,"88,807"
