,counter_hero,disadv,certain_win,num_match
0,Medusa,4.27%,39.65%,"27,199"
1,Anti-Mage,3.12%,43.41%,"30,578"
2,Terrorblade,2.21%,46.10%,"13,635"
3,Weaver,2.16%,45.14%,"18,377"
4,Sniper,2.12%,44.41%,"43,497"
5,Undying,1.91%,44.07%,"14,387"
6,Drow Ranger,1.87%,41.93%,"33,352"
7,Slardar,1.83%,44.04%,"21,202"
8,Luna,1.73%,42.13%,"31,330"
9,Ancient Apparition,1.62%,40.36%,"27,590"
10,Lina,1.60%,47.37%,"36,646"
11,Vengeful Spirit,1.43%,44.35%,"13,708"
12,Chaos Knight,1.24%,41.90%,"20,158"
13,Windranger,1.24%,44.07%,"43,360"
14,Silencer,1.24%,41.77%,"28,042"
15,Shadow Fiend,1.13%,47.08%,"36,991"
16,Nature's Prophet,1.09%,52.67%,"16,084"
17,Shadow Shaman,1.06%,43.57%,"36,607"
18,Razor,1.06%,44.81%,"14,764"
19,Bounty Hunter,1.05%,45.31%,"22,940"
20,Arc Warden,1.04%,42.28%,"8,420"
21,Phantom Lancer,1.04%,44.28%,"24,289"
22,Mirana,0.98%,43.74%,"32,636"
23,Bloodseeker,0.97%,43.70%,"17,124"
24,Beastmaster,0.93%,51.63%,"2,764"
25,Nyx Assassin,0.83%,43.12%,"17,082"
26,Leshrac,0.82%,47.96%,"12,470"
27,Bristleback,0.81%,43.74%,"40,301"
28,Elder Titan,0.74%,43.96%,"5,691"
29,Riki,0.71%,42.47%,"22,509"
30,Disruptor,0.66%,45.67%,"19,301"
31,Naga Siren,0.65%,43.82%,"6,371"
32,Venomancer,0.64%,45.24%,"20,206"
33,Queen of Pain,0.62%,48.43%,"21,459"
34,Legion Commander,0.60%,45.65%,"35,257"
35,Dark Willow,0.60%,44.90%,"18,281"
36,Keeper of the Light,0.60%,48.16%,"10,351"
37,Clinkz,0.57%,43.03%,"13,417"
38,Techies,0.57%,46.91%,"24,013"
39,Monkey King,0.49%,48.58%,"24,025"
40,Invoker,0.47%,46.24%,"45,486"
41,Night Stalker,0.43%,45.19%,"9,337"
42,Dazzle,0.32%,42.76%,"23,917"
43,Spectre,0.28%,42.54%,"32,570"
44,Zeus,0.21%,44.20%,"30,889"
45,Witch Doctor,0.21%,46.83%,"33,878"
46,Lion,0.21%,46.35%,"63,083"
47,Sand King,0.20%,42.76%,"23,934"
48,Pangolier,0.19%,48.57%,"10,946"
49,Hoodwink,0.15%,44.92%,"27,812"
50,Batrider,0.14%,51.94%,"4,182"
51,Morphling,0.14%,47.12%,"20,563"
52,Ogre Magi,0.13%,43.28%,"47,081"
53,Troll Warlord,0.10%,47.66%,"14,628"
54,Wraith King,0.09%,42.89%,"35,972"
55,Sven,0.06%,48.77%,"18,264"
56,Phantom Assassin,-0.02%,48.97%,"40,520"
57,Abaddon,-0.08%,43.39%,"13,742"
58,Gyrocopter,-0.12%,47.71%,"15,538"
59,Doom,-0.14%,50.11%,"16,929"
60,Enigma,-0.15%,42.37%,"11,760"
61,Lycan,-0.15%,51.40%,"2,971"
62,Earthshaker,-0.18%,48.57%,"24,838"
63,Rubick,-0.20%,50.91%,"31,094"
64,Shadow Demon,-0.24%,48.70%,"7,610"
65,Spirit Breaker,-0.25%,45.77%,"23,972"
66,Tusk,-0.27%,50.71%,"13,306"
67,Pugna,-0.32%,48.46%,"12,725"
68,Alchemist,-0.33%,50.20%,"9,637"
69,Enchantress,-0.34%,50.90%,"10,864"
70,Ember Spirit,-0.39%,50.40%,"18,513"
71,Templar Assassin,-0.39%,47.49%,"21,953"
72,Underlord,-0.45%,41.48%,"13,381"
73,Storm Spirit,-0.47%,49.54%,"23,401"
74,Slark,-0.48%,46.09%,"33,577"
75,Warlock,-0.54%,45.04%,"14,885"
76,Lich,-0.55%,47.54%,"19,786"
77,Dark Seer,-0.58%,41.51%,"8,796"
78,Faceless Void,-0.61%,47.37%,"33,844"
79,Jakiro,-0.64%,45.35%,"20,407"
80,Bane,-0.66%,48.30%,"5,861"
81,Snapfire,-0.66%,50.40%,"19,824"
82,Omniknight,-0.74%,44.21%,"6,949"
83,Crystal Maiden,-0.76%,46.52%,"31,421"
84,Skywrath Mage,-0.77%,46.15%,"25,191"
85,Grimstroke,-0.78%,47.04%,"23,466"
86,Winter Wyvern,-0.90%,44.12%,"24,720"
87,Void Spirit,-0.99%,49.63%,"13,741"
88,Mars,-1.02%,49.81%,"24,739"
89,Dragon Knight,-1.02%,46.02%,"26,860"
90,Clockwerk,-1.03%,47.90%,"13,492"
91,Viper,-1.09%,48.61%,"32,334"
92,Broodmother,-1.11%,46.68%,"5,501"
93,Magnus,-1.13%,49.27%,"17,615"
94,Treant Protector,-1.28%,45.06%,"16,007"
95,Puck,-1.29%,48.36%,"25,776"
96,Phoenix,-1.33%,50.79%,"11,326"
97,Tiny,-1.40%,53.35%,"17,900"
98,Tinker,-1.53%,47.67%,"17,294"
99,Outworld Destroyer,-1.54%,47.58%,"17,592"
100,Lifestealer,-1.55%,46.79%,"23,209"
101,Dawnbreaker,-1.59%,47.95%,"16,172"
102,Visage,-2.01%,47.45%,"2,723"
103,Juggernaut,-2.05%,47.17%,"50,897"
104,Kunkka,-2.05%,49.04%,"19,035"
105,Pudge,-2.12%,47.80%,"69,254"
106,Brewmaster,-2.26%,48.18%,"3,827"
107,Ursa,-2.28%,48.26%,"28,913"
108,Axe,-2.43%,46.69%,"43,001"
109,Centaur Warrunner,-2.53%,46.96%,"19,546"
110,Earth Spirit,-2.55%,51.63%,"9,025"
111,Oracle,-2.60%,51.46%,"8,749"
112,Necrophos,-2.63%,45.62%,"19,472"
113,Tidehunter,-2.70%,48.94%,"19,805"
114,Meepo,-2.95%,44.21%,"5,669"
115,Timbersaw,-3.25%,51.59%,"19,605"
116,Io,-3.48%,54.93%,"5,150"
117,Huskar,-3.72%,48.21%,"18,275"
118,Chen,-3.73%,55.33%,"1,612"
119,Lone Druid,-3.79%,54.52%,"3,879"
