,counter_hero,disadv,certain_win,num_match
0,Legion Commander,1.75%,48.21%,"85,976"
1,Phantom Assassin,1.62%,51.21%,"96,506"
2,Huskar,1.55%,46.63%,"39,943"
3,Oracle,1.54%,51.11%,"23,833"
4,Sniper,1.42%,48.71%,"93,398"
5,Tinker,1.12%,48.73%,"46,806"
6,Dragon Knight,1.11%,47.57%,"62,997"
7,Lone Druid,1.07%,53.46%,"8,012"
8,Clinkz,0.95%,46.20%,"29,215"
9,Shadow Demon,0.87%,51.37%,"18,212"
10,Nature's Prophet,0.87%,56.88%,"33,994"
11,Templar Assassin,0.85%,49.98%,"54,746"
12,Zeus,0.84%,47.17%,"67,873"
13,Tusk,0.82%,53.49%,"32,620"
14,Arc Warden,0.78%,46.06%,"21,891"
15,Io,0.74%,54.58%,"11,923"
16,Abaddon,0.72%,46.13%,"32,171"
17,Beastmaster,0.66%,55.84%,"5,706"
18,Winter Wyvern,0.63%,46.17%,"65,709"
19,Gyrocopter,0.61%,50.72%,"34,852"
20,Pugna,0.57%,51.34%,"26,870"
21,Invoker,0.57%,49.84%,"115,847"
22,Lycan,0.56%,54.54%,"5,810"
23,Lina,0.56%,52.16%,"85,936"
24,Spectre,0.52%,45.82%,"76,103"
25,Tiny,0.46%,55.47%,"42,699"
26,Viper,0.45%,50.88%,"67,887"
27,Drow Ranger,0.44%,46.84%,"73,165"
28,Luna,0.41%,46.94%,"72,310"
29,Bounty Hunter,0.40%,49.62%,"49,534"
30,Dark Willow,0.38%,48.76%,"46,764"
31,Elder Titan,0.38%,47.95%,"12,437"
32,Faceless Void,0.36%,50.15%,"77,442"
33,Sven,0.35%,52.28%,"37,511"
34,Lifestealer,0.34%,48.59%,"61,269"
35,Bloodseeker,0.32%,47.96%,"33,118"
36,Keeper of the Light,0.28%,52.28%,"24,234"
37,Bane,0.27%,51.12%,"13,237"
38,Jakiro,0.27%,48.07%,"51,286"
39,Dazzle,0.27%,46.34%,"63,718"
40,Slardar,0.24%,49.24%,"48,284"
41,Shadow Fiend,0.23%,51.68%,"90,191"
42,Axe,0.21%,47.82%,"97,812"
43,Ember Spirit,0.18%,53.70%,"46,583"
44,Warlock,0.16%,47.93%,"38,352"
45,Wraith King,0.16%,46.36%,"86,120"
46,Outworld Destroyer,0.12%,49.62%,"40,112"
47,Earth Spirit,0.11%,52.80%,"23,010"
48,Alchemist,0.10%,53.61%,"20,942"
49,Night Stalker,0.10%,49.17%,"21,593"
50,Snapfire,0.09%,53.52%,"50,291"
51,Venomancer,0.07%,49.47%,"46,203"
52,Lich,0.06%,50.66%,"50,181"
53,Doom,0.04%,53.80%,"38,796"
54,Kunkka,0.04%,50.71%,"44,554"
55,Windranger,0.04%,48.82%,"100,750"
56,Ancient Apparition,0.03%,45.37%,"79,712"
57,Troll Warlord,0.03%,51.48%,"29,388"
58,Treant Protector,0.03%,47.33%,"39,409"
59,Razor,0.02%,49.51%,"30,630"
60,Witch Doctor,0.00%,50.74%,"90,014"
61,Pangolier,-0.01%,52.57%,"28,022"
62,Mars,-0.03%,52.66%,"63,678"
63,Brewmaster,-0.04%,49.62%,"8,553"
64,Bristleback,-0.05%,48.14%,"92,902"
65,Morphling,-0.05%,51.03%,"50,315"
66,Rubick,-0.06%,54.65%,"82,583"
67,Shadow Shaman,-0.06%,48.23%,"95,163"
68,Timbersaw,-0.07%,52.27%,"46,035"
69,Undying,-0.07%,49.70%,"32,158"
70,Grimstroke,-0.08%,50.05%,"64,609"
71,Chaos Knight,-0.11%,46.77%,"44,445"
72,Ursa,-0.11%,49.87%,"70,082"
73,Batrider,-0.11%,56.15%,"9,126"
74,Medusa,-0.12%,47.45%,"62,444"
75,Ogre Magi,-0.14%,47.08%,"116,079"
76,Underlord,-0.14%,44.59%,"32,919"
77,Hoodwink,-0.14%,48.82%,"71,981"
78,Skywrath Mage,-0.14%,49.20%,"56,118"
79,Enchantress,-0.17%,54.62%,"23,457"
80,Dawnbreaker,-0.20%,50.27%,"39,526"
81,Meepo,-0.24%,44.95%,"13,426"
82,Centaur Warrunner,-0.24%,48.32%,"47,294"
83,Lion,-0.25%,50.46%,"160,517"
84,Pudge,-0.30%,49.87%,"164,304"
85,Tidehunter,-0.30%,50.28%,"46,784"
86,Broodmother,-0.31%,49.53%,"14,915"
87,Magnus,-0.33%,52.27%,"46,004"
88,Terrorblade,-0.36%,52.44%,"32,299"
89,Phoenix,-0.37%,53.68%,"29,027"
90,Crystal Maiden,-0.39%,49.83%,"79,513"
91,Clockwerk,-0.39%,51.00%,"32,939"
92,Chen,-0.40%,55.87%,"3,449"
93,Death Prophet,-0.47%,54.34%,"19,303"
94,Omniknight,-0.48%,47.52%,"15,137"
95,Void Spirit,-0.49%,52.95%,"34,543"
96,Techies,-0.49%,51.67%,"56,616"
97,Vengeful Spirit,-0.50%,49.94%,"32,706"
98,Monkey King,-0.53%,53.39%,"54,187"
99,Queen of Pain,-0.54%,53.39%,"47,678"
100,Mirana,-0.54%,48.80%,"83,235"
101,Silencer,-0.54%,47.02%,"63,687"
102,Nyx Assassin,-0.57%,48.07%,"41,110"
103,Spirit Breaker,-0.58%,49.76%,"52,870"
104,Leshrac,-0.68%,53.27%,"28,969"
105,Earthshaker,-0.74%,52.91%,"58,613"
106,Weaver,-0.87%,51.87%,"37,944"
107,Necrophos,-0.90%,47.50%,"42,959"
108,Juggernaut,-0.93%,49.80%,"128,287"
109,Naga Siren,-0.99%,49.10%,"13,666"
110,Dark Seer,-1.07%,45.45%,"20,597"
111,Phantom Lancer,-1.08%,49.99%,"56,134"
112,Riki,-1.10%,47.80%,"48,521"
113,Anti-Mage,-1.13%,51.18%,"73,528"
114,Enigma,-1.17%,46.91%,"27,634"
115,Storm Spirit,-1.22%,54.12%,"52,442"
116,Sand King,-1.36%,47.83%,"56,295"
117,Puck,-1.42%,52.24%,"64,076"
118,Visage,-2.01%,51.14%,"5,878"
119,Slark,-3.40%,52.58%,"79,256"
