,counter_hero,disadv,certain_win,num_match
0,Meepo,2.16%,38.83%,"10,740"
1,Wraith King,2.10%,40.80%,"78,377"
2,Broodmother,2.00%,43.41%,"12,402"
3,Arc Warden,1.95%,41.17%,"17,209"
4,Chaos Knight,1.83%,41.13%,"34,899"
5,Undying,1.49%,44.38%,"24,590"
6,Venomancer,1.22%,44.56%,"38,115"
7,Luna,1.11%,42.54%,"58,602"
8,Io,1.05%,50.41%,"9,129"
9,Witch Doctor,1.02%,45.99%,"60,153"
10,Invoker,1.02%,45.65%,"93,150"
11,Huskar,0.96%,43.49%,"31,078"
12,Lina,0.94%,47.98%,"68,282"
13,Night Stalker,0.93%,44.55%,"18,363"
14,Enchantress,0.92%,49.68%,"20,284"
15,Spectre,0.89%,41.74%,"67,903"
16,Lone Druid,0.81%,49.90%,"6,555"
17,Weaver,0.78%,46.44%,"31,153"
18,Razor,0.78%,44.97%,"26,904"
19,Batrider,0.76%,51.41%,"8,184"
20,Shadow Shaman,0.72%,43.74%,"66,456"
21,Bounty Hunter,0.71%,45.54%,"44,512"
22,Queen of Pain,0.69%,48.36%,"40,841"
23,Shadow Fiend,0.61%,47.53%,"69,661"
24,Slardar,0.58%,45.14%,"40,098"
25,Clinkz,0.54%,42.89%,"24,448"
26,Enigma,0.43%,41.58%,"23,165"
27,Riki,0.42%,42.56%,"39,966"
28,Alchemist,0.42%,49.47%,"16,553"
29,Nyx Assassin,0.40%,43.34%,"37,015"
30,Leshrac,0.33%,48.42%,"26,279"
31,Medusa,0.29%,43.32%,"50,490"
32,Sven,0.28%,48.56%,"29,126"
33,Rubick,0.25%,50.50%,"67,093"
34,Phoenix,0.23%,49.24%,"24,831"
35,Storm Spirit,0.22%,48.87%,"46,023"
36,Windranger,0.22%,44.90%,"82,898"
37,Legion Commander,0.21%,45.94%,"68,149"
38,Crystal Maiden,0.18%,45.53%,"55,455"
39,Death Prophet,0.14%,49.89%,"16,929"
40,Terrorblade,0.12%,48.15%,"26,956"
41,Ogre Magi,0.11%,43.13%,"85,631"
42,Nature's Prophet,0.10%,53.77%,"26,564"
43,Visage,0.09%,45.21%,"4,972"
44,Tusk,0.09%,50.39%,"25,203"
45,Naga Siren,0.07%,44.28%,"11,152"
46,Skywrath Mage,0.05%,45.25%,"45,454"
47,Sniper,0.05%,46.27%,"71,440"
48,Oracle,0.04%,48.81%,"19,478"
49,Disruptor,0.02%,46.20%,"38,796"
50,Spirit Breaker,0.01%,45.42%,"40,639"
51,Warlock,0.01%,44.35%,"29,280"
52,Pudge,-0.01%,45.87%,"123,405"
53,Bloodseeker,-0.03%,44.58%,"26,362"
54,Vengeful Spirit,-0.03%,45.71%,"24,453"
55,Winter Wyvern,-0.09%,43.16%,"52,805"
56,Mirana,-0.11%,44.64%,"66,534"
57,Lycan,-0.11%,51.40%,"4,689"
58,Sand King,-0.12%,42.87%,"49,440"
59,Gyrocopter,-0.13%,47.67%,"27,818"
60,Zeus,-0.13%,44.39%,"56,450"
61,Lifestealer,-0.14%,45.31%,"42,101"
62,Dark Willow,-0.17%,45.54%,"36,381"
63,Anti-Mage,-0.19%,46.48%,"61,064"
64,Clockwerk,-0.19%,47.00%,"27,627"
65,Elder Titan,-0.20%,44.78%,"10,543"
66,Shadow Demon,-0.21%,48.66%,"15,188"
67,Bristleback,-0.23%,44.57%,"79,432"
68,Outworld Destroyer,-0.27%,46.24%,"34,832"
69,Pugna,-0.28%,48.40%,"22,144"
70,Puck,-0.28%,47.31%,"58,116"
71,Keeper of the Light,-0.28%,49.03%,"18,780"
72,Phantom Assassin,-0.33%,49.28%,"70,623"
73,Bane,-0.38%,47.98%,"10,443"
74,Ember Spirit,-0.38%,50.42%,"40,160"
75,Dawnbreaker,-0.41%,46.71%,"31,485"
76,Kunkka,-0.42%,47.39%,"35,623"
77,Abaddon,-0.45%,43.58%,"26,808"
78,Jakiro,-0.48%,45.07%,"38,417"
79,Brewmaster,-0.52%,46.33%,"7,803"
80,Dragon Knight,-0.54%,45.43%,"54,708"
81,Monkey King,-0.55%,49.61%,"42,989"
82,Hoodwink,-0.55%,45.47%,"58,415"
83,Silencer,-0.55%,43.32%,"49,697"
84,Lich,-0.57%,47.51%,"36,242"
85,Viper,-0.58%,48.10%,"53,110"
86,Drow Ranger,-0.63%,44.17%,"53,815"
87,Chen,-0.63%,52.28%,"3,051"
88,Templar Assassin,-0.65%,47.68%,"44,379"
89,Treant Protector,-0.68%,44.32%,"29,538"
90,Tiny,-0.70%,52.76%,"36,710"
91,Tinker,-0.72%,46.79%,"35,192"
