,counter_hero,disadv,certain_win,num_match
0,Dark Seer,4.26%,41.13%,"28,656"
1,Terrorblade,3.64%,49.77%,"43,871"
2,Viper,2.85%,49.91%,"97,948"
3,Meepo,2.61%,43.22%,"18,355"
4,Huskar,2.53%,46.92%,"54,669"
5,Shadow Demon,2.33%,51.27%,"23,227"
6,Phantom Lancer,2.12%,48.14%,"77,730"
7,Chen,2.02%,54.83%,"4,474"
8,Arc Warden,1.75%,46.35%,"26,938"
9,Enigma,1.74%,45.21%,"35,969"
10,Necrophos,1.74%,46.09%,"64,772"
11,Undying,1.72%,49.22%,"43,198"
12,Timbersaw,1.65%,51.98%,"71,038"
13,Underlord,1.64%,43.97%,"44,307"
14,Venomancer,1.54%,49.33%,"60,040"
15,Batrider,1.53%,56.00%,"12,770"
16,Treant Protector,1.51%,47.13%,"49,246"
17,Slark,1.42%,49.25%,"117,786"
18,Death Prophet,1.33%,53.98%,"26,862"
19,Warlock,1.28%,48.12%,"47,684"
20,Beastmaster,1.19%,56.85%,"7,972"
21,Pugna,1.03%,52.28%,"35,670"
22,Lone Druid,1.02%,54.99%,"10,940"
23,Ancient Apparition,1.01%,45.66%,"93,101"
24,Outworld Destroyer,1.01%,50.09%,"56,424"
25,Crystal Maiden,0.99%,49.83%,"96,290"
26,Visage,0.96%,49.40%,"7,688"
27,Witch Doctor,0.85%,51.29%,"106,859"
28,Sand King,0.81%,46.93%,"79,215"
29,Sniper,0.80%,50.66%,"128,600"
30,Keeper of the Light,0.77%,53.20%,"31,608"
31,Razor,0.77%,50.10%,"43,538"
32,Doom,0.76%,54.57%,"54,710"
33,Enchantress,0.76%,55.16%,"31,559"
34,Nature's Prophet,0.75%,58.54%,"45,911"
35,Io,0.74%,56.05%,"14,811"
36,Omniknight,0.74%,47.55%,"19,842"
37,Lich,0.71%,51.39%,"61,149"
38,Phoenix,0.69%,54.05%,"37,205"
39,Tidehunter,0.65%,50.70%,"63,906"
40,Abaddon,0.61%,47.52%,"41,960"
41,Invoker,0.57%,51.20%,"148,822"
