,counter_hero,disadv,certain_win,num_match
0,Lycan,3.61%,54.54%,"11,049"
1,Mars,3.60%,51.95%,"86,683"
2,Tinker,2.91%,49.72%,"73,934"
3,Spectre,2.80%,46.19%,"130,746"
4,Phantom Lancer,2.78%,48.91%,"98,244"
5,Nature's Prophet,2.78%,58.28%,"65,355"
6,Zeus,2.74%,48.02%,"125,104"
7,Bloodseeker,2.50%,48.46%,"64,185"
8,Clockwerk,2.48%,50.91%,"46,577"
9,Sniper,2.31%,50.72%,"186,198"
10,Pudge,2.18%,50.41%,"244,630"
11,Tiny,1.90%,57.11%,"63,464"
12,Broodmother,1.90%,50.05%,"23,546"
13,Arc Warden,1.82%,47.64%,"37,678"
14,Monkey King,1.82%,54.08%,"98,027"
15,Wraith King,1.77%,47.44%,"144,245"
16,Earth Spirit,1.74%,54.07%,"32,875"
17,Tusk,1.57%,55.69%,"42,721"
18,Magnus,1.53%,53.31%,"66,001"
19,Night Stalker,1.49%,50.56%,"31,285"
20,Axe,1.44%,49.38%,"167,107"
21,Brewmaster,1.24%,51.12%,"13,038"
22,Chen,1.23%,57.39%,"6,186"
23,Phantom Assassin,1.23%,54.62%,"179,799"
24,Void Spirit,1.18%,54.23%,"51,881"
25,Spirit Breaker,1.16%,50.82%,"85,125"
26,Snapfire,1.14%,55.48%,"74,706"
27,Legion Commander,1.11%,51.66%,"130,437"
28,Sven,1.11%,54.55%,"68,492"
29,Batrider,1.02%,58.12%,"14,358"
30,Doom,0.99%,55.83%,"53,814"
31,Shadow Fiend,0.98%,53.91%,"153,384"
32,Winter Wyvern,0.88%,48.60%,"100,101"
33,Tidehunter,0.88%,51.96%,"73,904"
34,Centaur Warrunner,0.88%,49.95%,"75,347"
35,Morphling,0.87%,53.03%,"87,398"
36,Ogre Magi,0.85%,48.83%,"181,979"
37,Skywrath Mage,0.73%,51.14%,"95,367"
38,Faceless Void,0.66%,52.75%,"135,869"
39,Earthshaker,0.62%,54.54%,"94,681"
40,Undying,0.61%,51.87%,"57,730"
41,Techies,0.61%,53.54%,"107,139"
42,Outworld Destroyer,0.57%,52.01%,"62,271"
43,Storm Spirit,0.57%,55.34%,"84,703"
44,Beastmaster,0.56%,59.24%,"10,151"
45,Mirana,0.52%,50.55%,"130,290"
46,Lich,0.49%,53.13%,"76,151"
47,Sand King,0.49%,48.66%,"91,669"
48,Chaos Knight,0.45%,48.87%,"79,514"
49,Dragon Knight,0.43%,51.04%,"101,079"
50,Naga Siren,0.43%,50.40%,"26,251"
51,Keeper of the Light,0.40%,55.19%,"41,008"
52,Bounty Hunter,0.36%,52.52%,"83,922"
53,Gyrocopter,0.34%,53.95%,"58,448"
54,Shadow Demon,0.33%,54.91%,"27,447"
55,Treant Protector,0.32%,49.77%,"64,475"
56,Timbersaw,0.25%,54.92%,"74,860"
57,Phoenix,0.19%,56.16%,"45,476"
58,Juggernaut,0.18%,51.59%,"214,855"
59,Troll Warlord,0.16%,54.35%,"58,193"
60,Enchantress,0.08%,57.56%,"42,616"
61,Enigma,0.06%,48.28%,"50,120"
62,Ember Spirit,0.06%,56.88%,"70,874"
63,Rubick,0.02%,57.68%,"120,980"
64,Windranger,0.00%,51.67%,"171,443"
65,Warlock,-0.05%,50.93%,"59,681"
66,Kunkka,-0.06%,53.73%,"70,996"
67,Dark Willow,-0.08%,52.05%,"73,397"
68,Elder Titan,-0.08%,51.22%,"20,038"
69,Queen of Pain,-0.13%,56.01%,"78,581"
70,Silencer,-0.17%,49.34%,"113,307"
71,Alchemist,-0.18%,57.01%,"35,753"
72,Pugna,-0.21%,55.15%,"47,200"
73,Disruptor,-0.28%,53.16%,"73,163"
74,Ancient Apparition,-0.30%,48.33%,"121,066"
75,Razor,-0.30%,52.71%,"53,935"
76,Luna,-0.31%,50.39%,"130,303"
77,Oracle,-0.35%,56.04%,"34,235"
78,Io,-0.35%,58.95%,"20,552"
79,Invoker,-0.41%,53.65%,"190,947"
80,Jakiro,-0.41%,51.55%,"76,443"
81,Dawnbreaker,-0.43%,53.41%,"66,029"
82,Abaddon,-0.44%,50.02%,"53,296"
83,Venomancer,-0.51%,52.92%,"79,209"
84,Lifestealer,-0.52%,52.27%,"98,550"
85,Dark Seer,-0.56%,47.49%,"35,379"
86,Puck,-0.62%,54.37%,"94,740"
87,Vengeful Spirit,-0.62%,52.93%,"53,935"
88,Witch Doctor,-0.62%,54.28%,"141,872"
89,Omniknight,-0.65%,50.42%,"26,755"
90,Huskar,-0.66%,51.64%,"76,712"
91,Slark,-0.76%,52.88%,"138,905"
92,Bane,-0.86%,55.28%,"21,643"
93,Medusa,-0.90%,50.97%,"110,797"
94,Crystal Maiden,-0.93%,53.24%,"128,606"
95,Pangolier,-0.98%,56.54%,"39,781"
96,Lina,-1.00%,56.71%,"142,042"
97,Nyx Assassin,-1.00%,51.28%,"61,248"
98,Death Prophet,-1.02%,58.07%,"33,351"
99,Lion,-1.04%,54.07%,"259,619"
100,Meepo,-1.11%,48.41%,"25,501"
101,Hoodwink,-1.11%,52.61%,"113,736"
102,Lone Druid,-1.15%,59.05%,"15,713"
103,Viper,-1.23%,55.56%,"133,398"
104,Ursa,-1.31%,53.93%,"114,598"
105,Riki,-1.32%,50.74%,"89,227"
106,Dazzle,-1.40%,50.72%,"106,443"
107,Anti-Mage,-1.41%,54.37%,"126,852"
108,Grimstroke,-1.51%,54.38%,"96,482"
109,Slardar,-1.60%,53.97%,"82,009"
110,Leshrac,-1.61%,57.24%,"43,315"
111,Shadow Shaman,-1.76%,52.68%,"146,569"
112,Clinkz,-1.76%,51.72%,"56,491"
113,Visage,-1.81%,53.83%,"10,498"
114,Underlord,-1.94%,49.06%,"52,389"
115,Weaver,-1.95%,56.00%,"77,628"
116,Terrorblade,-2.06%,57.26%,"56,231"
117,Templar Assassin,-2.12%,55.91%,"86,466"
118,Necrophos,-2.77%,52.13%,"77,822"
119,Bristleback,-3.53%,54.34%,"177,587"
