,counter_hero,disadv,certain_win,num_match
0,Elder Titan,3.06%,42.52%,"6,162"
1,Death Prophet,2.53%,48.38%,"9,025"
2,Batrider,2.24%,50.75%,"5,174"
3,Troll Warlord,1.94%,46.74%,"14,824"
4,Alchemist,1.66%,49.13%,"10,165"
5,Monkey King,1.60%,48.41%,"28,647"
6,Sven,1.52%,48.25%,"17,447"
7,Dawnbreaker,1.45%,45.85%,"20,417"
8,Lifestealer,1.29%,44.92%,"28,458"
9,Magnus,1.27%,47.81%,"25,055"
10,Bloodseeker,1.27%,44.31%,"15,266"
11,Enigma,1.23%,41.87%,"15,090"
12,Omniknight,1.22%,43.12%,"7,170"
13,Leshrac,1.21%,48.47%,"15,330"
14,Meepo,1.15%,40.92%,"7,763"
15,Spirit Breaker,1.12%,45.33%,"25,218"
16,Grimstroke,1.11%,46.10%,"32,480"
17,Lycan,1.00%,51.14%,"2,949"
18,Abaddon,1.00%,43.20%,"15,101"
19,Necrophos,0.96%,42.99%,"21,188"
20,Razor,0.94%,45.83%,"13,662"
21,Kunkka,0.92%,47.02%,"21,547"
22,Slark,0.83%,45.74%,"41,088"
23,Earthshaker,0.82%,48.51%,"29,909"
24,Beastmaster,0.82%,52.65%,"2,864"
25,Medusa,0.81%,43.86%,"28,164"
26,Luna,0.80%,43.90%,"36,415"
27,Doom,0.79%,50.10%,"18,800"
28,Snapfire,0.79%,49.89%,"25,741"
29,Jakiro,0.78%,44.85%,"22,468"
30,Slardar,0.76%,45.97%,"22,243"
31,Lina,0.75%,49.09%,"41,965"
32,Chaos Knight,0.71%,43.30%,"20,229"
33,Phoenix,0.71%,49.66%,"15,172"
34,Dragon Knight,0.63%,45.32%,"29,654"
35,Undying,0.60%,46.26%,"14,663"
36,Faceless Void,0.60%,47.13%,"38,972"
37,Pangolier,0.57%,49.09%,"15,179"
38,Witch Doctor,0.56%,47.39%,"39,734"
39,Terrorblade,0.56%,48.64%,"17,433"
40,Ursa,0.54%,46.46%,"37,365"
41,Riki,0.52%,43.53%,"22,131"
42,Tidehunter,0.51%,46.69%,"22,351"
43,Keeper of the Light,0.44%,49.22%,"11,844"
44,Dark Seer,0.42%,41.36%,"10,627"
45,Underlord,0.41%,41.49%,"14,744"
46,Tusk,0.40%,50.95%,"16,810"
47,Juggernaut,0.37%,45.85%,"59,080"
48,Templar Assassin,0.34%,47.67%,"28,910"
49,Oracle,0.33%,49.44%,"12,419"
50,Lich,0.29%,47.62%,"22,766"
51,Night Stalker,0.28%,46.24%,"9,523"
52,Wraith King,0.25%,43.62%,"42,209"
53,Nyx Assassin,0.24%,44.57%,"21,201"
54,Dark Willow,0.23%,46.15%,"23,340"
55,Vengeful Spirit,0.23%,46.44%,"15,830"
56,Silencer,0.22%,43.62%,"27,636"
57,Viper,0.20%,48.29%,"31,734"
58,Invoker,0.16%,47.41%,"61,561"
59,Huskar,0.14%,45.31%,"19,332"
60,Legion Commander,0.06%,47.07%,"39,664"
61,Lone Druid,0.03%,51.58%,"4,118"
62,Disruptor,0.01%,47.20%,"23,008"
63,Tinker,0.00%,47.05%,"25,369"
64,Dazzle,-0.01%,43.96%,"29,537"
65,Weaver,-0.01%,48.18%,"17,990"
66,Brewmaster,-0.05%,46.84%,"4,417"
67,Timbersaw,-0.05%,49.36%,"27,001"
68,Outworld Destroyer,-0.05%,47.02%,"18,687"
69,Tiny,-0.07%,52.96%,"22,689"
70,Ember Spirit,-0.08%,51.00%,"23,282"
71,Io,-0.08%,52.44%,"6,726"
72,Warlock,-0.10%,45.49%,"17,908"
73,Void Spirit,-0.13%,49.69%,"18,330"
74,Winter Wyvern,-0.13%,44.25%,"33,054"
75,Gyrocopter,-0.13%,48.62%,"16,613"
76,Clockwerk,-0.14%,47.91%,"16,892"
77,Bounty Hunter,-0.14%,47.37%,"23,701"
78,Ogre Magi,-0.14%,44.40%,"53,512"
79,Enchantress,-0.17%,51.65%,"11,815"
80,Sand King,-0.19%,44.01%,"28,110"
81,Bristleback,-0.22%,45.59%,"43,182"
82,Windranger,-0.24%,46.33%,"49,907"
83,Clinkz,-0.27%,44.76%,"13,354"
84,Shadow Fiend,-0.28%,49.29%,"48,301"
85,Centaur Warrunner,-0.29%,45.64%,"22,579"
86,Queen of Pain,-0.32%,50.26%,"22,891"
87,Zeus,-0.37%,45.64%,"30,254"
88,Shadow Shaman,-0.37%,45.80%,"42,640"
89,Crystal Maiden,-0.41%,47.07%,"35,838"
90,Axe,-0.41%,45.69%,"48,121"
91,Bane,-0.46%,49.01%,"6,472"
92,Anti-Mage,-0.47%,47.73%,"33,950"
93,Hoodwink,-0.49%,46.41%,"38,947"
94,Lion,-0.52%,47.88%,"82,554"
95,Techies,-0.56%,48.89%,"31,204"
96,Naga Siren,-0.56%,45.93%,"6,906"
97,Skywrath Mage,-0.57%,46.85%,"26,130"
98,Treant Protector,-0.57%,45.24%,"19,300"
99,Mirana,-0.60%,46.12%,"42,045"
100,Broodmother,-0.69%,47.14%,"8,696"
101,Shadow Demon,-0.70%,50.08%,"8,605"
102,Venomancer,-0.77%,47.52%,"21,033"
103,Mars,-0.94%,50.62%,"33,612"
104,Storm Spirit,-0.96%,50.94%,"25,961"
105,Puck,-0.96%,48.93%,"34,012"
106,Pugna,-0.96%,50.02%,"12,372"
107,Sniper,-0.99%,48.22%,"40,918"
108,Visage,-1.05%,47.36%,"3,566"
109,Pudge,-1.16%,47.85%,"81,682"
110,Arc Warden,-1.19%,45.38%,"11,426"
111,Ancient Apparition,-1.23%,43.97%,"39,210"
112,Drow Ranger,-1.41%,45.94%,"32,874"
113,Rubick,-1.43%,52.97%,"40,424"
114,Spectre,-1.71%,45.32%,"33,903"
115,Phantom Assassin,-1.82%,51.59%,"44,499"
116,Morphling,-2.02%,50.12%,"27,261"
117,Phantom Lancer,-2.14%,48.26%,"26,221"
118,Chen,-2.25%,54.77%,"1,992"
119,Nature's Prophet,-2.30%,56.95%,"17,588"
