,counter_hero,disadv,certain_win,num_match
0,Viper,1.88%,47.26%,"88,037"
1,Clockwerk,1.83%,46.48%,"43,309"
2,Batrider,1.29%,52.60%,"12,083"
3,Night Stalker,1.27%,45.71%,"26,268"
4,Alchemist,1.08%,50.47%,"29,008"
5,Grimstroke,1.07%,46.66%,"74,572"
6,Gyrocopter,1.02%,48.09%,"46,093"
7,Sniper,1.02%,46.86%,"129,148"
8,Ember Spirit,0.99%,50.73%,"61,178"
9,Spectre,0.96%,43.06%,"94,057"
10,Monkey King,0.95%,49.75%,"73,262"
11,Jakiro,0.81%,45.24%,"61,095"
12,Doom,0.77%,50.90%,"47,109"
13,Lifestealer,0.76%,45.89%,"75,831"
14,Tiny,0.76%,53.07%,"56,583"
15,Dragon Knight,0.76%,45.64%,"79,131"
16,Elder Titan,0.72%,45.31%,"15,784"
17,Zeus,0.72%,45.01%,"90,405"
18,Hoodwink,0.69%,45.75%,"87,066"
19,Templar Assassin,0.69%,47.92%,"65,959"
20,Disruptor,0.67%,47.09%,"58,611"
21,Underlord,0.66%,41.43%,"39,482"
22,Venomancer,0.64%,46.64%,"58,258"
23,Rubick,0.63%,51.85%,"109,590"
24,Leshrac,0.63%,49.75%,"36,134"
25,Juggernaut,0.59%,46.12%,"159,357"
26,Sven,0.50%,49.97%,"55,088"
27,Lion,0.45%,47.60%,"206,591"
28,Puck,0.41%,48.21%,"81,563"
29,Techies,0.38%,48.61%,"72,003"
30,Phantom Assassin,0.37%,50.23%,"123,510"
31,Wraith King,0.36%,43.85%,"108,715"
32,Windranger,0.35%,46.26%,"131,550"
33,Ursa,0.34%,47.18%,"87,635"
34,Clinkz,0.33%,44.53%,"36,659"
35,Lich,0.32%,48.18%,"58,660"
36,Snapfire,0.30%,51.15%,"63,593"
37,Treant Protector,0.29%,44.77%,"47,994"
38,Enchantress,0.28%,52.02%,"29,948"
39,Death Prophet,0.28%,51.43%,"24,839"
40,Beastmaster,0.27%,54.17%,"7,661"
