,counter_hero,disadv,certain_win,num_match
0,Clinkz,2.59%,46.34%,"8,010"
1,Lifestealer,2.52%,48.13%,"14,726"
2,Wraith King,2.35%,46.07%,"22,385"
3,Windranger,2.14%,48.50%,"26,179"
4,Troll Warlord,2.09%,50.94%,"8,345"
5,Juggernaut,1.95%,48.78%,"30,492"
6,Dark Seer,1.90%,44.36%,"6,102"
7,Alchemist,1.86%,53.25%,"5,760"
8,Tinker,1.85%,49.62%,"11,673"
9,Sniper,1.74%,50.01%,"25,054"
10,Tiny,1.68%,55.52%,"10,980"
11,Enchantress,1.63%,54.15%,"6,971"
12,Phantom Assassin,1.49%,52.79%,"24,387"
13,Hoodwink,1.44%,48.97%,"18,980"
14,Winter Wyvern,1.42%,47.19%,"16,906"
15,Zeus,1.40%,48.34%,"18,152"
16,Clockwerk,1.38%,50.78%,"8,618"
17,Faceless Void,1.37%,50.75%,"20,762"
18,Shadow Fiend,1.36%,52.10%,"23,190"
19,Ember Spirit,1.13%,54.13%,"12,132"
20,Sven,1.10%,52.99%,"10,451"
21,Underlord,1.05%,45.32%,"8,444"
22,Templar Assassin,0.89%,51.49%,"14,504"
23,Shadow Demon,0.89%,52.81%,"4,959"
24,Enigma,0.87%,46.67%,"7,727"
25,Lina,0.86%,53.31%,"22,373"
26,Mars,0.85%,53.23%,"16,195"
27,Weaver,0.75%,51.77%,"10,712"
28,Bounty Hunter,0.74%,50.88%,"13,765"
29,Lycan,0.69%,55.75%,"1,878"
30,Necrophos,0.59%,47.78%,"11,643"
31,Treant Protector,0.57%,48.52%,"9,982"
32,Nature's Prophet,0.55%,58.38%,"9,646"
33,Beastmaster,0.54%,57.22%,"1,877"
34,Bristleback,0.52%,49.28%,"23,920"
35,Razor,0.52%,50.62%,"8,339"
36,Dazzle,0.48%,47.91%,"15,096"
37,Batrider,0.48%,56.80%,"2,787"
38,Skywrath Mage,0.38%,50.31%,"14,609"
39,Pangolier,0.37%,53.62%,"7,619"
40,Legion Commander,0.35%,51.15%,"20,712"
41,Lich,0.33%,51.93%,"12,254"
42,Invoker,0.32%,51.63%,"29,495"
43,Brewmaster,0.31%,50.86%,"2,503"
44,Outworld Destroyer,0.29%,51.05%,"10,766"
45,Viper,0.23%,52.60%,"17,949"
46,Drow Ranger,0.23%,48.78%,"20,036"
47,Storm Spirit,0.21%,54.11%,"14,484"
48,Ancient Apparition,0.16%,47.08%,"19,889"
49,Queen of Pain,0.15%,54.12%,"12,780"
50,Phoenix,0.15%,54.53%,"7,733"
51,Timbersaw,0.15%,53.50%,"13,640"
52,Spirit Breaker,0.14%,50.66%,"13,929"
53,Puck,0.14%,52.22%,"16,153"
54,Lion,0.14%,51.66%,"41,061"
55,Warlock,0.12%,49.66%,"10,024"
56,Night Stalker,0.10%,50.79%,"5,479"
57,Silencer,0.10%,48.16%,"15,807"
58,Keeper of the Light,0.09%,53.89%,"7,003"
59,Huskar,0.09%,49.76%,"10,557"
60,Venomancer,0.08%,51.06%,"12,698"
61,Void Spirit,0.08%,53.81%,"8,963"
62,Snapfire,0.07%,54.90%,"13,045"
63,Jakiro,0.01%,50.00%,"12,721"
64,Rubick,-0.02%,55.93%,"20,453"
65,Doom,-0.04%,55.22%,"10,543"
66,Techies,-0.10%,52.79%,"14,978"
67,Vengeful Spirit,-0.14%,51.17%,"8,847"
68,Nyx Assassin,-0.15%,49.36%,"11,001"
69,Riki,-0.15%,48.60%,"12,933"
70,Ogre Magi,-0.19%,48.86%,"28,796"
71,Omniknight,-0.21%,48.97%,"4,329"
72,Mirana,-0.22%,50.16%,"21,593"
73,Witch Doctor,-0.23%,52.48%,"21,617"
74,Bloodseeker,-0.33%,50.26%,"9,331"
75,Tusk,-0.35%,55.99%,"8,303"
76,Centaur Warrunner,-0.38%,50.12%,"11,977"
77,Bane,-0.41%,53.30%,"3,816"
78,Monkey King,-0.42%,54.68%,"15,089"
79,Pudge,-0.45%,51.59%,"42,816"
80,Visage,-0.46%,51.14%,"1,791"
81,Slardar,-0.49%,51.55%,"12,780"
82,Shadow Shaman,-0.49%,50.29%,"21,886"
83,Dragon Knight,-0.49%,50.79%,"17,131"
84,Disruptor,-0.50%,52.05%,"12,438"
85,Medusa,-0.54%,49.57%,"16,202"
86,Crystal Maiden,-0.58%,51.60%,"19,567"
87,Ursa,-0.61%,51.91%,"18,809"
88,Leshrac,-0.68%,54.67%,"7,791"
89,Arc Warden,-0.71%,49.31%,"5,796"
90,Oracle,-0.81%,54.89%,"6,143"
91,Death Prophet,-0.83%,56.04%,"5,691"
92,Gyrocopter,-0.84%,53.66%,"9,538"
93,Undying,-0.84%,52.05%,"9,053"
94,Pugna,-0.85%,54.22%,"7,228"
95,Terrorblade,-0.85%,54.36%,"9,085"
96,Anti-Mage,-0.90%,52.49%,"17,970"
97,Grimstroke,-0.97%,52.47%,"15,601"
98,Dark Willow,-1.02%,51.74%,"12,077"
99,Axe,-1.05%,50.67%,"26,092"
100,Dawnbreaker,-1.06%,52.67%,"10,529"
101,Kunkka,-1.09%,53.34%,"11,302"
102,Earthshaker,-1.11%,54.69%,"15,784"
103,Slark,-1.14%,51.97%,"20,468"
104,Luna,-1.18%,50.19%,"19,725"
105,Sand King,-1.32%,49.51%,"14,825"
106,Broodmother,-1.38%,52.20%,"4,310"
107,Magnus,-1.39%,54.74%,"12,134"
108,Morphling,-1.47%,53.92%,"13,860"
109,Abaddon,-1.50%,50.08%,"8,628"
110,Tidehunter,-1.71%,53.22%,"12,874"
111,Chaos Knight,-1.95%,50.30%,"12,266"
112,Spectre,-2.34%,50.32%,"19,771"
113,Earth Spirit,-3.19%,57.47%,"6,161"
114,Lone Druid,-3.24%,59.15%,"2,551"
115,Phantom Lancer,-4.02%,54.41%,"15,202"
116,Naga Siren,-4.59%,54.34%,"3,863"
117,Io,-5.56%,62.19%,"3,729"
118,Chen,-6.14%,62.96%,"1,223"
119,Meepo,-13.85%,60.37%,"4,133"
