,counter_hero,disadv,certain_win,num_match
0,Huskar,5.49%,38.83%,"37,881"
1,Techies,3.10%,44.28%,"49,462"
2,Slark,3.09%,42.45%,"79,426"
3,Troll Warlord,2.76%,44.87%,"28,604"
4,Chen,2.50%,49.01%,"3,534"
5,Lifestealer,2.45%,42.64%,"51,160"
6,Shadow Fiend,2.25%,45.88%,"84,110"
7,Oracle,2.22%,46.53%,"21,524"
8,Lone Druid,2.20%,48.43%,"7,859"
9,Juggernaut,2.13%,43.09%,"117,935"
10,Morphling,2.04%,45.09%,"50,747"
11,Monkey King,1.88%,47.14%,"58,563"
12,Silencer,1.64%,41.03%,"59,165"
13,Omniknight,1.60%,41.53%,"14,277"
14,Legion Commander,1.56%,44.54%,"78,187"
15,Underlord,1.53%,39.05%,"30,843"
16,Sven,1.48%,47.28%,"35,392"
17,Necrophos,1.41%,41.32%,"43,246"
18,Clinkz,1.34%,41.95%,"28,522"
19,Ursa,1.24%,44.68%,"67,870"
20,Dark Willow,1.18%,44.08%,"44,612"
21,Alchemist,1.14%,48.68%,"18,754"
22,Grimstroke,1.02%,45.10%,"57,323"
23,Venomancer,1.00%,44.67%,"45,677"
24,Treant Protector,0.91%,42.60%,"36,422"
25,Gyrocopter,0.80%,46.66%,"34,101"
26,Weaver,0.77%,46.36%,"37,054"
27,Phoenix,0.70%,48.71%,"26,753"
28,Enchantress,0.70%,49.86%,"23,704"
29,Bristleback,0.67%,43.61%,"82,690"
30,Dragon Knight,0.63%,44.18%,"60,096"
31,Crystal Maiden,0.57%,45.04%,"69,632"
32,Shadow Shaman,0.56%,43.78%,"83,853"
33,Night Stalker,0.48%,44.91%,"20,314"
34,Dazzle,0.47%,42.31%,"53,735"
35,Faceless Void,0.42%,46.24%,"79,963"
36,Nature's Prophet,0.40%,53.49%,"35,200"
37,Doom,0.38%,49.58%,"40,160"
38,Death Prophet,0.37%,49.60%,"18,513"
39,Riki,0.33%,42.52%,"46,459"
40,Drow Ranger,0.31%,43.12%,"70,877"
41,Sniper,0.29%,45.94%,"93,657"
42,Beastmaster,0.28%,52.36%,"5,655"
43,Viper,0.21%,47.26%,"63,098"
44,Puck,0.21%,46.74%,"73,838"
45,Ogre Magi,0.20%,42.91%,"105,512"
46,Storm Spirit,0.17%,48.86%,"60,384"
47,Meepo,0.13%,40.69%,"14,351"
48,Slardar,0.11%,45.51%,"48,163"
49,Abaddon,0.06%,42.94%,"30,681"
50,Earth Spirit,0.04%,49.00%,"23,283"
51,Snapfire,0.01%,49.71%,"49,282"
52,Tidehunter,-0.04%,46.15%,"44,900"
53,Dawnbreaker,-0.10%,46.31%,"37,507"
54,Lich,-0.12%,46.97%,"44,629"
55,Invoker,-0.15%,46.64%,"115,522"
56,Phantom Assassin,-0.15%,49.04%,"88,765"
57,Disruptor,-0.17%,46.30%,"46,584"
58,Jakiro,-0.18%,44.65%,"47,107"
59,Skywrath Mage,-0.19%,45.38%,"53,260"
60,Timbersaw,-0.19%,48.53%,"44,298"
61,Bane,-0.20%,47.73%,"12,071"
62,Brewmaster,-0.21%,45.92%,"8,422"
63,Lina,-0.23%,49.05%,"84,244"
64,Pugna,-0.26%,48.32%,"26,484"
65,Anti-Mage,-0.27%,46.48%,"69,778"
66,Warlock,-0.31%,44.55%,"35,561"
67,Lycan,-0.33%,51.61%,"6,030"
68,Leshrac,-0.41%,49.12%,"30,776"
69,Bounty Hunter,-0.43%,46.58%,"51,634"
70,Witch Doctor,-0.44%,47.31%,"75,891"
71,Keeper of the Light,-0.45%,49.14%,"22,939"
72,Io,-0.48%,51.96%,"11,411"
73,Luna,-0.48%,43.95%,"72,479"
74,Hoodwink,-0.49%,45.30%,"72,107"
75,Medusa,-0.52%,44.00%,"56,446"
76,Tinker,-0.58%,46.56%,"42,946"
77,Batrider,-0.68%,52.87%,"9,461"
78,Magnus,-0.68%,48.73%,"48,342"
79,Nyx Assassin,-0.72%,44.34%,"42,327"
80,Pudge,-0.74%,46.43%,"152,749"
81,Outworld Destroyer,-0.76%,46.63%,"40,243"
82,Lion,-0.76%,47.05%,"153,486"
83,Razor,-0.76%,46.44%,"30,416"
84,Ancient Apparition,-0.79%,42.30%,"79,108"
85,Mirana,-0.79%,45.18%,"83,400"
86,Pangolier,-0.92%,49.62%,"29,701"
87,Winter Wyvern,-0.94%,43.86%,"61,432"
88,Tusk,-0.96%,51.42%,"31,036"
89,Enigma,-0.96%,42.86%,"26,467"
90,Sand King,-0.96%,43.56%,"58,954"
91,Earthshaker,-0.97%,49.27%,"61,177"
92,Queen of Pain,-1.03%,50.00%,"51,280"
93,Templar Assassin,-1.09%,48.02%,"60,520"
94,Kunkka,-1.16%,48.03%,"43,753"
95,Rubick,-1.16%,51.84%,"80,183"
96,Vengeful Spirit,-1.20%,46.78%,"30,801"
97,Bloodseeker,-1.25%,45.68%,"32,811"
98,Undying,-1.33%,47.11%,"29,511"
99,Elder Titan,-1.37%,45.87%,"12,131"
100,Tiny,-1.39%,53.45%,"44,525"
101,Broodmother,-1.45%,46.81%,"17,064"
102,Axe,-1.51%,45.60%,"98,316"
103,Arc Warden,-1.57%,44.61%,"20,192"
104,Visage,-1.62%,46.88%,"5,830"
105,Spirit Breaker,-1.63%,46.93%,"51,627"
106,Shadow Demon,-1.65%,50.07%,"18,089"
