,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,2.68%,42.07%,"30,168"
1,Morphling,2.14%,44.57%,"30,039"
2,Bristleback,2.05%,41.95%,"48,881"
3,Naga Siren,1.79%,42.05%,"8,176"
4,Medusa,1.76%,41.44%,"32,037"
5,Crystal Maiden,1.48%,43.78%,"40,300"
6,Batrider,1.41%,50.12%,"5,609"
7,Dark Willow,1.29%,43.62%,"23,380"
8,Mars,1.26%,47.03%,"30,921"
9,Meepo,1.23%,39.32%,"8,499"
10,Dazzle,1.14%,41.35%,"30,207"
11,Pugna,1.13%,46.43%,"16,219"
12,Terrorblade,1.09%,46.63%,"17,338"
13,Ogre Magi,1.04%,41.82%,"58,761"
14,Axe,0.96%,42.92%,"49,824"
15,Phantom Assassin,0.95%,47.48%,"51,198"
16,Pudge,0.93%,44.53%,"85,461"
17,Lina,0.91%,47.45%,"44,998"
18,Sand King,0.87%,41.48%,"30,065"
19,Gyrocopter,0.76%,46.25%,"19,457"
20,Leshrac,0.75%,47.43%,"16,096"
21,Bane,0.71%,46.34%,"7,346"
22,Drow Ranger,0.69%,42.44%,"42,618"
23,Dawnbreaker,0.66%,45.13%,"20,342"
24,Witch Doctor,0.58%,45.88%,"43,175"
25,Ursa,0.57%,44.93%,"38,012"
26,Luna,0.51%,42.68%,"40,500"
27,Windranger,0.43%,44.22%,"53,572"
28,Pangolier,0.43%,47.74%,"14,647"
29,Juggernaut,0.42%,44.31%,"64,491"
30,Void Spirit,0.39%,47.69%,"17,281"
31,Mirana,0.36%,43.72%,"42,619"
32,Treant Protector,0.36%,42.83%,"20,090"
33,Disruptor,0.35%,45.38%,"23,458"
34,Lion,0.34%,45.65%,"82,182"
35,Keeper of the Light,0.33%,47.84%,"13,348"
36,Death Prophet,0.33%,49.10%,"10,864"
37,Shadow Fiend,0.30%,47.27%,"47,418"
38,Earth Spirit,0.16%,48.35%,"11,815"
39,Weaver,0.16%,46.51%,"22,036"
40,Centaur Warrunner,0.11%,43.77%,"22,924"
41,Nyx Assassin,0.11%,43.21%,"21,281"
42,Clockwerk,0.11%,46.19%,"16,063"
43,Enigma,0.09%,41.51%,"15,217"
44,Ancient Apparition,0.07%,41.23%,"38,746"
45,Hoodwink,0.06%,44.40%,"37,764"
46,Snapfire,0.05%,49.14%,"24,715"
47,Legion Commander,0.02%,45.62%,"39,317"
48,Chaos Knight,-0.02%,42.51%,"23,383"
49,Troll Warlord,-0.02%,47.19%,"17,962"
50,Queen of Pain,-0.02%,48.48%,"25,293"
51,Grimstroke,-0.05%,45.74%,"30,501"
52,Slark,-0.05%,45.09%,"39,465"
53,Rubick,-0.08%,50.24%,"37,508"
54,Magnus,-0.12%,47.69%,"22,506"
55,Templar Assassin,-0.15%,46.67%,"27,009"
56,Earthshaker,-0.16%,47.98%,"29,950"
57,Razor,-0.20%,45.45%,"16,995"
58,Phoenix,-0.25%,49.13%,"14,640"
59,Kunkka,-0.27%,46.71%,"22,187"
60,Tusk,-0.29%,50.16%,"15,044"
61,Outworld Destroyer,-0.32%,45.80%,"19,855"
62,Winter Wyvern,-0.36%,42.98%,"32,347"
63,Tinker,-0.41%,45.98%,"23,160"
64,Dragon Knight,-0.42%,44.84%,"31,559"
65,Lich,-0.43%,46.83%,"24,226"
66,Tidehunter,-0.43%,46.13%,"23,264"
67,Skywrath Mage,-0.48%,45.27%,"31,109"
68,Tiny,-0.49%,51.90%,"21,958"
69,Brewmaster,-0.51%,45.82%,"4,467"
70,Necrophos,-0.52%,42.95%,"24,386"
71,Timbersaw,-0.54%,48.36%,"25,383"
72,Arc Warden,-0.56%,43.26%,"10,942"
73,Viper,-0.57%,47.53%,"39,225"
74,Riki,-0.61%,43.14%,"26,112"
75,Shadow Demon,-0.62%,48.51%,"9,382"
76,Alchemist,-0.62%,49.93%,"11,286"
77,Puck,-0.65%,47.15%,"31,066"
78,Ember Spirit,-0.70%,50.14%,"23,703"
79,Storm Spirit,-0.73%,49.24%,"26,403"
80,Abaddon,-0.76%,43.45%,"16,029"
81,Undying,-0.76%,46.11%,"17,268"
82,Jakiro,-0.79%,44.89%,"24,508"
83,Sven,-0.80%,49.05%,"20,370"
84,Underlord,-0.80%,41.20%,"15,620"
85,Vengeful Spirit,-0.81%,45.97%,"17,195"
86,Shadow Shaman,-0.81%,44.73%,"44,454"
87,Warlock,-0.83%,44.71%,"18,933"
88,Slardar,-0.84%,46.05%,"24,222"
89,Lycan,-0.88%,51.58%,"3,763"
90,Spirit Breaker,-0.88%,45.79%,"27,414"
91,Invoker,-0.89%,46.90%,"58,546"
92,Doom,-0.92%,50.31%,"20,283"
93,Lifestealer,-1.02%,45.67%,"28,526"
94,Omniknight,-1.07%,43.92%,"8,238"
95,Faceless Void,-1.07%,47.23%,"39,124"
96,Night Stalker,-1.14%,46.18%,"10,107"
97,Venomancer,-1.15%,46.40%,"24,790"
98,Techies,-1.16%,47.99%,"32,690"
99,Monkey King,-1.17%,49.62%,"28,895"
100,Wraith King,-1.17%,43.47%,"41,386"
101,Dark Seer,-1.19%,41.47%,"11,547"
102,Nature's Prophet,-1.23%,54.42%,"20,330"
103,Io,-1.33%,52.22%,"6,869"
104,Huskar,-1.42%,45.35%,"22,219"
105,Broodmother,-1.53%,46.50%,"8,304"
106,Oracle,-1.56%,49.85%,"11,330"
107,Anti-Mage,-1.65%,47.39%,"34,441"
108,Chen,-1.71%,52.78%,"2,533"
109,Elder Titan,-1.72%,45.84%,"6,970"
110,Beastmaster,-1.74%,53.80%,"3,517"
111,Bounty Hunter,-1.75%,47.45%,"26,617"
112,Silencer,-1.78%,44.07%,"31,500"
113,Sniper,-1.80%,47.46%,"54,381"
114,Bloodseeker,-1.85%,45.88%,"19,617"
115,Zeus,-1.92%,45.63%,"38,724"
116,Clinkz,-2.26%,45.22%,"16,142"
117,Spectre,-2.26%,44.36%,"36,290"
118,Lone Druid,-2.35%,52.52%,"4,966"
119,Visage,-3.44%,48.30%,"3,441"
