,counter_hero,disadv,certain_win,num_match
0,Rubick,4.29%,54.56%,"64,183"
1,Wraith King,3.82%,47.19%,"63,389"
2,Medusa,3.17%,48.50%,"41,713"
3,Warlock,3.08%,49.26%,"22,219"
4,Bristleback,3.04%,49.43%,"59,545"
5,Spectre,2.59%,48.09%,"46,218"
6,Zeus,2.50%,49.80%,"43,778"
7,Silencer,2.45%,48.46%,"59,083"
8,Abaddon,2.44%,48.67%,"20,015"
9,Clinkz,2.31%,49.10%,"19,959"
10,Visage,2.28%,50.93%,"4,131"
11,Sniper,2.20%,52.17%,"65,237"
12,Winter Wyvern,1.94%,49.15%,"38,812"
13,Arc Warden,1.40%,49.71%,"15,213"
14,Nature's Prophet,1.33%,60.41%,"24,759"
15,Vengeful Spirit,1.25%,52.38%,"22,896"
16,Clockwerk,1.15%,53.59%,"20,348"
17,Gyrocopter,1.12%,54.35%,"21,650"
18,Templar Assassin,1.11%,53.87%,"32,434"
19,Disruptor,1.08%,53.09%,"27,634"
20,Riki,0.95%,50.02%,"30,984"
21,Batrider,0.88%,59.12%,"5,749"
22,Alchemist,0.85%,56.94%,"14,628"
23,Void Spirit,0.79%,55.75%,"20,388"
24,Ember Spirit,0.78%,57.14%,"26,465"
25,Skywrath Mage,0.76%,52.50%,"35,488"
26,Morphling,0.73%,54.40%,"32,890"
27,Phantom Assassin,0.68%,56.20%,"61,690"
28,Phoenix,0.67%,56.69%,"17,070"
29,Leshrac,0.61%,56.03%,"16,521"
30,Jakiro,0.60%,51.95%,"29,205"
31,Beastmaster,0.49%,60.07%,"4,363"
32,Chen,0.44%,59.07%,"2,536"
33,Shadow Shaman,0.43%,51.97%,"55,154"
34,Brewmaster,0.41%,53.34%,"5,184"
35,Tidehunter,0.39%,53.76%,"30,976"
36,Grimstroke,0.39%,53.75%,"37,014"
37,Tinker,0.36%,53.66%,"31,805"
38,Mirana,0.32%,52.18%,"50,866"
39,Dazzle,0.31%,50.57%,"39,416"
40,Death Prophet,0.27%,57.63%,"11,760"
41,Anti-Mage,0.24%,54.00%,"48,182"
42,Juggernaut,0.23%,52.90%,"75,223"
43,Sand King,0.23%,50.50%,"34,060"
