,counter_hero,disadv,certain_win,num_match
0,Meepo,2.44%,41.23%,"24,779"
1,Chaos Knight,2.09%,43.73%,"82,273"
2,Bane,2.03%,48.78%,"21,478"
3,Lone Druid,1.91%,52.31%,"15,155"
4,Huskar,1.86%,45.58%,"76,739"
5,Pudge,1.83%,47.36%,"278,497"
6,Naga Siren,1.61%,45.70%,"25,845"
7,Shadow Shaman,1.60%,45.94%,"153,742"
8,Doom,1.57%,51.92%,"65,960"
9,Skywrath Mage,1.50%,46.93%,"96,667"
10,Techies,1.46%,49.24%,"95,659"
11,Nature's Prophet,1.45%,56.25%,"65,124"
12,Alchemist,1.43%,51.94%,"39,601"
13,Axe,1.43%,45.96%,"171,685"
14,Enchantress,1.33%,52.77%,"39,125"
15,Lion,1.25%,48.54%,"267,317"
16,Wraith King,1.24%,44.47%,"176,043"
17,Troll Warlord,1.23%,49.80%,"60,961"
18,Centaur Warrunner,1.21%,46.17%,"80,722"
19,Oracle,1.21%,51.03%,"37,712"
20,Storm Spirit,1.19%,51.36%,"103,964"
21,Broodmother,1.14%,47.43%,"24,692"
22,Grimstroke,1.13%,48.28%,"100,369"
23,Anti-Mage,1.04%,48.49%,"157,443"
24,Slardar,0.99%,47.89%,"87,571"
25,Silencer,0.92%,44.79%,"110,060"
26,Shadow Fiend,0.92%,50.58%,"157,668"
27,Death Prophet,0.89%,52.63%,"33,843"
28,Legion Commander,0.86%,48.50%,"157,544"
29,Tinker,0.80%,48.46%,"84,082"
30,Chen,0.73%,54.48%,"6,145"
31,Void Spirit,0.60%,51.46%,"59,519"
32,Tidehunter,0.56%,48.87%,"77,257"
33,Vengeful Spirit,0.56%,48.28%,"55,885"
34,Viper,0.55%,50.32%,"119,307"
35,Ogre Magi,0.48%,45.75%,"196,604"
36,Riki,0.42%,45.49%,"94,071"
37,Outworld Destroyer,0.36%,48.81%,"74,330"
38,Tiny,0.25%,55.54%,"75,419"
39,Lycan,0.22%,54.72%,"10,956"
40,Ursa,0.18%,49.01%,"134,042"
41,Slark,0.17%,48.52%,"172,555"
42,Earthshaker,0.16%,51.63%,"105,181"
43,Spectre,0.15%,45.38%,"140,640"
44,Venomancer,0.12%,48.85%,"78,822"
45,Tusk,0.11%,53.99%,"59,536"
46,Dragon Knight,0.09%,47.96%,"103,533"
47,Abaddon,0.09%,46.03%,"55,807"
48,Night Stalker,0.08%,48.62%,"35,850"
49,Phoenix,0.04%,52.89%,"44,381"
50,Luna,0.01%,46.62%,"131,083"
51,Mirana,-0.01%,47.64%,"143,321"
52,Monkey King,-0.03%,52.56%,"100,967"
53,Terrorblade,-0.07%,51.75%,"56,684"
54,Winter Wyvern,-0.08%,46.14%,"103,181"
55,Leshrac,-0.10%,52.29%,"46,680"
56,Spirit Breaker,-0.14%,48.74%,"97,627"
57,Templar Assassin,-0.15%,50.50%,"91,063"
58,Ember Spirit,-0.16%,53.77%,"79,957"
59,Hoodwink,-0.20%,48.28%,"121,027"
60,Phantom Assassin,-0.21%,52.61%,"189,596"
61,Sven,-0.23%,52.52%,"70,344"
62,Enigma,-0.24%,45.13%,"53,716"
63,Lina,-0.25%,52.57%,"147,424"
64,Dark Willow,-0.25%,48.81%,"77,323"
65,Morphling,-0.28%,50.81%,"95,128"
66,Earth Spirit,-0.31%,52.88%,"38,969"
67,Beastmaster,-0.31%,56.76%,"10,318"
68,Disruptor,-0.37%,49.84%,"77,447"
69,Phantom Lancer,-0.38%,48.70%,"105,449"
70,Io,-0.40%,55.57%,"20,551"
71,Rubick,-0.49%,54.85%,"138,422"
72,Clinkz,-0.53%,46.99%,"55,008"
73,Gyrocopter,-0.59%,51.51%,"61,531"
74,Bristleback,-0.59%,48.03%,"159,791"
75,Pugna,-0.59%,52.15%,"50,825"
76,Zeus,-0.59%,47.94%,"122,624"
77,Batrider,-0.62%,56.53%,"15,798"
78,Bounty Hunter,-0.64%,50.14%,"95,228"
79,Medusa,-0.65%,47.29%,"110,215"
80,Sniper,-0.66%,50.18%,"179,518"
81,Kunkka,-0.66%,50.95%,"79,567"
82,Ancient Apparition,-0.69%,45.29%,"122,728"
83,Drow Ranger,-0.69%,47.25%,"135,875"
84,Queen of Pain,-0.69%,53.22%,"86,319"
85,Lich,-0.76%,51.01%,"80,300"
86,Puck,-0.76%,51.13%,"112,404"
87,Visage,-0.79%,49.31%,"10,365"
88,Crystal Maiden,-0.80%,49.68%,"130,340"
89,Invoker,-0.80%,50.64%,"190,515"
90,Pangolier,-0.85%,53.09%,"48,132"
91,Necrophos,-0.87%,46.75%,"76,614"
92,Arc Warden,-0.87%,47.05%,"37,308"
93,Witch Doctor,-0.90%,51.15%,"144,239"
94,Underlord,-0.94%,44.58%,"52,304"
95,Clockwerk,-1.01%,51.16%,"57,112"
96,Mars,-1.02%,53.30%,"106,559"
97,Bloodseeker,-1.03%,48.71%,"61,970"
98,Jakiro,-1.05%,48.78%,"82,407"
99,Warlock,-1.08%,48.58%,"60,536"
100,Windranger,-1.13%,49.35%,"187,761"
