,counter_hero,disadv,certain_win,num_match
0,Lone Druid,2.79%,51.77%,"9,928"
1,Razor,2.41%,47.09%,"37,816"
2,Shadow Demon,2.24%,50.02%,"22,389"
3,Clinkz,1.98%,45.11%,"36,695"
4,Io,1.70%,53.76%,"16,271"
5,Nature's Prophet,1.69%,56.20%,"42,366"
6,Drow Ranger,1.65%,45.62%,"96,482"
7,Lycan,1.52%,53.69%,"7,569"
8,Gyrocopter,1.45%,49.92%,"43,724"
9,Lina,1.43%,51.39%,"109,785"
10,Sven,1.35%,51.34%,"45,312"
11,Sniper,1.30%,48.85%,"112,975"
12,Spectre,1.26%,45.04%,"93,863"
13,Monkey King,1.25%,51.71%,"70,624"
14,Mars,1.11%,51.62%,"85,971"
15,Leshrac,1.04%,51.61%,"37,798"
16,Luna,1.03%,46.31%,"93,463"
17,Weaver,0.99%,50.04%,"46,862"
18,Arc Warden,0.99%,45.78%,"29,371"
19,Death Prophet,0.97%,52.96%,"23,466"
20,Beastmaster,0.97%,55.67%,"7,096"
21,Doom,0.96%,52.97%,"46,681"
22,Phoenix,0.94%,52.46%,"37,972"
23,Visage,0.92%,48.10%,"8,401"
24,Huskar,0.90%,47.26%,"49,488"
25,Night Stalker,0.89%,48.38%,"26,400"
26,Mirana,0.87%,47.42%,"105,875"
27,Tinker,0.86%,49.00%,"63,568"
28,Vengeful Spirit,0.82%,48.61%,"41,821"
29,Juggernaut,0.82%,48.17%,"150,358"
30,Elder Titan,0.77%,47.53%,"15,601"
31,Invoker,0.72%,49.73%,"154,765"
32,Chen,0.68%,54.91%,"4,493"
33,Bloodseeker,0.68%,47.60%,"40,009"
34,Bounty Hunter,0.66%,49.38%,"59,819"
35,Silencer,0.65%,45.80%,"77,485"
36,Hoodwink,0.64%,48.05%,"95,696"
37,Bane,0.64%,50.79%,"16,878"
38,Snapfire,0.64%,53.09%,"66,211"
39,Keeper of the Light,0.63%,52.00%,"30,689"
40,Warlock,0.63%,47.44%,"49,534"
41,Pugna,0.59%,51.38%,"33,137"
42,Windranger,0.58%,48.30%,"126,965"
