,counter_hero,disadv,certain_win,num_match
0,Juggernaut,2.25%,45.57%,"93,463"
1,Lifestealer,2.13%,45.54%,"43,045"
2,Ancient Apparition,2.10%,42.15%,"53,744"
3,Clinkz,1.66%,44.24%,"22,077"
4,Arc Warden,1.51%,44.09%,"15,354"
5,Ogre Magi,1.33%,44.46%,"83,606"
6,Brewmaster,1.26%,46.99%,"6,404"
7,Abaddon,1.18%,44.43%,"23,754"
8,Outworld Destroyer,1.17%,47.27%,"29,708"
9,Mars,1.17%,50.12%,"45,994"
10,Tidehunter,1.15%,47.53%,"34,697"
11,Sniper,1.13%,47.69%,"75,004"
12,Zeus,1.12%,45.64%,"52,322"
13,Medusa,1.11%,44.99%,"47,899"
14,Shadow Demon,1.08%,49.80%,"13,260"
15,Spectre,0.98%,44.15%,"56,261"
16,Underlord,0.90%,42.36%,"23,716"
17,Viper,0.88%,49.13%,"54,454"
18,Techies,0.85%,49.03%,"39,366"
19,Anti-Mage,0.79%,48.00%,"54,055"
20,Centaur Warrunner,0.76%,46.06%,"34,954"
21,Tinker,0.75%,47.80%,"32,589"
22,Skywrath Mage,0.72%,47.05%,"40,717"
23,Faceless Void,0.72%,48.49%,"61,533"
24,Elder Titan,0.69%,46.34%,"9,540"
25,Morphling,0.59%,49.07%,"39,218"
26,Warlock,0.54%,46.29%,"26,543"
27,Dawnbreaker,0.52%,48.24%,"28,714"
28,Razor,0.47%,47.75%,"24,950"
29,Nyx Assassin,0.46%,45.79%,"29,767"
30,Dark Willow,0.42%,47.42%,"32,832"
31,Huskar,0.42%,46.49%,"30,444"
32,Mirana,0.42%,46.60%,"61,615"
33,Sand King,0.41%,44.83%,"43,031"
34,Phoenix,0.39%,51.52%,"20,468"
35,Luna,0.37%,45.73%,"58,005"
36,Jakiro,0.35%,46.71%,"36,279"
37,Magnus,0.35%,50.23%,"34,084"
38,Tusk,0.35%,52.57%,"24,875"
39,Clockwerk,0.34%,48.93%,"24,569"
40,Pudge,0.34%,48.00%,"117,967"
41,Pugna,0.30%,50.27%,"21,576"
42,Snapfire,0.29%,51.93%,"36,228"
43,Silencer,0.28%,44.98%,"46,460"
44,Lich,0.28%,49.12%,"34,796"
45,Bounty Hunter,0.25%,48.46%,"38,325"
46,Witch Doctor,0.20%,49.22%,"60,753"
47,Death Prophet,0.19%,52.29%,"15,537"
48,Earth Spirit,0.16%,51.38%,"16,614"
49,Keeper of the Light,0.15%,51.04%,"17,992"
50,Bane,0.15%,49.90%,"9,463"
51,Venomancer,0.12%,48.11%,"34,466"
52,Doom,0.12%,52.32%,"27,816"
53,Treant Protector,0.10%,46.01%,"28,615"
54,Windranger,0.08%,47.50%,"78,510"
55,Omniknight,0.07%,45.69%,"12,072"
56,Shadow Fiend,0.06%,50.50%,"64,084"
57,Hoodwink,-0.01%,47.42%,"52,402"
58,Drow Ranger,-0.03%,46.05%,"58,447"
59,Oracle,-0.04%,51.34%,"15,580"
60,Bloodseeker,-0.08%,47.08%,"26,929"
61,Bristleback,-0.08%,46.90%,"68,618"
62,Crystal Maiden,-0.17%,48.31%,"55,233"
63,Pangolier,-0.23%,51.42%,"20,806"
64,Rubick,-0.23%,53.42%,"57,901"
65,Dragon Knight,-0.24%,47.61%,"45,679"
66,Visage,-0.27%,48.05%,"4,560"
67,Queen of Pain,-0.31%,51.79%,"37,000"
68,Sven,-0.32%,51.60%,"30,102"
69,Invoker,-0.32%,49.35%,"84,909"
70,Void Spirit,-0.33%,51.43%,"24,951"
71,Wraith King,-0.35%,45.60%,"63,457"
72,Spirit Breaker,-0.40%,48.28%,"40,677"
73,Alchemist,-0.41%,52.75%,"16,662"
74,Kunkka,-0.46%,49.87%,"33,075"
75,Ursa,-0.46%,48.90%,"52,858"
76,Chen,-0.50%,54.57%,"2,809"
77,Storm Spirit,-0.50%,52.03%,"40,448"
78,Timbersaw,-0.52%,51.36%,"36,972"
79,Lina,-0.52%,51.83%,"63,094"
80,Batrider,-0.54%,55.17%,"7,171"
81,Terrorblade,-0.56%,51.28%,"24,607"
82,Disruptor,-0.60%,49.28%,"34,852"
83,Legion Commander,-0.66%,49.23%,"62,096"
84,Slark,-0.67%,48.63%,"63,308"
85,Enchantress,-0.68%,53.75%,"19,458"
86,Slardar,-0.78%,48.95%,"37,879"
87,Monkey King,-0.80%,52.29%,"42,500"
88,Necrophos,-0.86%,46.19%,"34,082"
89,Ember Spirit,-0.86%,53.33%,"34,100"
90,Lycan,-0.86%,54.63%,"4,831"
