,counter_hero,disadv,certain_win,num_match
0,Batrider,2.53%,55.05%,"15,094"
1,Mars,2.41%,51.70%,"100,805"
2,Timbersaw,1.84%,51.80%,"76,140"
3,Broodmother,1.62%,48.84%,"25,063"
4,Tinker,1.57%,49.60%,"72,669"
5,Chen,1.40%,55.63%,"5,722"
6,Spirit Breaker,1.33%,49.16%,"79,866"
7,Io,1.25%,55.67%,"19,037"
8,Beastmaster,1.24%,56.90%,"9,200"
9,Tiny,1.24%,56.32%,"66,833"
10,Nature's Prophet,1.16%,58.25%,"53,248"
11,Drow Ranger,1.14%,47.39%,"113,731"
12,Zeus,1.09%,48.19%,"103,901"
13,Phantom Lancer,1.09%,49.14%,"86,111"
14,Keeper of the Light,1.09%,52.91%,"36,580"
15,Storm Spirit,1.02%,53.38%,"86,458"
16,Shadow Demon,1.01%,52.68%,"27,270"
17,Pugna,1.00%,52.32%,"39,844"
18,Sniper,1.00%,50.46%,"140,004"
19,Void Spirit,0.89%,53.03%,"53,485"
20,Templar Assassin,0.88%,51.35%,"86,049"
21,Axe,0.86%,48.46%,"149,807"
22,Vengeful Spirit,0.85%,49.90%,"49,246"
23,Earth Spirit,0.83%,53.59%,"38,948"
24,Puck,0.83%,51.41%,"99,292"
25,Doom,0.83%,54.53%,"58,415"
26,Night Stalker,0.82%,49.76%,"31,825"
27,Clinkz,0.82%,47.56%,"44,827"
28,Bane,0.81%,51.98%,"20,228"
29,Weaver,0.80%,51.58%,"60,288"
30,Skywrath Mage,0.79%,49.58%,"84,498"
31,Bounty Hunter,0.78%,50.59%,"79,213"
32,Arc Warden,0.75%,47.29%,"34,451"
33,Wraith King,0.73%,47.01%,"128,692"
34,Ogre Magi,0.73%,47.48%,"165,119"
35,Riki,0.72%,47.20%,"73,528"
36,Ember Spirit,0.72%,54.70%,"72,104"
37,Nyx Assassin,0.70%,48.03%,"65,074"
38,Clockwerk,0.70%,51.28%,"50,362"
39,Juggernaut,0.64%,49.65%,"179,070"
40,Centaur Warrunner,0.60%,48.75%,"70,086"
41,Omniknight,0.60%,47.64%,"22,531"
42,Phantom Assassin,0.60%,53.65%,"143,866"
43,Tusk,0.59%,55.27%,"48,079"
44,Naga Siren,0.55%,48.79%,"21,325"
45,Dragon Knight,0.55%,49.42%,"91,691"
46,Techies,0.52%,52.09%,"93,865"
47,Oracle,0.50%,53.67%,"36,702"
48,Windranger,0.50%,49.69%,"157,484"
49,Terrorblade,0.48%,53.06%,"51,824"
50,Brewmaster,0.47%,50.44%,"13,393"
51,Warlock,0.46%,48.91%,"56,836"
52,Enchantress,0.42%,55.60%,"37,762"
53,Magnus,0.42%,52.97%,"71,327"
54,Razor,0.41%,50.45%,"44,766"
55,Queen of Pain,0.41%,53.92%,"72,357"
56,Phoenix,0.40%,54.43%,"45,668"
57,Mirana,0.34%,49.24%,"127,852"
58,Outworld Destroyer,0.33%,50.76%,"58,005"
59,Sand King,0.31%,47.38%,"87,775"
60,Death Prophet,0.28%,55.07%,"27,812"
61,Enigma,0.27%,46.61%,"44,726"
62,Sven,0.24%,53.85%,"54,187"
63,Bloodseeker,0.24%,49.33%,"50,595"
64,Snapfire,0.19%,54.95%,"75,870"
65,Lina,0.19%,53.99%,"131,525"
66,Disruptor,0.19%,51.18%,"71,983"
67,Gyrocopter,0.18%,52.58%,"52,401"
68,Faceless Void,0.17%,51.72%,"121,028"
69,Venomancer,0.14%,50.74%,"69,624"
70,Viper,0.09%,52.65%,"100,653"
71,Dark Willow,0.05%,50.42%,"70,580"
72,Kunkka,0.04%,52.10%,"65,281"
73,Morphling,-0.01%,52.40%,"81,695"
74,Treant Protector,-0.04%,48.65%,"61,816"
75,Lycan,-0.05%,56.79%,"9,196"
76,Silencer,-0.06%,47.78%,"89,310"
77,Dawnbreaker,-0.06%,51.52%,"60,834"
78,Luna,-0.10%,48.70%,"112,886"
79,Rubick,-0.11%,56.27%,"123,293"
80,Alchemist,-0.12%,55.34%,"30,075"
81,Winter Wyvern,-0.14%,48.15%,"102,271"
82,Undying,-0.16%,51.14%,"46,133"
83,Lich,-0.18%,52.30%,"70,900"
84,Crystal Maiden,-0.20%,50.99%,"112,068"
85,Ursa,-0.21%,51.32%,"105,250"
86,Leshrac,-0.27%,54.36%,"45,839"
87,Visage,-0.34%,50.75%,"10,235"
88,Witch Doctor,-0.37%,52.50%,"124,951"
89,Legion Commander,-0.37%,51.63%,"122,254"
90,Spectre,-0.42%,47.95%,"113,067"
91,Chaos Knight,-0.44%,48.34%,"64,906"
92,Pudge,-0.46%,51.37%,"255,471"
93,Dazzle,-0.47%,48.30%,"90,792"
94,Lion,-0.50%,52.06%,"252,301"
95,Troll Warlord,-0.55%,53.49%,"45,048"
96,Invoker,-0.55%,52.28%,"182,885"
97,Lifestealer,-0.58%,50.83%,"79,950"
98,Shadow Shaman,-0.58%,50.03%,"130,833"
99,Tidehunter,-0.60%,51.96%,"66,985"
100,Grimstroke,-0.60%,51.95%,"95,697"
101,Earthshaker,-0.61%,54.25%,"87,065"
102,Meepo,-0.65%,46.50%,"21,928"
103,Slardar,-0.65%,51.49%,"69,254"
104,Ancient Apparition,-0.70%,47.25%,"121,536"
105,Huskar,-0.71%,50.19%,"58,486"
106,Shadow Fiend,-0.73%,54.07%,"146,920"
107,Necrophos,-0.77%,48.61%,"64,989"
108,Abaddon,-0.79%,48.91%,"47,185"
109,Pangolier,-0.82%,54.92%,"43,894"
110,Jakiro,-0.95%,50.60%,"71,916"
111,Underlord,-1.12%,46.77%,"46,355"
112,Medusa,-1.17%,49.77%,"87,672"
113,Monkey King,-1.20%,55.56%,"82,285"
114,Slark,-1.20%,51.81%,"119,084"
115,Elder Titan,-1.33%,51.03%,"18,981"
116,Dark Seer,-1.36%,46.87%,"33,038"
117,Lone Druid,-1.72%,57.93%,"12,310"
118,Anti-Mage,-2.26%,53.68%,"102,558"
119,Bristleback,-3.06%,52.38%,"135,886"
