,counter_hero,disadv,certain_win,num_match
0,Ancient Apparition,9.70%,37.75%,"53,616"
1,Necrophos,6.19%,42.24%,"53,227"
2,Viper,4.53%,48.75%,"79,169"
3,Death Prophet,3.79%,51.79%,"18,275"
4,Timbersaw,3.35%,50.67%,"43,081"
5,Beastmaster,2.90%,55.33%,"5,621"
6,Phantom Lancer,2.72%,48.06%,"52,130"
7,Windranger,2.49%,48.33%,"99,427"
8,Chaos Knight,2.43%,46.06%,"45,200"
9,Morphling,2.19%,50.62%,"47,845"
10,Clinkz,2.10%,46.86%,"32,995"
11,Visage,1.89%,48.93%,"5,978"
12,Terrorblade,1.67%,52.18%,"27,137"
13,Enchantress,1.57%,54.65%,"22,220"
14,Bloodseeker,1.53%,48.57%,"39,334"
15,Lina,1.52%,53.03%,"81,128"
16,Lion,1.52%,50.66%,"137,032"
17,Chen,1.52%,55.70%,"3,445"
18,Enigma,1.50%,46.04%,"27,204"
19,Nature's Prophet,1.43%,58.16%,"38,696"
20,Undying,1.43%,50.01%,"30,724"
21,Pudge,1.38%,50.19%,"152,973"
22,Witch Doctor,1.36%,51.23%,"73,898"
23,Shadow Shaman,1.34%,48.71%,"79,198"
24,Phantom Assassin,1.29%,53.33%,"95,442"
25,Naga Siren,1.29%,48.58%,"14,718"
26,Skywrath Mage,1.18%,49.72%,"56,339"
27,Troll Warlord,1.14%,52.21%,"38,502"
28,Lich,1.07%,51.46%,"41,875"
29,Shadow Fiend,1.04%,52.72%,"93,168"
30,Bristleback,0.95%,49.03%,"93,438"
31,Crystal Maiden,0.93%,50.36%,"70,029"
32,Weaver,0.87%,51.95%,"43,920"
33,Legion Commander,0.86%,50.90%,"84,706"
34,Riki,0.78%,47.76%,"48,128"
35,Drow Ranger,0.77%,48.36%,"76,717"
36,Lifestealer,0.77%,49.99%,"53,613"
37,Sniper,0.72%,51.21%,"105,404"
38,Hoodwink,0.72%,49.81%,"58,486"
39,Snapfire,0.47%,54.91%,"40,001"
40,Shadow Demon,0.45%,53.58%,"14,627"
41,Bane,0.45%,52.74%,"11,579"
42,Arc Warden,0.43%,48.26%,"19,669"
43,Ursa,0.33%,51.25%,"66,662"
44,Leshrac,0.27%,54.07%,"22,454"
45,Tusk,0.27%,55.82%,"27,156"
46,Axe,0.18%,49.68%,"92,987"
47,Lycan,0.13%,56.84%,"6,312"
48,Centaur Warrunner,0.11%,49.80%,"40,733"
49,Monkey King,0.09%,54.59%,"57,043"
50,Earth Spirit,0.01%,54.69%,"19,334"
51,Dawnbreaker,-0.02%,51.91%,"36,232"
52,Tinker,-0.06%,51.72%,"44,190"
53,Luna,-0.06%,49.23%,"63,816"
54,Juggernaut,-0.06%,50.81%,"110,048"
55,Elder Titan,-0.07%,50.24%,"10,557"
56,Techies,-0.15%,53.16%,"64,169"
57,Medusa,-0.25%,49.41%,"56,857"
58,Earthshaker,-0.26%,54.23%,"53,370"
59,Pugna,-0.31%,54.05%,"26,862"
60,Sand King,-0.33%,48.64%,"49,759"
61,Mirana,-0.34%,50.43%,"68,475"
62,Io,-0.36%,57.52%,"11,436"
63,Gyrocopter,-0.36%,53.51%,"30,441"
64,Brewmaster,-0.39%,51.80%,"7,398"
65,Ogre Magi,-0.45%,49.20%,"103,427"
66,Razor,-0.46%,51.82%,"30,837"
67,Invoker,-0.47%,52.62%,"104,291"
68,Vengeful Spirit,-0.48%,51.74%,"29,660"
69,Dark Seer,-0.48%,46.73%,"17,359"
70,Slardar,-0.49%,51.79%,"45,656"
71,Spirit Breaker,-0.54%,51.54%,"53,960"
72,Pangolier,-0.60%,54.94%,"21,808"
73,Phoenix,-0.67%,55.75%,"23,856"
74,Wraith King,-0.69%,49.01%,"82,218"
75,Sven,-0.72%,55.19%,"39,834"
76,Oracle,-0.76%,55.22%,"18,141"
77,Dazzle,-0.79%,49.23%,"54,686"
78,Nyx Assassin,-0.82%,50.16%,"34,360"
79,Rubick,-0.82%,57.17%,"66,446"
80,Abaddon,-0.83%,49.54%,"29,714"
81,Storm Spirit,-0.86%,55.55%,"48,039"
82,Doom,-0.90%,56.51%,"31,075"
83,Dark Willow,-0.95%,51.91%,"39,141"
84,Grimstroke,-0.97%,52.74%,"49,488"
85,Jakiro,-1.04%,51.20%,"41,174"
86,Batrider,-1.06%,58.89%,"8,209"
87,Silencer,-1.07%,49.38%,"61,809"
88,Underlord,-1.09%,47.43%,"26,178"
89,Broodmother,-1.12%,52.18%,"13,535"
90,Slark,-1.22%,52.28%,"79,151"
91,Tiny,-1.28%,58.97%,"36,362"
92,Mars,-1.34%,55.74%,"50,674"
93,Lone Druid,-1.39%,57.84%,"8,631"
94,Void Spirit,-1.51%,55.77%,"28,347"
95,Tidehunter,-1.54%,53.33%,"39,039"
