,counter_hero,disadv,certain_win,num_match
0,Void Spirit,2.35%,46.86%,"119,972"
1,Broodmother,2.14%,46.82%,"40,581"
2,Pugna,1.61%,50.51%,"74,484"
3,Nature's Prophet,1.50%,55.80%,"102,099"
4,Puck,1.46%,49.61%,"145,753"
5,Templar Assassin,1.42%,48.27%,"163,952"
6,Enchantress,1.39%,52.58%,"45,263"
7,Alchemist,1.38%,51.51%,"58,035"
8,Bounty Hunter,1.27%,48.14%,"157,684"
9,Phantom Assassin,1.27%,50.70%,"265,403"
10,Lycan,1.16%,45.75%,"45,812"
11,Gyrocopter,1.12%,49.78%,"136,113"
12,Faceless Void,0.98%,49.22%,"189,750"
13,Keeper of the Light,0.97%,50.03%,"118,616"
14,Weaver,0.92%,48.82%,"116,201"
15,Clinkz,0.89%,44.67%,"122,291"
16,Riki,0.87%,44.76%,"142,443"
17,Batrider,0.83%,52.75%,"30,470"
18,Tiny,0.82%,54.21%,"101,106"
19,Tusk,0.77%,52.97%,"83,043"
20,Ember Spirit,0.70%,52.63%,"113,987"
21,Snapfire,0.66%,52.35%,"88,794"
22,Bristleback,0.66%,47.11%,"223,194"
23,Lifestealer,0.63%,47.92%,"142,828"
24,Phantom Lancer,0.58%,46.97%,"141,590"
25,Death Prophet,0.58%,53.10%,"38,986"
26,Mars,0.52%,51.23%,"144,871"
27,Razor,0.51%,48.77%,"65,231"
28,Queen of Pain,0.46%,50.48%,"144,746"
29,Shadow Demon,0.44%,50.18%,"47,113"
30,Lone Druid,0.44%,51.49%,"23,429"
31,Techies,0.44%,49.67%,"185,714"
32,Slardar,0.44%,47.94%,"124,790"
33,Oracle,0.43%,51.15%,"58,712"
34,Phoenix,0.42%,51.70%,"61,213"
35,Pangolier,0.32%,50.84%,"97,283"
36,Morphling,0.30%,49.44%,"144,948"
37,Rubick,0.29%,53.96%,"222,291"
38,Hoodwink,0.26%,47.80%,"210,128"
39,Storm Spirit,0.26%,50.71%,"156,190"
40,Undying,0.22%,49.31%,"106,246"
41,Lina,0.18%,51.83%,"267,565"
42,Io,0.18%,52.01%,"35,401"
43,Visage,0.17%,48.01%,"18,714"
44,Juggernaut,0.17%,47.62%,"308,380"
45,Earthshaker,0.16%,50.08%,"167,587"
46,Drow Ranger,0.14%,47.62%,"210,637"
47,Nyx Assassin,0.14%,46.22%,"106,206"
48,Windranger,0.13%,48.16%,"289,638"
49,Terrorblade,0.12%,52.61%,"68,036"
50,Zeus,0.11%,46.60%,"192,986"
51,Monkey King,0.11%,49.80%,"190,797"
52,Mirana,0.10%,46.55%,"240,145"
53,Earth Spirit,0.10%,51.27%,"64,821"
54,Outworld Destroyer,0.07%,48.93%,"104,650"
55,Timbersaw,0.03%,52.32%,"108,133"
56,Sniper,0.01%,47.97%,"308,996"
57,Chen,0.01%,51.11%,"14,052"
58,Sand King,0.00%,45.33%,"169,143"
59,Bloodseeker,-0.02%,46.35%,"94,158"
60,Skywrath Mage,-0.05%,46.81%,"160,680"
61,Winter Wyvern,-0.07%,45.79%,"168,523"
62,Doom,-0.09%,54.04%,"80,161"
63,Dragon Knight,-0.11%,48.99%,"141,540"
64,Beastmaster,-0.14%,49.58%,"29,908"
65,Bane,-0.15%,48.29%,"45,782"
66,Witch Doctor,-0.22%,49.92%,"223,461"
67,Venomancer,-0.26%,47.28%,"123,125"
68,Clockwerk,-0.28%,49.82%,"72,921"
69,Huskar,-0.29%,46.80%,"117,945"
70,Shadow Fiend,-0.30%,51.11%,"300,511"
