,counter_hero,disadv,certain_win,num_match
0,Lycan,8.42%,41.35%,"2,225"
1,Chen,7.52%,42.54%,"1,455"
2,Batrider,7.24%,43.38%,"2,842"
3,Beastmaster,6.12%,44.97%,"1,870"
4,Elder Titan,5.57%,37.80%,"3,730"
5,Alchemist,5.00%,43.51%,"6,070"
6,Lone Druid,4.94%,44.32%,"2,929"
7,Brewmaster,4.00%,40.53%,"2,487"
8,Death Prophet,3.55%,45.07%,"5,150"
9,Terrorblade,3.10%,43.86%,"9,588"
10,Meepo,3.03%,36.87%,"5,234"
11,Troll Warlord,2.89%,43.54%,"8,888"
12,Sven,2.84%,44.67%,"10,026"
13,Naga Siren,2.62%,40.52%,"4,215"
14,Visage,2.61%,41.42%,"2,103"
15,Monkey King,2.38%,45.37%,"15,269"
16,Underlord,2.13%,37.64%,"7,580"
17,Gyrocopter,1.86%,44.39%,"8,418"
18,Bristleback,1.76%,41.51%,"23,227"
19,Keeper of the Light,1.74%,45.64%,"6,683"
20,Pangolier,1.71%,45.67%,"7,291"
21,Leshrac,1.45%,45.95%,"7,308"
22,Drow Ranger,1.41%,41.05%,"20,552"
23,Enchantress,1.38%,47.78%,"6,869"
24,Medusa,1.31%,41.18%,"15,115"
25,Witch Doctor,1.26%,44.47%,"22,071"
26,Outworld Destroyer,1.22%,43.52%,"9,857"
27,Timbersaw,1.20%,45.86%,"13,574"
28,Slardar,1.13%,43.37%,"12,238"
29,Dark Willow,1.11%,43.06%,"12,018"
30,Razor,1.07%,43.46%,"7,609"
31,Faceless Void,1.06%,44.43%,"20,551"
32,Magnus,1.04%,45.76%,"11,401"
33,Earthshaker,1.02%,46.04%,"14,678"
34,Enigma,0.92%,40.00%,"8,265"
35,Kunkka,0.92%,44.77%,"11,285"
36,Viper,0.86%,45.39%,"17,778"
37,Ancient Apparition,0.83%,39.84%,"20,401"
38,Broodmother,0.82%,43.38%,"4,795"
39,Undying,0.78%,43.84%,"8,298"
40,Huskar,0.77%,42.48%,"11,436"
41,Weaver,0.75%,45.16%,"10,992"
42,Crystal Maiden,0.71%,43.77%,"19,840"
43,Snapfire,0.70%,47.67%,"12,798"
44,Lich,0.70%,44.96%,"12,330"
45,Dark Seer,0.61%,39.03%,"5,632"
46,Ember Spirit,0.59%,48.04%,"11,411"
47,Queen of Pain,0.56%,47.11%,"11,936"
48,Luna,0.53%,41.94%,"18,327"
49,Tusk,0.53%,48.51%,"7,565"
50,Bane,0.50%,45.77%,"3,699"
51,Treant Protector,0.45%,42.02%,"10,402"
52,Necrophos,0.43%,41.32%,"11,830"
53,Bloodseeker,0.30%,43.03%,"9,377"
54,Spirit Breaker,0.24%,43.95%,"13,381"
55,Tiny,0.24%,50.32%,"10,633"
56,Mars,0.21%,47.23%,"15,818"
57,Morphling,0.19%,45.69%,"15,395"
58,Windranger,0.17%,43.71%,"25,955"
59,Lina,0.13%,47.38%,"21,892"
60,Earth Spirit,0.13%,47.56%,"6,726"
61,Ogre Magi,0.13%,41.95%,"28,115"
62,Night Stalker,0.09%,44.19%,"5,017"
63,Winter Wyvern,0.01%,41.92%,"17,103"
64,Clinkz,-0.03%,42.30%,"8,180"
65,Slark,-0.06%,44.34%,"20,838"
66,Dawnbreaker,-0.09%,45.11%,"10,774"
67,Sniper,-0.13%,45.14%,"25,734"
68,Skywrath Mage,-0.20%,44.26%,"14,267"
69,Void Spirit,-0.22%,47.48%,"8,919"
70,Phantom Assassin,-0.23%,47.76%,"26,281"
71,Dragon Knight,-0.27%,43.95%,"14,810"
72,Ursa,-0.30%,45.01%,"18,669"
73,Templar Assassin,-0.31%,46.03%,"14,909"
74,Sand King,-0.38%,41.99%,"13,985"
75,Vengeful Spirit,-0.40%,44.81%,"8,858"
76,Nyx Assassin,-0.41%,43.00%,"9,982"
