,counter_hero,disadv,certain_win,num_match
0,Juggernaut,2.25%,48.50%,"128,773"
1,Rubick,1.86%,54.46%,"82,987"
2,Lifestealer,1.82%,48.78%,"59,969"
3,Slark,1.61%,49.39%,"87,029"
4,Tidehunter,1.61%,50.04%,"48,646"
5,Pangolier,1.47%,52.74%,"28,273"
6,Clinkz,1.43%,47.37%,"29,841"
7,Windranger,1.27%,49.31%,"102,716"
8,Weaver,1.25%,51.40%,"41,002"
9,Morphling,1.23%,51.43%,"55,050"
10,Bristleback,1.09%,48.71%,"96,653"
11,Sniper,1.08%,50.69%,"97,981"
12,Bane,1.08%,51.96%,"13,593"
13,Oracle,1.04%,53.28%,"22,891"
14,Huskar,1.03%,48.80%,"41,173"
15,Enchantress,1.00%,55.11%,"24,508"
16,Faceless Void,0.98%,51.22%,"82,407"
17,Hoodwink,0.97%,49.40%,"71,918"
18,Pugna,0.92%,52.65%,"28,369"
19,Legion Commander,0.92%,50.68%,"87,008"
20,Sven,0.90%,53.41%,"39,716"
21,Death Prophet,0.87%,54.65%,"20,407"
22,Io,0.83%,56.16%,"11,803"
23,Snapfire,0.76%,54.52%,"51,092"
24,Lina,0.72%,53.67%,"87,556"
25,Omniknight,0.69%,47.97%,"16,190"
26,Razor,0.64%,50.55%,"32,073"
27,Doom,0.57%,54.93%,"38,419"
28,Shadow Fiend,0.56%,53.02%,"88,262"
29,Alchemist,0.56%,54.83%,"21,895"
30,Viper,0.55%,52.45%,"70,589"
31,Ursa,0.51%,50.92%,"72,077"
32,Drow Ranger,0.49%,48.45%,"76,447"
33,Abaddon,0.49%,48.02%,"32,707"
34,Nature's Prophet,0.49%,58.93%,"35,221"
35,Tinker,0.46%,51.04%,"46,093"
36,Zeus,0.43%,49.24%,"68,912"
37,Mirana,0.40%,49.56%,"84,137"
38,Winter Wyvern,0.38%,48.07%,"64,857"
39,Bounty Hunter,0.38%,51.30%,"50,276"
40,Invoker,0.38%,51.67%,"116,847"
41,Undying,0.38%,50.91%,"33,810"
42,Keeper of the Light,0.30%,53.93%,"25,000"
43,Night Stalker,0.29%,50.65%,"20,971"
44,Treant Protector,0.28%,48.74%,"39,839"
45,Shadow Demon,0.27%,53.65%,"17,809"
46,Venomancer,0.27%,50.93%,"47,759"
47,Underlord,0.24%,45.86%,"33,940"
48,Bloodseeker,0.24%,49.69%,"34,885"
49,Techies,0.24%,52.61%,"56,628"
50,Storm Spirit,0.23%,54.35%,"56,041"
51,Ember Spirit,0.20%,55.35%,"47,109"
52,Queen of Pain,0.18%,54.34%,"49,169"
53,Witch Doctor,0.15%,52.26%,"92,154"
54,Leshrac,0.07%,54.18%,"29,753"
55,Pudge,0.06%,51.21%,"168,939"
56,Outworld Destroyer,0.06%,51.35%,"40,705"
57,Skywrath Mage,0.04%,50.68%,"56,967"
58,Void Spirit,0.02%,54.10%,"33,385"
59,Lion,0.02%,51.87%,"161,525"
60,Ancient Apparition,0.01%,47.05%,"79,091"
61,Batrider,0.00%,57.73%,"9,682"
62,Elder Titan,0.00%,50.00%,"12,721"
63,Slardar,-0.04%,51.18%,"49,389"
64,Lich,-0.04%,52.44%,"52,742"
65,Necrophos,-0.06%,48.31%,"45,538"
66,Silencer,-0.07%,48.22%,"63,766"
67,Ogre Magi,-0.10%,48.71%,"118,300"
68,Timbersaw,-0.12%,53.99%,"48,018"
69,Tiny,-0.17%,57.77%,"42,372"
70,Crystal Maiden,-0.18%,51.29%,"81,723"
71,Dazzle,-0.23%,48.49%,"63,258"
72,Luna,-0.23%,49.23%,"74,523"
73,Disruptor,-0.26%,51.93%,"51,284"
74,Gyrocopter,-0.28%,53.29%,"36,279"
75,Grimstroke,-0.30%,51.93%,"64,377"
76,Phantom Assassin,-0.30%,54.70%,"96,625"
77,Puck,-0.30%,52.80%,"63,651"
78,Shadow Shaman,-0.31%,50.13%,"99,264"
79,Mars,-0.32%,54.61%,"64,392"
80,Chen,-0.33%,57.47%,"3,579"
81,Monkey King,-0.37%,54.90%,"55,522"
82,Magnus,-0.40%,54.00%,"47,009"
83,Broodmother,-0.41%,51.30%,"14,492"
84,Templar Assassin,-0.43%,52.91%,"52,630"
85,Dragon Knight,-0.43%,50.75%,"64,232"
86,Phoenix,-0.45%,55.43%,"28,739"
87,Clockwerk,-0.50%,52.78%,"33,503"
88,Centaur Warrunner,-0.51%,50.26%,"47,840"
89,Nyx Assassin,-0.54%,49.71%,"41,416"
90,Kunkka,-0.56%,52.97%,"44,579"
91,Earth Spirit,-0.57%,55.16%,"22,467"
92,Arc Warden,-0.60%,49.14%,"21,279"
93,Enigma,-0.66%,48.05%,"29,205"
94,Vengeful Spirit,-0.72%,51.84%,"33,485"
95,Tusk,-0.75%,56.76%,"33,619"
96,Dawnbreaker,-0.75%,52.49%,"39,804"
97,Lone Druid,-0.80%,57.06%,"8,338"
98,Anti-Mage,-0.81%,52.52%,"73,613"
99,Dark Seer,-0.83%,46.86%,"21,557"
100,Dark Willow,-0.88%,51.68%,"47,394"
101,Beastmaster,-0.88%,59.12%,"5,939"
102,Earthshaker,-0.92%,54.76%,"61,094"
103,Brewmaster,-0.96%,52.24%,"8,677"
104,Riki,-1.00%,49.36%,"48,710"
105,Warlock,-1.01%,50.78%,"39,796"
106,Sand King,-1.07%,49.20%,"58,261"
107,Troll Warlord,-1.19%,54.38%,"31,355"
108,Spirit Breaker,-1.33%,52.16%,"54,187"
109,Terrorblade,-1.34%,55.10%,"32,349"
110,Visage,-1.36%,52.13%,"6,004"
111,Lycan,-1.40%,58.26%,"6,189"
112,Spectre,-1.47%,49.42%,"74,606"
113,Phantom Lancer,-1.54%,52.10%,"57,152"
114,Medusa,-1.56%,50.53%,"62,913"
115,Axe,-1.58%,51.18%,"99,992"
116,Wraith King,-2.05%,50.15%,"83,721"
117,Chaos Knight,-2.19%,50.51%,"45,134"
118,Naga Siren,-4.32%,54.18%,"13,295"
119,Meepo,-7.09%,53.64%,"12,621"
