,counter_hero,disadv,certain_win,num_match
0,Nature's Prophet,3.56%,55.69%,"95,182"
1,Death Prophet,3.27%,52.37%,"39,741"
2,Ursa,2.83%,47.83%,"157,221"
3,Morphling,2.74%,49.05%,"129,639"
4,Broodmother,2.34%,48.88%,"31,071"
5,Chen,2.24%,50.78%,"11,332"
6,Io,2.11%,51.98%,"29,069"
7,Visage,2.09%,48.16%,"15,333"
8,Anti-Mage,2.00%,48.38%,"208,245"
9,Storm Spirit,1.97%,51.08%,"141,511"
10,Night Stalker,1.81%,46.72%,"65,704"
11,Lone Druid,1.79%,52.18%,"21,799"
12,Templar Assassin,1.70%,50.19%,"136,442"
13,Weaver,1.66%,50.24%,"115,521"
14,Razor,1.65%,49.74%,"73,169"
15,Bane,1.58%,48.64%,"38,921"
16,Windranger,1.53%,48.95%,"261,644"
17,Skywrath Mage,1.53%,47.38%,"154,525"
18,Shadow Shaman,1.52%,47.83%,"216,509"
19,Riki,1.49%,46.33%,"141,254"
20,Void Spirit,1.47%,50.06%,"96,606"
21,Lion,1.42%,50.70%,"386,042"
22,Faceless Void,1.36%,51.05%,"209,655"
23,Oracle,1.25%,52.35%,"47,140"
24,Legion Commander,1.24%,48.55%,"227,693"
25,Queen of Pain,1.23%,51.85%,"134,246"
26,Puck,1.20%,52.05%,"121,018"
27,Beastmaster,1.20%,50.31%,"25,798"
28,Doom,1.20%,54.79%,"75,529"
29,Lina,1.13%,53.01%,"241,483"
30,Enchantress,1.08%,55.15%,"45,893"
31,Lycan,1.00%,48.20%,"41,318"
32,Disruptor,1.00%,48.84%,"125,049"
33,Tusk,0.80%,55.07%,"75,986"
34,Tiny,0.76%,56.39%,"93,303"
35,Terrorblade,0.67%,54.19%,"64,503"
36,Slark,0.64%,47.74%,"288,785"
37,Pudge,0.62%,49.56%,"427,288"
38,Techies,0.61%,51.70%,"178,862"
39,Abaddon,0.60%,47.00%,"88,011"
40,Timbersaw,0.58%,53.86%,"97,564"
41,Troll Warlord,0.58%,51.65%,"75,196"
42,Axe,0.53%,48.47%,"235,112"
43,Pugna,0.52%,53.88%,"70,016"
44,Lifestealer,0.50%,50.30%,"130,984"
45,Spirit Breaker,0.48%,50.00%,"158,179"
46,Winter Wyvern,0.44%,47.55%,"144,804"
47,Rubick,0.41%,55.92%,"193,857"
48,Sven,0.40%,49.70%,"139,432"
49,Dazzle,0.36%,47.10%,"143,798"
50,Phantom Assassin,0.35%,53.87%,"281,099"
51,Dragon Knight,0.27%,50.80%,"137,770"
52,Vengeful Spirit,0.21%,48.18%,"113,346"
53,Earth Spirit,0.20%,53.28%,"54,158"
54,Shadow Fiend,0.17%,52.79%,"243,596"
55,Clinkz,0.16%,47.68%,"120,352"
56,Chaos Knight,0.16%,48.96%,"114,360"
57,Bounty Hunter,0.14%,51.54%,"152,758"
58,Snapfire,0.13%,55.07%,"81,712"
59,Sniper,0.13%,50.06%,"289,121"
60,Meepo,0.11%,46.97%,"36,203"
61,Alchemist,0.08%,55.10%,"54,257"
62,Brewmaster,0.08%,49.98%,"27,354"
63,Magnus,0.07%,52.64%,"113,666"
64,Mirana,0.06%,48.85%,"212,120"
65,Shadow Demon,0.05%,52.79%,"43,902"
66,Witch Doctor,0.05%,51.82%,"201,366"
67,Wraith King,0.05%,47.99%,"191,314"
68,Drow Ranger,0.03%,49.96%,"206,090"
69,Luna,0.00%,47.61%,"269,310"
70,Outworld Destroyer,-0.01%,51.22%,"97,154"
71,Mars,-0.04%,53.98%,"132,356"
72,Warlock,-0.10%,49.78%,"68,374"
73,Lich,-0.15%,51.56%,"119,388"
74,Bristleback,-0.17%,50.18%,"213,332"
75,Omniknight,-0.17%,46.78%,"45,340"
76,Invoker,-0.20%,52.38%,"308,378"
77,Monkey King,-0.21%,52.33%,"183,755"
78,Ancient Apparition,-0.22%,47.21%,"172,162"
