,counter_hero,disadv,certain_win,num_match
0,Faceless Void,2.21%,45.92%,"41,832"
1,Huskar,2.13%,43.68%,"22,240"
2,Phantom Assassin,1.96%,48.35%,"52,869"
3,Sniper,1.34%,46.35%,"54,543"
4,Juggernaut,1.33%,45.30%,"64,130"
5,Lycan,1.33%,51.16%,"3,780"
6,Bane,1.32%,47.55%,"7,153"
7,Storm Spirit,1.31%,49.06%,"28,453"
8,Batrider,1.08%,52.26%,"5,122"
9,Skywrath Mage,1.04%,45.62%,"29,586"
10,Bloodseeker,1.04%,44.85%,"19,315"
11,Weaver,0.94%,47.57%,"22,535"
12,Venomancer,0.86%,46.24%,"24,497"
13,Queen of Pain,0.83%,49.47%,"25,407"
14,Crystal Maiden,0.82%,46.22%,"40,884"
15,Nature's Prophet,0.81%,54.22%,"20,511"
16,Mars,0.77%,49.33%,"31,221"
17,Riki,0.74%,43.63%,"26,848"
18,Windranger,0.69%,45.80%,"52,203"
19,Morphling,0.66%,47.84%,"28,141"
20,Void Spirit,0.53%,49.37%,"17,168"
21,Shadow Demon,0.52%,49.18%,"9,038"
22,Templar Assassin,0.51%,47.84%,"27,231"
23,Undying,0.47%,46.71%,"17,423"
24,Chaos Knight,0.46%,43.86%,"24,090"
25,Ember Spirit,0.42%,50.86%,"22,938"
26,Tinker,0.41%,46.98%,"23,966"
27,Viper,0.41%,48.41%,"38,432"
28,Slardar,0.41%,46.64%,"25,439"
29,Legion Commander,0.40%,47.07%,"43,995"
30,Shadow Shaman,0.33%,45.47%,"47,336"
31,Clinkz,0.30%,44.50%,"15,919"
32,Pangolier,0.29%,49.71%,"14,097"
33,Anti-Mage,0.27%,47.35%,"39,675"
34,Doom,0.26%,50.97%,"18,779"
35,Tusk,0.22%,51.48%,"16,268"
36,Earthshaker,0.19%,49.46%,"30,905"
37,Necrophos,0.19%,44.07%,"23,487"
38,Ogre Magi,0.18%,44.44%,"59,604"
39,Bounty Hunter,0.15%,47.41%,"26,361"
40,Silencer,0.14%,44.02%,"32,519"
41,Enigma,0.14%,43.28%,"15,006"
42,Sven,0.14%,49.95%,"20,944"
43,Alchemist,0.13%,51.00%,"11,661"
44,Pudge,0.12%,47.06%,"87,626"
45,Ancient Apparition,0.12%,43.00%,"38,620"
46,Axe,0.10%,45.53%,"50,246"
47,Drow Ranger,0.10%,44.81%,"41,010"
48,Techies,0.09%,48.60%,"32,210"
49,Luna,0.06%,44.93%,"37,746"
50,Warlock,0.04%,45.68%,"19,069"
51,Shadow Fiend,0.03%,49.34%,"47,005"
52,Witch Doctor,0.02%,48.23%,"45,296"
53,Spirit Breaker,0.00%,46.75%,"27,926"
54,Magnus,-0.11%,49.50%,"22,603"
55,Night Stalker,-0.11%,46.95%,"10,869"
56,Gyrocopter,-0.14%,48.96%,"17,991"
57,Jakiro,-0.14%,46.07%,"25,000"
58,Centaur Warrunner,-0.15%,45.83%,"23,869"
59,Mirana,-0.15%,46.03%,"42,826"
60,Lifestealer,-0.18%,46.67%,"29,420"
61,Elder Titan,-0.18%,46.11%,"7,003"
62,Disruptor,-0.19%,47.72%,"24,233"
63,Puck,-0.19%,48.53%,"30,991"
64,Dark Willow,-0.20%,46.91%,"23,588"
65,Medusa,-0.22%,45.19%,"31,490"
66,Outworld Destroyer,-0.25%,47.55%,"19,953"
67,Enchantress,-0.34%,52.16%,"13,349"
68,Bristleback,-0.34%,46.03%,"45,614"
69,Sand King,-0.35%,44.49%,"28,906"
70,Phoenix,-0.35%,51.06%,"14,179"
71,Lina,-0.37%,50.48%,"43,548"
72,Dazzle,-0.37%,44.63%,"31,524"
73,Arc Warden,-0.38%,44.90%,"11,142"
74,Razor,-0.40%,47.49%,"15,770"
75,Vengeful Spirit,-0.41%,47.40%,"17,395"
76,Earth Spirit,-0.44%,50.78%,"11,844"
77,Tiny,-0.46%,53.70%,"21,618"
78,Grimstroke,-0.51%,48.01%,"30,689"
79,Monkey King,-0.53%,50.82%,"29,255"
80,Troll Warlord,-0.54%,49.53%,"16,804"
81,Ursa,-0.54%,47.82%,"35,902"
82,Lion,-0.55%,48.24%,"86,020"
83,Oracle,-0.56%,50.67%,"11,049"
84,Dragon Knight,-0.57%,46.80%,"31,608"
85,Death Prophet,-0.58%,51.84%,"10,351"
86,Pugna,-0.60%,49.98%,"14,785"
87,Slark,-0.60%,47.42%,"43,343"
88,Snapfire,-0.63%,51.63%,"25,476"
89,Winter Wyvern,-0.66%,45.09%,"32,242"
90,Treant Protector,-0.68%,45.67%,"20,428"
91,Zeus,-0.72%,46.31%,"36,438"
92,Underlord,-0.74%,42.95%,"15,900"
93,Brewmaster,-0.75%,47.89%,"4,454"
94,Nyx Assassin,-0.77%,45.89%,"21,283"
95,Timbersaw,-0.77%,50.41%,"24,235"
96,Lich,-0.78%,48.99%,"25,250"
97,Dawnbreaker,-0.79%,48.39%,"20,087"
98,Meepo,-0.81%,43.21%,"8,090"
99,Leshrac,-0.81%,50.82%,"14,553"
100,Tidehunter,-0.81%,48.32%,"24,005"
