,counter_hero,disadv,certain_win,num_match
0,Batrider,2.68%,52.50%,"8,868"
1,Lifestealer,2.55%,45.66%,"56,940"
2,Death Prophet,2.10%,50.96%,"19,033"
3,Juggernaut,2.08%,46.26%,"117,935"
4,Timbersaw,1.72%,49.74%,"48,141"
5,Winter Wyvern,1.55%,44.54%,"55,611"
6,Huskar,1.53%,45.90%,"43,132"
7,Sniper,1.47%,47.92%,"98,045"
8,Venomancer,1.31%,47.49%,"43,257"
9,Monkey King,1.30%,50.83%,"58,319"
10,Undying,1.30%,47.57%,"30,484"
11,Keeper of the Light,1.21%,50.57%,"22,615"
12,Ember Spirit,1.15%,51.97%,"43,754"
13,Slardar,1.15%,47.60%,"47,799"
14,Outworld Destroyer,1.13%,47.87%,"38,802"
15,Alchemist,0.99%,51.97%,"21,698"
16,Bristleback,0.98%,46.42%,"89,527"
17,Weaver,0.96%,49.29%,"40,184"
18,Elder Titan,0.92%,46.66%,"11,301"
19,Silencer,0.83%,44.95%,"60,631"
20,Bounty Hunter,0.78%,48.50%,"49,254"
21,Phoenix,0.75%,51.76%,"24,847"
22,Faceless Void,0.73%,49.05%,"79,568"
23,Treant Protector,0.72%,45.90%,"36,008"
24,Necrophos,0.68%,45.17%,"44,924"
25,Shadow Fiend,0.68%,50.50%,"89,519"
26,Pangolier,0.68%,51.11%,"25,533"
27,Underlord,0.67%,43.06%,"29,873"
28,Bloodseeker,0.66%,46.87%,"35,414"
29,Ogre Magi,0.61%,45.65%,"106,884"
30,Razor,0.60%,48.18%,"29,923"
31,Jakiro,0.57%,47.03%,"44,579"
32,Ancient Apparition,0.56%,44.13%,"68,968"
33,Dragon Knight,0.54%,47.40%,"58,747"
34,Phantom Assassin,0.52%,51.51%,"92,448"
35,Nature's Prophet,0.51%,56.50%,"36,393"
36,Gyrocopter,0.46%,50.13%,"33,075"
37,Doom,0.46%,52.61%,"35,620"
38,Grimstroke,0.45%,48.79%,"54,707"
39,Tinker,0.41%,48.68%,"44,435"
40,Sven,0.40%,51.49%,"38,384"
41,Enchantress,0.38%,53.29%,"22,187"
42,Windranger,0.38%,47.76%,"99,096"
43,Dark Willow,0.35%,48.04%,"41,244"
44,Dazzle,0.33%,45.56%,"54,528"
45,Pugna,0.32%,50.85%,"25,909"
46,Invoker,0.31%,49.33%,"118,057"
47,Techies,0.28%,50.17%,"56,505"
48,Drow Ranger,0.27%,46.27%,"70,996"
49,Morphling,0.25%,49.99%,"48,032"
