,counter_hero,disadv,certain_win,num_match
0,Troll Warlord,3.19%,48.39%,"72,867"
1,Oracle,3.03%,49.73%,"35,423"
2,Winter Wyvern,2.90%,43.73%,"102,520"
3,Lone Druid,2.63%,52.21%,"15,880"
4,Dawnbreaker,2.52%,47.55%,"71,789"
5,Omniknight,2.42%,44.35%,"27,295"
6,Monkey King,2.32%,50.82%,"113,552"
7,Tiny,2.20%,54.17%,"76,417"
8,Meepo,1.94%,42.25%,"28,738"
9,Tusk,1.78%,52.90%,"61,017"
10,Lifestealer,1.77%,47.12%,"107,923"
11,Mars,1.77%,51.12%,"116,113"
12,Shadow Demon,1.73%,50.69%,"32,327"
13,Io,1.64%,54.05%,"20,513"
14,Ursa,1.63%,48.18%,"139,492"
15,Spirit Breaker,1.61%,47.57%,"101,472"
16,Luna,1.54%,45.71%,"131,082"
17,Kunkka,1.49%,49.36%,"85,774"
18,Magnus,1.43%,50.68%,"78,961"
19,Dragon Knight,1.42%,47.22%,"110,786"
20,Sven,1.39%,51.49%,"74,631"
21,Pangolier,1.38%,51.39%,"49,160"
22,Earthshaker,1.32%,51.09%,"108,638"
23,Lich,1.32%,49.51%,"85,280"
24,Medusa,1.21%,46.00%,"114,101"
25,Lion,1.19%,49.24%,"280,244"
26,Templar Assassin,1.17%,49.79%,"96,958"
27,Morphling,1.15%,49.97%,"95,121"
28,Bane,1.14%,50.37%,"22,778"
29,Phantom Assassin,1.14%,51.93%,"179,769"
30,Pugna,1.14%,50.98%,"53,348"
31,Wraith King,1.10%,45.24%,"169,815"
32,Alchemist,0.99%,53.11%,"44,365"
33,Snapfire,0.99%,52.92%,"83,832"
34,Vengeful Spirit,0.91%,48.55%,"56,600"
35,Dazzle,0.88%,45.60%,"100,811"
36,Pudge,0.82%,48.92%,"296,878"
37,Treant Protector,0.76%,46.49%,"69,345"
38,Gyrocopter,0.73%,50.77%,"62,094"
39,Beastmaster,0.72%,56.31%,"10,482"
40,Chen,0.70%,55.18%,"6,294"
41,Outworld Destroyer,0.69%,49.11%,"78,571"
42,Axe,0.65%,47.33%,"200,725"
43,Slardar,0.61%,48.91%,"94,348"
44,Clockwerk,0.60%,50.11%,"56,721"
45,Witch Doctor,0.54%,50.35%,"152,818"
46,Lycan,0.51%,55.07%,"11,281"
47,Spectre,0.50%,45.67%,"132,583"
