,counter_hero,disadv,certain_win,num_match
0,Sniper,2.65%,45.08%,"53,691"
1,Drow Ranger,2.19%,42.77%,"43,315"
2,Razor,1.91%,45.15%,"19,552"
3,Sven,1.76%,48.33%,"22,114"
4,Undying,1.60%,45.56%,"18,527"
5,Nyx Assassin,1.57%,43.54%,"26,332"
6,Clinkz,1.47%,43.30%,"17,318"
7,Lina,1.39%,48.80%,"53,006"
8,Gyrocopter,1.36%,47.46%,"21,131"
9,Lifestealer,1.28%,45.22%,"34,412"
10,Windranger,1.28%,45.21%,"62,568"
11,Venomancer,1.28%,45.80%,"28,229"
12,Queen of Pain,1.21%,49.08%,"30,027"
13,Luna,1.17%,43.82%,"44,585"
14,Juggernaut,1.10%,45.47%,"72,015"
15,Silencer,1.03%,43.11%,"36,121"
16,Zeus,1.01%,44.59%,"40,540"
17,Ursa,1.00%,46.31%,"41,708"
18,Anti-Mage,1.00%,46.63%,"46,700"
19,Bristleback,0.97%,44.74%,"53,390"
20,Ancient Apparition,0.97%,42.13%,"45,645"
21,Weaver,0.95%,47.54%,"22,951"
22,Outworld Destroyer,0.87%,46.40%,"24,998"
23,Clockwerk,0.84%,47.25%,"20,689"
24,Keeper of the Light,0.81%,49.18%,"14,553"
25,Disruptor,0.79%,46.73%,"28,970"
26,Legion Commander,0.75%,46.71%,"48,991"
27,Viper,0.74%,48.08%,"41,234"
28,Ogre Magi,0.70%,43.90%,"65,461"
29,Medusa,0.70%,44.25%,"35,533"
30,Bloodseeker,0.69%,45.16%,"19,745"
31,Shadow Shaman,0.64%,45.13%,"52,535"
32,Hoodwink,0.62%,45.64%,"45,841"
33,Elder Titan,0.55%,45.33%,"7,791"
34,Mirana,0.53%,45.33%,"51,329"
35,Bane,0.49%,48.36%,"7,973"
36,Skywrath Mage,0.42%,46.19%,"33,027"
37,Invoker,0.42%,47.48%,"70,910"
38,Ember Spirit,0.39%,50.88%,"30,774"
39,Faceless Void,0.31%,47.71%,"46,678"
40,Dawnbreaker,0.28%,47.30%,"24,054"
41,Monkey King,0.24%,50.06%,"31,583"
42,Lion,0.18%,47.58%,"93,562"
43,Phoenix,0.16%,50.54%,"18,060"
44,Rubick,0.15%,51.81%,"49,669"
45,Snapfire,0.11%,50.89%,"30,876"
46,Pugna,0.11%,49.26%,"20,035"
47,Dragon Knight,0.09%,46.13%,"38,552"
48,Slardar,0.09%,46.92%,"28,418"
49,Jakiro,0.08%,45.82%,"29,754"
50,Templar Assassin,0.08%,48.23%,"34,768"
51,Kunkka,0.06%,48.18%,"25,677"
52,Phantom Assassin,0.06%,50.15%,"53,696"
53,Night Stalker,0.00%,46.81%,"13,344"
54,Techies,-0.01%,48.68%,"33,091"
55,Morphling,-0.05%,48.51%,"30,734"
56,Witch Doctor,-0.07%,48.30%,"47,640"
57,Visage,-0.07%,46.67%,"4,035"
58,Crystal Maiden,-0.12%,47.09%,"44,037"
59,Pangolier,-0.12%,50.11%,"18,233"
60,Tinker,-0.17%,47.53%,"26,776"
61,Huskar,-0.18%,45.93%,"22,454"
62,Arc Warden,-0.22%,44.70%,"12,598"
63,Spectre,-0.22%,44.17%,"45,165"
64,Nature's Prophet,-0.23%,55.28%,"20,910"
65,Shadow Fiend,-0.26%,49.60%,"54,733"
66,Centaur Warrunner,-0.26%,45.90%,"28,213"
67,Lycan,-0.29%,52.80%,"3,807"
68,Puck,-0.30%,48.60%,"43,315"
69,Pudge,-0.31%,47.41%,"96,662"
70,Lone Druid,-0.32%,52.27%,"4,875"
71,Tusk,-0.32%,52.02%,"19,885"
72,Lich,-0.34%,48.54%,"28,371"
73,Winter Wyvern,-0.34%,44.73%,"42,088"
74,Underlord,-0.35%,42.49%,"19,892"
75,Doom,-0.36%,51.58%,"26,281"
76,Dazzle,-0.38%,44.60%,"33,783"
77,Shadow Demon,-0.40%,50.10%,"11,482"
78,Oracle,-0.40%,50.50%,"14,181"
79,Alchemist,-0.47%,51.59%,"12,114"
80,Chen,-0.53%,53.37%,"2,402"
81,Mars,-0.55%,50.58%,"40,872"
82,Bounty Hunter,-0.57%,48.09%,"32,088"
83,Magnus,-0.58%,49.94%,"29,309"
84,Enigma,-0.60%,43.97%,"16,522"
85,Earthshaker,-0.64%,50.25%,"36,135"
86,Brewmaster,-0.65%,47.75%,"5,679"
87,Tiny,-0.66%,53.91%,"28,196"
88,Troll Warlord,-0.67%,49.65%,"17,445"
89,Tidehunter,-0.69%,48.17%,"27,937"
90,Batrider,-0.69%,54.09%,"6,467"
91,Terrorblade,-0.70%,50.21%,"20,896"
92,Omniknight,-0.70%,45.33%,"9,683"
93,Warlock,-0.74%,46.41%,"22,478"
94,Enchantress,-0.74%,52.57%,"16,096"
95,Riki,-0.78%,45.08%,"29,710"
96,Death Prophet,-0.78%,52.05%,"12,468"
97,Vengeful Spirit,-0.80%,47.76%,"19,131"
98,Abaddon,-0.87%,45.34%,"19,072"
99,Spirit Breaker,-0.90%,47.60%,"31,174"
100,Grimstroke,-0.94%,48.40%,"37,797"
101,Storm Spirit,-1.04%,51.34%,"34,788"
102,Beastmaster,-1.10%,54.97%,"3,675"
103,Sand King,-1.11%,45.18%,"36,363"
104,Earth Spirit,-1.20%,51.53%,"15,330"
105,Timbersaw,-1.29%,50.91%,"30,930"
106,Necrophos,-1.30%,45.49%,"26,696"
107,Treant Protector,-1.32%,46.25%,"24,143"
108,Io,-1.34%,54.05%,"7,308"
109,Dark Willow,-1.35%,48.00%,"29,253"
110,Void Spirit,-1.52%,51.40%,"21,730"
111,Wraith King,-1.62%,45.67%,"49,569"
112,Broodmother,-2.02%,48.78%,"10,391"
113,Axe,-2.06%,47.53%,"60,546"
114,Slark,-2.62%,49.33%,"48,823"
115,Chaos Knight,-2.78%,47.01%,"26,985"
116,Dark Seer,-3.00%,45.05%,"13,496"
117,Phantom Lancer,-5.99%,52.21%,"49,434"
118,Naga Siren,-7.59%,53.32%,"9,265"
119,Meepo,-8.52%,50.99%,"7,651"
