,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,1.74%,47.65%,"76,244"
1,Weaver,1.67%,48.60%,"42,334"
2,Phoenix,1.50%,51.04%,"27,631"
3,Bristleback,1.31%,46.12%,"96,399"
4,Tinker,1.14%,47.98%,"47,555"
5,Shadow Demon,0.99%,50.52%,"16,924"
6,Pugna,0.98%,50.20%,"27,942"
7,Puck,0.98%,49.15%,"59,732"
8,Pangolier,0.97%,50.85%,"27,449"
9,Lone Druid,0.93%,52.89%,"8,136"
10,Dark Willow,0.84%,47.57%,"46,489"
11,Visage,0.83%,47.49%,"5,972"
12,Keeper of the Light,0.82%,51.00%,"25,249"
13,Faceless Void,0.82%,48.99%,"80,301"
14,Timbersaw,0.81%,50.67%,"48,559"
15,Mirana,0.79%,46.79%,"79,009"
16,Spectre,0.75%,44.87%,"71,297"
17,Oracle,0.74%,51.20%,"22,868"
18,Brewmaster,0.70%,48.13%,"8,598"
19,Void Spirit,0.70%,51.03%,"33,580"
20,Morphling,0.67%,49.60%,"54,525"
21,Death Prophet,0.67%,52.46%,"19,786"
22,Broodmother,0.65%,47.83%,"14,766"
23,Sand King,0.65%,45.11%,"57,643"
24,Centaur Warrunner,0.64%,46.71%,"48,309"
25,Doom,0.61%,52.49%,"36,242"
26,Clinkz,0.60%,45.83%,"30,043"
27,Zeus,0.59%,46.70%,"66,814"
28,Techies,0.59%,49.89%,"58,408"
29,Enchantress,0.55%,53.17%,"24,226"
30,Queen of Pain,0.54%,51.59%,"47,721"
31,Nature's Prophet,0.50%,56.55%,"35,521"
32,Invoker,0.49%,49.19%,"116,143"
33,Outworld Destroyer,0.44%,48.58%,"38,204"
34,Slark,0.43%,48.15%,"84,870"
35,Ancient Apparition,0.43%,44.26%,"78,046"
36,Undying,0.42%,48.48%,"33,186"
37,Leshrac,0.39%,51.46%,"28,372"
38,Riki,0.39%,45.60%,"48,668"
39,Sniper,0.37%,48.99%,"97,730"
40,Dark Seer,0.36%,43.27%,"20,588"
41,Shadow Shaman,0.36%,47.10%,"99,349"
42,Juggernaut,0.32%,47.92%,"121,560"
43,Witch Doctor,0.31%,49.72%,"93,847"
44,Bane,0.28%,50.39%,"13,507"
45,Hoodwink,0.28%,47.70%,"70,901"
46,Grimstroke,0.25%,49.00%,"62,869"
47,Viper,0.25%,50.36%,"69,970"
48,Windranger,0.21%,47.94%,"100,513"
49,Enigma,0.18%,44.81%,"28,840"
50,Venomancer,0.18%,48.64%,"45,564"
51,Shadow Fiend,0.16%,51.03%,"92,141"
52,Silencer,0.15%,45.62%,"63,143"
53,Ember Spirit,0.13%,53.03%,"44,628"
54,Bloodseeker,0.13%,47.43%,"35,703"
55,Nyx Assassin,0.07%,46.71%,"39,419"
56,Lycan,0.04%,54.38%,"6,204"
57,Jakiro,0.04%,47.56%,"52,742"
58,Wraith King,0.04%,45.75%,"85,218"
59,Snapfire,0.01%,52.88%,"50,160"
60,Bounty Hunter,0.00%,49.30%,"49,142"
61,Templar Assassin,-0.01%,50.12%,"53,323"
62,Disruptor,-0.06%,49.33%,"50,182"
63,Kunkka,-0.09%,50.12%,"44,010"
64,Razor,-0.09%,48.91%,"30,536"
65,Clockwerk,-0.14%,50.01%,"32,182"
66,Troll Warlord,-0.15%,50.95%,"32,442"
67,Earth Spirit,-0.19%,52.38%,"22,767"
68,Lion,-0.19%,49.68%,"156,628"
69,Pudge,-0.21%,49.07%,"168,717"
70,Phantom Lancer,-0.23%,48.43%,"54,712"
71,Rubick,-0.24%,54.11%,"82,034"
72,Skywrath Mage,-0.25%,48.58%,"57,645"
73,Gyrocopter,-0.26%,50.88%,"34,797"
74,Medusa,-0.27%,46.88%,"60,925"
75,Tiny,-0.28%,55.49%,"41,593"
76,Lina,-0.29%,52.25%,"88,118"
77,Warlock,-0.29%,47.67%,"39,363"
78,Crystal Maiden,-0.30%,49.02%,"83,800"
79,Drow Ranger,-0.33%,46.87%,"76,150"
80,Earthshaker,-0.36%,51.82%,"58,661"
81,Ogre Magi,-0.36%,46.57%,"118,117"
82,Io,-0.40%,55.05%,"12,328"
83,Ursa,-0.41%,49.43%,"71,746"
84,Phantom Assassin,-0.41%,52.43%,"97,805"
85,Alchemist,-0.41%,53.43%,"21,660"
86,Elder Titan,-0.45%,48.08%,"12,255"
87,Night Stalker,-0.47%,49.04%,"20,491"
88,Magnus,-0.47%,51.68%,"44,276"
89,Arc Warden,-0.50%,46.65%,"21,366"
90,Storm Spirit,-0.51%,52.70%,"55,049"
91,Tidehunter,-0.56%,49.82%,"46,412"
92,Beastmaster,-0.60%,56.42%,"5,794"
93,Treant Protector,-0.62%,47.26%,"38,701"
94,Sven,-0.64%,52.57%,"39,963"
95,Luna,-0.66%,47.27%,"72,248"
96,Underlord,-0.66%,44.41%,"31,469"
97,Dragon Knight,-0.68%,48.61%,"61,152"
98,Dazzle,-0.71%,46.58%,"65,348"
99,Mars,-0.73%,52.63%,"63,516"
100,Axe,-0.79%,48.06%,"97,821"
101,Batrider,-0.79%,56.14%,"9,306"
102,Winter Wyvern,-0.90%,46.96%,"63,496"
103,Abaddon,-0.93%,47.09%,"30,961"
104,Slardar,-0.95%,49.71%,"48,565"
105,Necrophos,-1.06%,46.94%,"43,650"
106,Huskar,-1.08%,48.54%,"41,878"
107,Dawnbreaker,-1.11%,50.47%,"40,242"
108,Vengeful Spirit,-1.14%,49.86%,"33,810"
109,Chen,-1.20%,56.01%,"3,655"
