,counter_hero,disadv,certain_win,num_match
0,Enigma,3.84%,42.82%,"34,164"
1,Razor,3.37%,47.17%,"40,695"
2,Nature's Prophet,3.31%,55.62%,"42,329"
3,Windranger,2.89%,47.14%,"116,482"
4,Bane,2.75%,49.66%,"14,614"
5,Broodmother,2.34%,47.88%,"17,016"
6,Faceless Void,2.28%,49.38%,"101,375"
7,Templar Assassin,2.28%,49.66%,"67,783"
8,Morphling,2.24%,49.86%,"67,226"
9,Beastmaster,2.10%,55.54%,"6,999"
10,Ursa,2.06%,48.82%,"93,954"
11,Terrorblade,1.91%,51.26%,"38,800"
12,Slark,1.89%,48.54%,"109,829"
13,Skywrath Mage,1.86%,48.28%,"72,520"
14,Slardar,1.86%,48.70%,"59,330"
15,Death Prophet,1.76%,53.21%,"23,209"
16,Spirit Breaker,1.67%,48.59%,"62,656"
17,Phantom Assassin,1.62%,52.35%,"125,602"
18,Troll Warlord,1.61%,51.01%,"42,575"
19,Shadow Demon,1.61%,51.72%,"19,766"
20,Meepo,1.55%,44.06%,"18,387"
21,Ancient Apparition,1.48%,44.97%,"85,590"
22,Lich,1.45%,50.37%,"55,512"
23,Bristleback,1.45%,47.76%,"115,798"
24,Night Stalker,1.43%,48.89%,"24,829"
25,Winter Wyvern,1.40%,46.44%,"68,406"
26,Magnus,1.40%,51.65%,"53,721"
27,Riki,1.37%,46.36%,"59,931"
28,Treant Protector,1.34%,47.05%,"47,035"
29,Medusa,1.32%,47.07%,"74,168"
30,Queen of Pain,1.28%,52.71%,"57,034"
31,Weaver,1.28%,50.82%,"50,711"
32,Enchantress,1.26%,54.33%,"28,523"
33,Storm Spirit,1.20%,52.85%,"63,825"
34,Shadow Shaman,1.18%,48.09%,"109,548"
35,Necrophos,1.10%,46.52%,"54,850"
36,Monkey King,1.08%,52.95%,"71,770"
37,Lina,1.06%,52.81%,"103,786"
38,Luna,1.06%,47.35%,"93,748"
39,Vengeful Spirit,1.04%,49.46%,"38,272"
40,Visage,0.89%,49.21%,"7,490"
41,Io,0.88%,55.61%,"13,853"
42,Omniknight,0.77%,47.28%,"17,800"
43,Tusk,0.73%,54.74%,"37,166"
44,Clinkz,0.72%,47.46%,"37,390"
45,Chaos Knight,0.72%,46.97%,"55,236"
46,Dark Seer,0.65%,44.70%,"23,864"
47,Drow Ranger,0.60%,47.73%,"98,548"
48,Hoodwink,0.60%,49.17%,"79,948"
49,Void Spirit,0.48%,53.10%,"39,629"
50,Anti-Mage,0.44%,50.73%,"90,384"
51,Pugna,0.37%,52.68%,"33,361"
52,Lion,0.37%,50.99%,"202,599"
53,Keeper of the Light,0.37%,53.33%,"29,420"
54,Pangolier,0.31%,53.38%,"31,582"
55,Doom,0.29%,54.69%,"42,102"
56,Bounty Hunter,0.26%,50.85%,"57,065"
57,Mirana,0.13%,49.22%,"89,763"
58,Dazzle,0.07%,47.58%,"67,859"
59,Clockwerk,0.04%,51.66%,"39,198"
60,Dragon Knight,0.03%,49.71%,"74,439"
61,Witch Doctor,0.02%,51.83%,"100,421"
62,Sven,-0.02%,53.83%,"50,467"
63,Sniper,-0.03%,51.20%,"117,352"
64,Grimstroke,-0.13%,51.20%,"71,681"
65,Crystal Maiden,-0.23%,50.77%,"93,225"
66,Juggernaut,-0.23%,50.23%,"155,093"
67,Rubick,-0.25%,56.01%,"89,717"
68,Timbersaw,-0.25%,53.60%,"59,051"
69,Disruptor,-0.31%,51.41%,"61,270"
70,Chen,-0.32%,56.99%,"4,290"
71,Arc Warden,-0.34%,48.25%,"27,120"
72,Lycan,-0.36%,56.71%,"7,478"
73,Naga Siren,-0.39%,49.55%,"17,531"
74,Dark Willow,-0.43%,50.66%,"55,333"
75,Snapfire,-0.44%,55.21%,"57,856"
76,Phantom Lancer,-0.54%,50.54%,"68,018"
77,Invoker,-0.60%,52.04%,"150,072"
78,Pudge,-0.64%,51.27%,"214,250"
79,Ogre Magi,-0.71%,48.66%,"143,616"
80,Oracle,-0.72%,54.54%,"24,822"
81,Huskar,-0.77%,50.01%,"53,615"
82,Warlock,-0.77%,49.96%,"42,194"
83,Earthshaker,-0.78%,54.11%,"75,830"
84,Puck,-0.81%,52.75%,"72,372"
85,Tinker,-0.88%,51.83%,"57,236"
86,Dawnbreaker,-0.91%,52.10%,"49,018"
87,Silencer,-0.96%,48.48%,"74,488"
88,Earth Spirit,-0.98%,55.08%,"28,460"
89,Abaddon,-1.00%,48.93%,"37,521"
90,Leshrac,-1.04%,54.78%,"34,412"
91,Phoenix,-1.09%,55.63%,"38,859"
92,Shadow Fiend,-1.12%,54.12%,"120,647"
93,Batrider,-1.20%,58.48%,"11,155"
94,Lone Druid,-1.20%,57.03%,"10,577"
95,Outworld Destroyer,-1.23%,52.08%,"46,935"
96,Mars,-1.23%,55.01%,"79,258"
97,Wraith King,-1.25%,48.76%,"111,355"
98,Techies,-1.25%,53.60%,"101,620"
99,Brewmaster,-1.27%,51.99%,"9,802"
100,Viper,-1.29%,53.72%,"87,173"
101,Tidehunter,-1.52%,52.62%,"55,048"
102,Sand King,-1.56%,49.07%,"71,794"
103,Tiny,-1.61%,58.80%,"54,886"
104,Undying,-1.63%,52.39%,"39,976"
105,Alchemist,-1.68%,56.65%,"27,740"
106,Jakiro,-1.80%,51.22%,"59,969"
107,Venomancer,-1.81%,52.46%,"60,537"
108,Axe,-1.91%,50.91%,"132,324"
109,Legion Commander,-1.93%,52.88%,"107,921"
110,Gyrocopter,-1.95%,54.46%,"43,046"
111,Nyx Assassin,-2.01%,50.59%,"52,385"
112,Zeus,-2.14%,51.18%,"84,228"
113,Bloodseeker,-2.21%,51.60%,"44,426"
114,Ember Spirit,-2.31%,57.36%,"51,160"
115,Elder Titan,-2.37%,51.87%,"14,726"
116,Kunkka,-2.44%,54.34%,"56,936"
117,Centaur Warrunner,-2.48%,51.64%,"63,384"
118,Underlord,-2.65%,48.17%,"38,860"
119,Spectre,-3.02%,50.32%,"99,375"
