,counter_hero,disadv,certain_win,num_match
0,Phantom Assassin,1.58%,48.50%,"180,494"
1,Sniper,1.17%,46.04%,"185,689"
2,Axe,0.97%,44.04%,"182,337"
3,Rubick,0.91%,51.13%,"149,079"
4,Drow Ranger,0.89%,43.29%,"142,044"
5,Templar Assassin,0.84%,47.12%,"103,795"
6,Beastmaster,0.77%,53.28%,"10,831"
7,Centaur Warrunner,0.75%,44.28%,"84,153"
8,Mars,0.69%,49.22%,"111,831"
9,Razor,0.67%,45.90%,"57,597"
10,Techies,0.64%,47.74%,"114,894"
11,Spectre,0.62%,42.57%,"131,731"
12,Tinker,0.62%,46.29%,"86,831"
13,Tusk,0.62%,51.09%,"57,708"
14,Zeus,0.62%,44.33%,"132,416"
15,Sven,0.61%,49.31%,"71,045"
16,Nature's Prophet,0.59%,54.83%,"67,751"
17,Tiny,0.58%,52.87%,"77,741"
18,Tidehunter,0.57%,46.50%,"81,822"
19,Windranger,0.57%,45.33%,"193,218"
20,Pugna,0.49%,48.66%,"53,460"
21,Lycan,0.36%,52.24%,"11,316"
22,Gyrocopter,0.36%,48.17%,"63,095"
23,Bane,0.34%,48.24%,"23,979"
24,Batrider,0.32%,53.22%,"16,564"
25,Keeper of the Light,0.32%,49.51%,"43,548"
26,Ember Spirit,0.31%,50.95%,"84,245"
27,Weaver,0.30%,47.87%,"76,946"
28,Riki,0.27%,43.28%,"92,328"
29,Winter Wyvern,0.25%,43.41%,"115,201"
30,Earthshaker,0.23%,49.21%,"106,666"
31,Faceless Void,0.23%,47.43%,"147,427"
32,Spirit Breaker,0.22%,46.00%,"99,674"
33,Vengeful Spirit,0.22%,46.27%,"59,443"
34,Io,0.21%,52.62%,"21,891"
35,Clinkz,0.19%,43.84%,"57,832"
36,Clockwerk,0.17%,47.57%,"58,116"
37,Medusa,0.16%,44.10%,"112,565"
38,Lich,0.12%,47.75%,"88,120"
39,Witch Doctor,0.06%,47.85%,"155,811"
40,Void Spirit,0.04%,49.70%,"61,929"
41,Luna,0.03%,44.24%,"133,225"
42,Mirana,0.03%,45.25%,"145,071"
43,Ogre Magi,0.02%,43.84%,"207,762"
44,Arc Warden,-0.01%,43.74%,"40,625"
45,Shadow Demon,-0.03%,49.55%,"31,464"
46,Pudge,-0.03%,46.73%,"300,810"
47,Kunkka,-0.05%,47.96%,"81,199"
48,Bloodseeker,-0.09%,45.35%,"66,254"
49,Storm Spirit,-0.10%,50.33%,"105,559"
50,Alchemist,-0.10%,51.21%,"39,153"
51,Skywrath Mage,-0.11%,46.20%,"109,623"
52,Lion,-0.13%,47.49%,"283,038"
53,Invoker,-0.17%,47.67%,"217,113"
54,Dragon Knight,-0.19%,45.88%,"109,624"
55,Visage,-0.20%,46.28%,"12,137"
56,Legion Commander,-0.21%,47.22%,"155,163"
57,Slardar,-0.21%,46.78%,"87,724"
58,Lone Druid,-0.22%,52.25%,"15,293"
59,Monkey King,-0.24%,50.43%,"104,155"
60,Bristleback,-0.24%,45.32%,"170,156"
61,Wraith King,-0.25%,43.63%,"156,740"
