,counter_hero,disadv,certain_win,num_match
0,Rubick,1.82%,52.77%,"299,471"
1,Nature's Prophet,1.71%,56.15%,"130,744"
2,Gyrocopter,1.59%,49.39%,"173,674"
3,Beastmaster,1.34%,47.97%,"35,997"
4,Pugna,1.32%,51.04%,"95,061"
5,Death Prophet,1.26%,52.68%,"51,037"
6,Io,1.23%,51.06%,"44,748"
7,Chen,1.22%,49.89%,"17,531"
8,Batrider,1.14%,52.69%,"37,584"
9,Ember Spirit,1.13%,52.45%,"141,206"
10,Doom,1.11%,53.02%,"99,233"
11,Tiny,1.06%,54.40%,"129,727"
12,Razor,0.93%,48.34%,"89,810"
13,Visage,0.90%,47.17%,"22,279"
14,Tidehunter,0.88%,47.71%,"171,775"
15,Mars,0.87%,51.04%,"177,887"
16,Tusk,0.84%,53.25%,"105,833"
17,Dragon Knight,0.84%,47.99%,"185,338"
18,Oracle,0.82%,50.93%,"75,973"
19,Lone Druid,0.82%,51.26%,"28,244"
20,Shadow Demon,0.80%,49.92%,"61,613"
21,Enchantress,0.77%,53.68%,"60,513"
22,Kunkka,0.74%,48.36%,"172,863"
23,Undying,0.73%,48.81%,"145,387"
24,Lycan,0.66%,46.21%,"56,501"
25,Viper,0.65%,50.30%,"223,462"
26,Keeper of the Light,0.64%,50.56%,"159,421"
27,Drow Ranger,0.63%,47.06%,"263,869"
28,Snapfire,0.62%,52.70%,"113,163"
29,Alchemist,0.62%,52.61%,"70,813"
30,Terrorblade,0.49%,52.44%,"81,436"
31,Invoker,0.40%,49.70%,"436,692"
32,Earth Spirit,0.38%,51.14%,"79,858"
33,Phantom Assassin,0.37%,51.85%,"333,818"
34,Clockwerk,0.35%,49.21%,"96,238"
35,Outworld Destroyer,0.34%,48.68%,"127,292"
36,Templar Assassin,0.32%,49.53%,"185,981"
37,Lina,0.32%,51.90%,"326,221"
38,Centaur Warrunner,0.32%,46.16%,"123,416"
39,Spectre,0.31%,45.44%,"249,414"
40,Tinker,0.27%,50.48%,"215,155"
41,Monkey King,0.26%,49.73%,"231,420"
42,Pangolier,0.19%,51.15%,"116,598"
43,Venomancer,0.13%,46.74%,"166,930"
44,Hoodwink,0.12%,47.92%,"272,902"
45,Queen of Pain,0.09%,51.04%,"178,254"
46,Grimstroke,0.08%,49.00%,"199,016"
47,Pudge,0.06%,47.86%,"614,663"
48,Arc Warden,0.05%,45.61%,"78,055"
49,Spirit Breaker,0.05%,48.23%,"216,535"
50,Witch Doctor,0.04%,49.73%,"283,546"
51,Night Stalker,0.04%,46.26%,"89,075"
52,Leshrac,0.03%,51.82%,"76,376"
53,Puck,0.01%,51.32%,"164,397"
54,Axe,0.01%,46.69%,"307,248"
55,Earthshaker,0.00%,50.38%,"217,265"
56,Lich,-0.01%,49.27%,"165,546"
57,Dawnbreaker,-0.02%,48.64%,"136,140"
58,Disruptor,-0.02%,47.64%,"167,892"
59,Wraith King,-0.02%,45.70%,"233,425"
60,Phoenix,-0.02%,52.46%,"78,272"
61,Bane,-0.02%,48.15%,"57,173"
62,Sven,-0.05%,47.94%,"174,804"
63,Medusa,-0.10%,45.73%,"217,098"
64,Vengeful Spirit,-0.11%,46.10%,"159,703"
65,Clinkz,-0.12%,45.59%,"153,945"
66,Winter Wyvern,-0.12%,45.65%,"215,282"
67,Sniper,-0.14%,48.11%,"382,134"
68,Warlock,-0.17%,47.56%,"96,887"
