,counter_hero,disadv,certain_win,num_match
0,Lycan,8.55%,41.97%,"1,725"
1,Batrider,6.46%,44.91%,"2,013"
2,Naga Siren,5.14%,38.78%,"3,290"
3,Beastmaster,5.12%,46.71%,"1,488"
4,Alchemist,4.70%,44.55%,"4,729"
5,Underlord,4.64%,35.95%,"5,385"
6,Winter Wyvern,4.20%,38.65%,"10,496"
7,Death Prophet,3.88%,45.48%,"3,879"
8,Omniknight,3.48%,39.45%,"3,072"
9,Elder Titan,3.30%,40.85%,"2,551"
10,Phantom Assassin,3.08%,45.44%,"19,322"
11,Brewmaster,2.80%,42.50%,"1,774"
12,Bristleback,2.73%,41.37%,"16,948"
13,Hoodwink,2.52%,42.07%,"12,309"
14,Chaos Knight,2.46%,40.19%,"8,717"
15,Enchantress,2.42%,47.48%,"4,966"
16,Drow Ranger,2.36%,40.94%,"15,712"
17,Sven,2.29%,45.95%,"8,032"
18,Terrorblade,2.28%,45.41%,"6,230"
19,Viper,2.27%,44.79%,"13,344"
20,Razor,2.26%,43.05%,"5,977"
21,Phoenix,2.20%,46.63%,"4,703"
22,Medusa,2.12%,41.18%,"11,824"
23,Dark Willow,2.06%,42.89%,"7,796"
24,Keeper of the Light,1.99%,46.14%,"4,903"
25,Gyrocopter,1.89%,45.11%,"6,416"
26,Dazzle,1.89%,40.70%,"10,532"
27,Huskar,1.89%,42.16%,"8,631"
28,Monkey King,1.88%,46.59%,"11,030"
29,Troll Warlord,1.88%,45.28%,"6,868"
30,Slardar,1.83%,43.45%,"9,098"
31,Lifestealer,1.79%,42.97%,"10,579"
32,Luna,1.79%,41.53%,"14,319"
33,Pangolier,1.66%,46.46%,"4,920"
34,Morphling,1.62%,45.06%,"9,695"
35,Meepo,1.60%,39.11%,"3,375"
36,Crystal Maiden,1.60%,43.68%,"13,844"
37,Earthshaker,1.54%,46.28%,"10,984"
38,Windranger,1.50%,43.25%,"19,207"
39,Jakiro,1.24%,42.94%,"8,337"
40,Snapfire,1.20%,47.93%,"8,417"
41,Treant Protector,1.11%,42.14%,"6,848"
42,Clinkz,1.09%,41.97%,"6,219"
43,Templar Assassin,1.09%,45.44%,"9,695"
44,Undying,1.05%,44.33%,"6,156"
45,Bane,1.02%,45.99%,"2,631"
46,Riki,0.87%,41.77%,"9,870"
47,Chen,0.85%,50.00%,"1,072"
48,Enigma,0.83%,40.87%,"5,826"
49,Centaur Warrunner,0.80%,43.13%,"8,104"
50,Kunkka,0.68%,45.75%,"8,182"
51,Broodmother,0.65%,44.32%,"2,861"
52,Warlock,0.59%,43.35%,"6,501"
53,Lina,0.52%,47.75%,"15,293"
54,Tidehunter,0.51%,45.19%,"8,645"
55,Venomancer,0.50%,44.78%,"8,598"
56,Witch Doctor,0.50%,45.93%,"14,974"
57,Phantom Lancer,0.43%,44.28%,"10,337"
58,Leshrac,0.39%,47.73%,"4,875"
59,Sniper,0.24%,45.54%,"20,738"
60,Necrophos,0.10%,42.40%,"8,492"
61,Sand King,0.04%,42.36%,"10,144"
62,Earth Spirit,0.01%,48.42%,"4,118"
63,Bounty Hunter,-0.07%,45.79%,"9,893"
64,Invoker,-0.11%,46.15%,"20,788"
65,Dawnbreaker,-0.15%,45.92%,"7,304"
66,Arc Warden,-0.17%,42.93%,"4,603"
67,Weaver,-0.25%,46.88%,"8,514"
68,Spirit Breaker,-0.29%,45.21%,"10,497"
69,Clockwerk,-0.29%,46.55%,"5,471"
70,Tusk,-0.31%,50.06%,"5,441"
71,Pugna,-0.34%,47.84%,"5,353"
72,Rubick,-0.37%,50.39%,"13,198"
73,Nature's Prophet,-0.38%,53.33%,"8,522"
74,Shadow Fiend,-0.40%,47.86%,"17,391"
75,Queen of Pain,-0.44%,48.81%,"9,224"
76,Magnus,-0.46%,47.96%,"7,493"
77,Axe,-0.54%,44.34%,"17,885"
78,Night Stalker,-0.56%,45.59%,"3,828"
79,Outworld Destroyer,-0.56%,46.01%,"7,426"
80,Ogre Magi,-0.58%,43.36%,"20,378"
81,Dragon Knight,-0.59%,45.01%,"10,939"
82,Slark,-0.63%,45.63%,"15,163"
83,Lion,-0.69%,46.53%,"27,987"
84,Lich,-0.76%,47.12%,"8,137"
85,Wraith King,-0.77%,43.15%,"16,117"
86,Doom,-0.82%,50.11%,"6,554"
87,Juggernaut,-0.85%,45.48%,"22,802"
88,Disruptor,-0.86%,46.54%,"8,010"
89,Tiny,-1.14%,52.39%,"7,332"
90,Timbersaw,-1.22%,48.96%,"8,493"
91,Mirana,-1.27%,45.28%,"14,663"
92,Bloodseeker,-1.34%,45.40%,"7,386"
93,Void Spirit,-1.50%,49.48%,"5,974"
94,Faceless Void,-1.62%,47.69%,"15,155"
95,Silencer,-1.69%,44.03%,"11,834"
96,Vengeful Spirit,-1.72%,46.85%,"6,305"
97,Shadow Demon,-1.75%,49.55%,"3,348"
98,Ancient Apparition,-1.80%,43.08%,"12,471"
