,counter_hero,disadv,certain_win,num_match
0,Spectre,2.81%,46.12%,"126,472"
1,Rubick,2.63%,54.97%,"122,151"
2,Shadow Demon,2.51%,52.50%,"26,217"
3,Medusa,2.39%,47.57%,"105,184"
4,Broodmother,2.35%,49.49%,"24,232"
5,Bristleback,2.31%,48.51%,"139,631"
6,Meepo,2.15%,44.98%,"21,472"
7,Dark Seer,2.12%,44.61%,"34,224"
8,Phantom Lancer,2.01%,49.62%,"99,246"
9,Sand King,1.77%,47.29%,"91,441"
10,Techies,1.65%,52.33%,"86,433"
11,Sniper,1.57%,51.31%,"160,117"
12,Zeus,1.45%,49.23%,"111,096"
13,Viper,1.44%,52.72%,"112,629"
14,Terrorblade,1.41%,53.54%,"57,190"
15,Beastmaster,1.35%,58.23%,"9,557"
16,Arc Warden,1.28%,48.16%,"34,208"
17,Witch Doctor,1.26%,52.30%,"125,857"
18,Kunkka,1.25%,52.28%,"69,214"
19,Clockwerk,1.19%,52.17%,"49,540"
20,Elder Titan,1.15%,49.82%,"19,725"
21,Visage,1.10%,50.64%,"9,754"
22,Tinker,0.96%,51.63%,"71,165"
23,Batrider,0.96%,58.12%,"14,891"
24,Brewmaster,0.94%,51.35%,"13,586"
25,Snapfire,0.84%,55.71%,"77,158"
26,Ember Spirit,0.79%,56.04%,"72,480"
27,Lich,0.78%,52.73%,"72,248"
28,Nyx Assassin,0.78%,49.36%,"62,722"
29,Spirit Breaker,0.71%,51.20%,"83,866"
30,Tiny,0.71%,58.28%,"66,695"
31,Warlock,0.67%,50.10%,"56,343"
32,Underlord,0.66%,46.28%,"49,688"
33,Dark Willow,0.65%,51.21%,"69,318"
34,Slark,0.64%,51.40%,"137,078"
35,Treant Protector,0.64%,49.36%,"60,747"
36,Tidehunter,0.64%,52.11%,"70,824"
37,Magnus,0.60%,54.20%,"72,322"
38,Tusk,0.59%,56.71%,"49,794"
39,Pudge,0.57%,51.83%,"247,028"
40,Earthshaker,0.57%,54.50%,"93,449"
41,Mars,0.54%,54.99%,"95,839"
42,Clinkz,0.48%,49.30%,"47,762"
43,Invoker,0.46%,52.72%,"181,271"
44,Outworld Destroyer,0.44%,52.06%,"60,799"
45,Abaddon,0.44%,49.03%,"49,554"
46,Nature's Prophet,0.39%,60.56%,"59,822"
47,Keeper of the Light,0.38%,55.07%,"37,748"
48,Ogre Magi,0.38%,49.21%,"171,281"
49,Pugna,0.32%,54.48%,"44,622"
50,Venomancer,0.32%,51.96%,"72,495"
51,Drow Ranger,0.31%,49.61%,"130,307"
52,Io,0.30%,58.06%,"18,327"
53,Crystal Maiden,0.29%,51.91%,"115,150"
54,Sven,0.28%,55.27%,"62,837"
55,Ursa,0.27%,52.25%,"112,858"
56,Jakiro,0.26%,50.77%,"74,523"
57,Ancient Apparition,0.22%,47.75%,"113,511"
58,Enigma,0.21%,48.08%,"44,519"
59,Dawnbreaker,0.20%,52.65%,"61,460"
60,Naga Siren,0.19%,50.57%,"24,416"
61,Enchantress,0.17%,57.33%,"40,501"
62,Chen,0.16%,58.41%,"6,055"
63,Alchemist,0.16%,56.55%,"35,038"
64,Phoenix,0.15%,56.09%,"43,459"
65,Queen of Pain,0.11%,55.66%,"75,820"
66,Hoodwink,0.11%,51.30%,"112,889"
67,Huskar,0.10%,50.76%,"63,818"
68,Bounty Hunter,0.08%,52.72%,"81,441"
69,Centaur Warrunner,0.06%,50.71%,"72,602"
70,Dragon Knight,0.01%,51.38%,"98,141"
71,Oracle,0.00%,55.57%,"33,796"
72,Juggernaut,-0.04%,51.71%,"207,975"
73,Gyrocopter,-0.06%,54.27%,"58,003"
74,Faceless Void,-0.07%,53.38%,"131,081"
75,Skywrath Mage,-0.11%,51.90%,"86,903"
76,Mirana,-0.14%,51.11%,"129,857"
77,Lina,-0.16%,55.75%,"133,228"
78,Wraith King,-0.19%,49.31%,"138,733"
79,Winter Wyvern,-0.22%,49.64%,"103,576"
80,Earth Spirit,-0.24%,56.10%,"36,418"
81,Chaos Knight,-0.26%,49.54%,"75,257"
82,Disruptor,-0.27%,53.06%,"72,312"
83,Windranger,-0.29%,51.86%,"162,367"
84,Void Spirit,-0.31%,55.69%,"53,069"
85,Bloodseeker,-0.33%,51.31%,"55,801"
86,Shadow Fiend,-0.39%,55.13%,"136,387"
87,Phantom Assassin,-0.39%,56.04%,"156,196"
88,Pangolier,-0.42%,55.92%,"44,149"
89,Lion,-0.42%,53.39%,"242,358"
90,Troll Warlord,-0.43%,54.82%,"50,382"
91,Storm Spirit,-0.43%,56.27%,"85,439"
92,Monkey King,-0.45%,56.26%,"90,731"
93,Razor,-0.52%,52.84%,"49,841"
94,Timbersaw,-0.56%,55.66%,"75,212"
95,Bane,-0.57%,54.85%,"20,285"
96,Omniknight,-0.61%,50.30%,"25,733"
97,Lycan,-0.62%,58.89%,"10,236"
98,Doom,-0.63%,57.46%,"58,601"
99,Templar Assassin,-0.65%,54.31%,"83,338"
100,Weaver,-0.66%,54.51%,"66,291"
101,Leshrac,-0.67%,56.18%,"44,583"
102,Vengeful Spirit,-0.72%,52.93%,"49,210"
103,Lone Druid,-0.78%,58.47%,"14,320"
104,Morphling,-0.81%,54.64%,"82,078"
105,Dazzle,-0.89%,50.13%,"90,423"
106,Shadow Shaman,-0.91%,51.76%,"139,698"
107,Grimstroke,-0.93%,53.69%,"93,464"
108,Axe,-0.96%,51.64%,"157,927"
109,Death Prophet,-0.97%,57.87%,"31,331"
110,Lifestealer,-0.98%,52.65%,"93,751"
111,Necrophos,-1.12%,50.36%,"71,035"
112,Anti-Mage,-1.25%,54.10%,"118,078"
113,Night Stalker,-1.50%,53.61%,"32,741"
114,Riki,-1.51%,50.87%,"79,802"
115,Silencer,-1.63%,50.74%,"100,207"
116,Legion Commander,-1.64%,54.29%,"131,079"
117,Puck,-1.87%,55.55%,"98,361"
118,Slardar,-2.50%,54.80%,"78,029"
119,Undying,-2.59%,55.09%,"52,783"
