,counter_hero,disadv,certain_win,num_match
0,Naga Siren,7.42%,36.03%,"2,423"
1,Troll Warlord,3.90%,42.79%,"5,188"
2,Terrorblade,3.80%,43.41%,"4,352"
3,Phantom Lancer,2.88%,41.42%,"7,591"
4,Bristleback,2.88%,40.73%,"12,555"
5,Phoenix,2.61%,45.71%,"3,481"
6,Chaos Knight,2.31%,39.83%,"6,490"
7,Underlord,2.24%,37.82%,"4,006"
8,Slardar,2.19%,42.58%,"6,350"
9,Slark,2.18%,42.47%,"10,433"
10,Phantom Assassin,2.04%,45.88%,"13,885"
11,Jakiro,1.96%,41.74%,"6,189"
12,Morphling,1.95%,44.23%,"6,794"
13,Enigma,1.93%,39.29%,"4,065"
14,Axe,1.93%,41.54%,"12,814"
15,Dazzle,1.83%,40.26%,"7,628"
16,Monkey King,1.73%,46.21%,"7,911"
17,Alchemist,1.71%,46.98%,"3,259"
18,Luna,1.70%,41.11%,"10,236"
19,Sven,1.69%,46.01%,"6,134"
20,Crystal Maiden,1.63%,43.14%,"10,274"
21,Magnus,1.59%,45.45%,"5,635"
22,Bounty Hunter,1.55%,43.71%,"7,049"
23,Timbersaw,1.52%,45.78%,"6,306"
24,Earthshaker,1.50%,45.79%,"8,222"
25,Weaver,1.48%,44.68%,"6,352"
26,Bloodseeker,1.46%,42.17%,"6,607"
27,Kunkka,1.32%,44.60%,"6,159"
28,Templar Assassin,1.20%,44.80%,"6,861"
29,Meepo,1.12%,39.10%,"2,335"
30,Dragon Knight,1.12%,42.87%,"8,203"
31,Witch Doctor,1.09%,44.86%,"10,873"
32,Spirit Breaker,1.08%,43.38%,"7,452"
33,Gyrocopter,1.08%,45.38%,"4,832"
34,Winter Wyvern,1.08%,41.15%,"7,832"
35,Necrophos,0.94%,41.09%,"6,128"
36,Enchantress,0.93%,48.42%,"3,763"
37,Lifestealer,0.93%,43.29%,"7,478"
38,Ogre Magi,0.87%,41.53%,"14,544"
39,Tinker,0.87%,44.20%,"5,975"
40,Vengeful Spirit,0.87%,43.81%,"4,638"
41,Shadow Fiend,0.84%,46.19%,"12,027"
42,Lion,0.83%,44.68%,"20,002"
43,Hoodwink,0.79%,43.21%,"9,196"
44,Medusa,0.68%,42.04%,"8,294"
45,Tusk,0.65%,48.59%,"4,036"
46,Wraith King,0.64%,41.32%,"11,638"
47,Dark Seer,0.53%,39.39%,"2,795"
48,Windranger,0.50%,43.66%,"13,627"
49,Ember Spirit,0.42%,48.41%,"6,030"
50,Pangolier,0.40%,47.18%,"3,601"
51,Omniknight,0.40%,42.01%,"2,209"
52,Faceless Void,0.40%,45.29%,"10,957"
53,Leshrac,0.39%,47.20%,"3,807"
54,Huskar,0.35%,43.14%,"6,312"
55,Razor,0.33%,44.43%,"4,504"
56,Rubick,0.30%,49.23%,"9,698"
57,Lich,0.26%,45.61%,"6,203"
58,Death Prophet,0.19%,48.60%,"2,971"
59,Sand King,0.19%,41.71%,"7,434"
60,Legion Commander,0.18%,44.93%,"11,281"
61,Snapfire,0.18%,48.39%,"6,109"
62,Doom,0.18%,48.60%,"4,689"
63,Shadow Shaman,0.02%,43.45%,"11,194"
64,Batrider,0.02%,50.80%,"1,494"
65,Centaur Warrunner,0.01%,43.38%,"6,125"
66,Storm Spirit,-0.02%,47.94%,"6,917"
67,Treant Protector,-0.02%,42.74%,"5,058"
68,Lina,-0.06%,47.76%,"11,316"
69,Undying,-0.07%,44.91%,"4,636"
70,Tiny,-0.13%,50.86%,"5,431"
71,Disruptor,-0.28%,45.46%,"5,810"
72,Clockwerk,-0.34%,46.08%,"3,967"
73,Queen of Pain,-0.34%,48.18%,"6,556"
74,Riki,-0.35%,42.44%,"7,088"
75,Brewmaster,-0.35%,45.14%,"1,265"
76,Dark Willow,-0.35%,44.72%,"5,789"
77,Mirana,-0.46%,44.00%,"10,667"
78,Outworld Destroyer,-0.59%,45.53%,"4,898"
79,Puck,-0.61%,46.56%,"7,752"
80,Elder Titan,-0.62%,44.25%,"1,878"
