,counter_hero,disadv,certain_win,num_match
0,Huskar,2.42%,43.86%,"34,494"
1,Winter Wyvern,1.80%,43.11%,"62,033"
2,Troll Warlord,1.72%,47.86%,"26,916"
3,Faceless Void,1.62%,47.01%,"77,901"
4,Enigma,1.60%,42.19%,"27,461"
5,Tinker,1.27%,46.65%,"45,297"
6,Death Prophet,1.17%,50.73%,"17,616"
7,Elder Titan,1.12%,45.26%,"12,134"
8,Rubick,1.10%,51.59%,"84,296"
9,Necrophos,1.08%,43.61%,"41,010"
10,Doom,1.01%,50.90%,"40,389"
11,Templar Assassin,0.99%,47.92%,"54,883"
12,Medusa,0.93%,44.51%,"59,739"
13,Terrorblade,0.92%,49.22%,"33,361"
14,Wraith King,0.73%,43.90%,"84,197"
15,Invoker,0.72%,47.78%,"117,027"
16,Ursa,0.71%,47.14%,"68,615"
17,Ember Spirit,0.68%,51.27%,"48,339"
18,Riki,0.64%,44.17%,"43,347"
19,Tidehunter,0.62%,47.43%,"47,815"
20,Razor,0.60%,47.00%,"29,203"
21,Weaver,0.59%,48.49%,"34,864"
22,Queen of Pain,0.58%,50.34%,"45,558"
23,Leshrac,0.58%,50.06%,"29,311"
24,Lone Druid,0.57%,52.04%,"7,493"
25,Venomancer,0.55%,47.07%,"41,448"
26,Kunkka,0.52%,48.31%,"43,061"
27,Alchemist,0.50%,51.28%,"19,658"
28,Clinkz,0.49%,44.78%,"25,309"
29,Lich,0.48%,48.32%,"44,276"
30,Shadow Demon,0.45%,49.86%,"16,972"
31,Grimstroke,0.44%,47.61%,"61,876"
32,Timbersaw,0.43%,49.84%,"49,776"
33,Omniknight,0.43%,44.68%,"14,200"
34,Earthshaker,0.42%,49.84%,"60,137"
35,Jakiro,0.42%,46.00%,"47,006"
36,Skywrath Mage,0.41%,46.75%,"48,843"
37,Windranger,0.37%,46.60%,"95,277"
38,Juggernaut,0.36%,46.69%,"114,118"
39,Void Spirit,0.36%,50.17%,"34,424"
40,Disruptor,0.34%,47.73%,"46,005"
41,Lina,0.33%,50.45%,"78,587"
42,Bristleback,0.32%,45.88%,"85,374"
43,Pangolier,0.32%,50.31%,"30,329"
44,Sven,0.31%,50.39%,"33,865"
45,Dark Seer,0.31%,42.11%,"21,546"
46,Sniper,0.25%,47.92%,"80,946"
47,Spirit Breaker,0.23%,47.04%,"48,412"
48,Dawnbreaker,0.21%,47.94%,"37,910"
49,Batrider,0.21%,53.90%,"9,443"
50,Mirana,0.20%,46.17%,"82,368"
51,Lion,0.20%,48.14%,"151,668"
52,Enchantress,0.19%,52.31%,"22,506"
53,Puck,0.19%,48.72%,"69,198"
54,Dragon Knight,0.15%,46.60%,"62,860"
55,Spectre,0.13%,44.30%,"73,772"
56,Keeper of the Light,0.13%,50.50%,"22,606"
57,Dark Willow,0.10%,47.11%,"44,349"
58,Brewmaster,0.06%,47.59%,"8,365"
59,Shadow Shaman,0.06%,46.21%,"85,152"
60,Bane,0.02%,49.45%,"12,079"
61,Phoenix,0.02%,51.35%,"27,879"
62,Tiny,0.00%,54.00%,"44,878"
63,Mars,-0.01%,50.70%,"68,185"
64,Night Stalker,-0.02%,47.38%,"20,489"
65,Shadow Fiend,-0.04%,50.02%,"81,788"
66,Centaur Warrunner,-0.06%,46.22%,"46,357"
67,Undying,-0.06%,47.78%,"28,326"
68,Ancient Apparition,-0.07%,43.57%,"75,044"
69,Witch Doctor,-0.11%,48.93%,"76,615"
70,Monkey King,-0.14%,51.08%,"52,119"
71,Pugna,-0.22%,50.21%,"25,145"
72,Oracle,-0.23%,50.98%,"22,710"
73,Snapfire,-0.24%,51.91%,"50,690"
74,Hoodwink,-0.27%,47.03%,"71,327"
75,Slark,-0.28%,47.64%,"79,039"
76,Zeus,-0.29%,46.38%,"61,846"
77,Gyrocopter,-0.36%,49.77%,"34,084"
78,Luna,-0.38%,45.80%,"72,328"
79,Silencer,-0.40%,44.99%,"55,749"
80,Techies,-0.45%,49.73%,"46,244"
81,Clockwerk,-0.49%,49.16%,"33,546"
82,Morphling,-0.49%,49.55%,"51,102"
83,Warlock,-0.50%,46.69%,"35,576"
84,Beastmaster,-0.51%,55.12%,"5,686"
85,Slardar,-0.55%,48.11%,"46,149"
86,Ogre Magi,-0.56%,45.57%,"107,716"
87,Dazzle,-0.66%,45.37%,"52,550"
88,Phantom Assassin,-0.66%,51.47%,"81,472"
89,Treant Protector,-0.67%,46.12%,"36,617"
90,Outworld Destroyer,-0.70%,48.53%,"38,640"
91,Axe,-0.70%,46.78%,"98,852"
92,Abaddon,-0.74%,45.70%,"30,355"
93,Bloodseeker,-0.74%,47.13%,"28,710"
94,Viper,-0.75%,50.14%,"60,240"
95,Chaos Knight,-0.76%,45.52%,"40,832"
96,Io,-0.81%,54.24%,"11,401"
97,Bounty Hunter,-0.83%,48.93%,"45,140"
98,Crystal Maiden,-0.83%,48.35%,"68,394"
99,Arc Warden,-0.84%,45.80%,"20,894"
100,Chen,-0.85%,54.41%,"3,378"
101,Underlord,-0.85%,43.41%,"31,281"
102,Nature's Prophet,-0.92%,56.73%,"32,095"
103,Storm Spirit,-0.93%,51.90%,"52,999"
104,Nyx Assassin,-0.93%,46.51%,"43,582"
105,Visage,-1.03%,48.21%,"5,756"
106,Tusk,-1.17%,53.58%,"33,694"
107,Earth Spirit,-1.17%,52.19%,"25,055"
108,Meepo,-1.19%,44.06%,"11,659"
109,Naga Siren,-1.24%,47.45%,"12,762"
110,Sand King,-1.27%,45.82%,"57,996"
111,Vengeful Spirit,-1.28%,48.81%,"30,135"
112,Lycan,-1.31%,54.55%,"5,635"
113,Drow Ranger,-1.35%,46.69%,"66,001"
114,Lifestealer,-1.36%,48.35%,"53,722"
115,Legion Commander,-1.38%,49.32%,"78,958"
116,Pudge,-1.95%,49.45%,"153,036"
117,Anti-Mage,-2.19%,50.29%,"68,037"
118,Phantom Lancer,-2.55%,49.52%,"53,624"
119,Broodmother,-3.97%,51.37%,"15,963"
