,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,2.93%,43.26%,"75,077"
1,Lone Druid,2.51%,49.36%,"10,439"
2,Riki,1.92%,41.99%,"64,590"
3,Ember Spirit,1.84%,49.43%,"64,368"
4,Undying,1.82%,45.07%,"39,494"
5,Winter Wyvern,1.78%,42.22%,"84,729"
6,Meepo,1.78%,40.05%,"17,638"
7,Doom,1.65%,49.57%,"54,467"
8,Void Spirit,1.61%,48.18%,"48,832"
9,Warlock,1.61%,43.71%,"47,677"
10,Queen of Pain,1.46%,48.75%,"63,040"
11,Storm Spirit,1.42%,48.86%,"76,142"
12,Tinker,1.32%,45.80%,"64,548"
13,Dawnbreaker,1.25%,46.09%,"55,073"
14,Night Stalker,1.21%,45.28%,"29,157"
15,Lifestealer,1.19%,44.99%,"79,257"
16,Huskar,1.17%,44.26%,"50,674"
17,Faceless Void,1.15%,46.70%,"106,561"
18,Death Prophet,1.03%,50.19%,"24,741"
19,Naga Siren,0.95%,44.38%,"17,312"
20,Phoenix,0.94%,49.72%,"37,620"
21,Spectre,0.92%,42.64%,"95,305"
22,Pugna,0.92%,48.33%,"34,416"
23,Puck,0.91%,47.25%,"90,910"
24,Earth Spirit,0.90%,49.37%,"33,611"
25,Chaos Knight,0.85%,43.04%,"56,678"
26,Bane,0.83%,47.86%,"17,134"
27,Chen,0.81%,52.06%,"4,610"
28,Lycan,0.79%,51.75%,"7,880"
29,Nyx Assassin,0.74%,43.96%,"57,133"
30,Brewmaster,0.69%,46.13%,"11,978"
31,Enigma,0.66%,42.24%,"37,784"
32,Lich,0.66%,47.37%,"63,515"
33,Alchemist,0.64%,50.46%,"27,065"
34,Oracle,0.64%,49.39%,"32,468"
35,Pangolier,0.61%,49.31%,"41,725"
36,Outworld Destroyer,0.59%,46.44%,"51,930"
37,Wraith King,0.58%,43.17%,"111,769"
38,Kunkka,0.56%,47.50%,"58,651"
39,Tiny,0.56%,52.85%,"60,844"
40,Anti-Mage,0.54%,46.86%,"93,672"
41,Juggernaut,0.52%,45.73%,"165,895"
42,Leshrac,0.52%,49.42%,"40,871"
43,Dragon Knight,0.52%,45.41%,"84,973"
44,Shadow Demon,0.50%,49.09%,"22,467"
45,Abaddon,0.42%,43.65%,"41,495"
46,Morphling,0.41%,47.90%,"69,846"
47,Earthshaker,0.36%,49.19%,"78,186"
48,Tusk,0.32%,51.43%,"46,659"
49,Visage,0.25%,46.06%,"8,711"
50,Jakiro,0.20%,45.39%,"64,395"
51,Batrider,0.18%,53.34%,"12,768"
52,Venomancer,0.17%,46.66%,"57,772"
53,Ogre Magi,0.14%,44.05%,"143,833"
54,Sand King,0.13%,43.53%,"82,131"
55,Rubick,0.10%,51.92%,"109,389"
56,Templar Assassin,0.09%,48.06%,"73,924"
57,Necrophos,0.08%,43.74%,"56,387"
58,Timbersaw,0.07%,49.49%,"72,912"
59,Beastmaster,0.06%,53.94%,"7,709"
60,Io,0.03%,52.77%,"15,816"
61,Dark Willow,0.01%,46.40%,"60,546"
62,Bounty Hunter,0.01%,47.32%,"64,089"
63,Underlord,0.01%,41.56%,"44,728"
64,Terrorblade,0.00%,49.43%,"43,074"
65,Magnus,-0.02%,49.30%,"68,189"
