,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,7.61%,45.40%,"140,210"
1,Sniper,4.06%,48.92%,"149,833"
2,Nyx Assassin,3.92%,46.18%,"55,379"
3,Underlord,3.45%,43.50%,"42,288"
4,Invoker,3.06%,50.20%,"150,275"
5,Broodmother,2.85%,48.98%,"19,238"
6,Centaur Warrunner,2.58%,48.15%,"61,288"
7,Slark,2.54%,49.53%,"116,369"
8,Rubick,1.95%,55.52%,"98,958"
9,Alchemist,1.85%,54.67%,"29,716"
10,Arc Warden,1.82%,47.62%,"30,546"
11,Bristleback,1.78%,49.05%,"124,552"
12,Monkey King,1.77%,53.92%,"75,769"
13,Pangolier,1.77%,53.54%,"34,883"
14,Kunkka,1.75%,51.73%,"57,751"
15,Riki,1.61%,47.72%,"69,249"
16,Clinkz,1.57%,48.21%,"42,145"
17,Jakiro,1.55%,49.47%,"62,913"
18,Ursa,1.44%,51.06%,"93,194"
19,Tidehunter,1.43%,51.28%,"60,784"
20,Dark Willow,1.28%,50.56%,"58,085"
21,Shadow Demon,1.19%,53.82%,"22,750"
22,Chen,1.19%,57.10%,"4,608"
23,Winter Wyvern,1.18%,48.27%,"81,827"
24,Hoodwink,1.16%,50.23%,"87,670"
25,Treant Protector,1.13%,48.88%,"51,154"
26,Mirana,1.09%,49.90%,"109,812"
27,Drow Ranger,0.93%,49.03%,"110,802"
28,Dark Seer,0.87%,46.04%,"27,772"
29,Mars,0.86%,54.56%,"76,415"
30,Terrorblade,0.74%,54.15%,"46,520"
31,Snapfire,0.73%,55.70%,"62,556"
32,Bounty Hunter,0.73%,52.03%,"67,563"
33,Ember Spirit,0.70%,56.00%,"56,449"
34,Ogre Magi,0.69%,48.94%,"152,822"
35,Sand King,0.69%,48.43%,"75,534"
36,Elder Titan,0.58%,50.43%,"16,204"
37,Clockwerk,0.56%,52.77%,"40,454"
38,Faceless Void,0.56%,52.71%,"110,220"
39,Keeper of the Light,0.54%,54.81%,"31,489"
40,Tiny,0.43%,58.39%,"53,816"
41,Dragon Knight,0.41%,50.96%,"82,555"
42,Zeus,0.40%,50.29%,"96,879"
43,Tinker,0.39%,52.18%,"58,344"
44,Juggernaut,0.39%,51.28%,"171,302"
45,Tusk,0.38%,56.77%,"39,994"
46,Lich,0.35%,53.13%,"60,926"
47,Nature's Prophet,0.34%,60.40%,"49,670"
48,Venomancer,0.33%,51.93%,"61,481"
49,Shadow Shaman,0.28%,50.59%,"119,357"
50,Huskar,0.28%,50.59%,"56,857"
51,Windranger,0.27%,51.31%,"142,139"
52,Disruptor,0.20%,52.55%,"62,443"
