,counter_hero,disadv,certain_win,num_match
0,Elder Titan,13.80%,39.64%,"4,127"
1,Earthshaker,11.95%,45.69%,"22,342"
2,Winter Wyvern,10.23%,42.04%,"15,160"
3,Leshrac,8.53%,49.02%,"7,650"
4,Sven,7.85%,49.89%,"14,605"
5,Jakiro,7.25%,46.37%,"12,608"
6,Underlord,6.45%,43.42%,"8,004"
7,Pangolier,6.40%,51.12%,"7,522"
8,Lich,6.23%,49.63%,"12,941"
9,Troll Warlord,6.13%,50.46%,"11,723"
10,Shadow Fiend,5.99%,51.26%,"31,083"
11,Batrider,5.57%,55.16%,"2,783"
12,Medusa,5.31%,47.39%,"18,180"
13,Kunkka,4.81%,51.05%,"13,325"
14,Warlock,4.60%,48.71%,"10,179"
15,Timbersaw,4.56%,52.70%,"14,938"
16,Monkey King,4.44%,53.50%,"20,047"
17,Sand King,4.43%,47.39%,"15,295"
18,Huskar,4.35%,49.09%,"15,449"
19,Necrophos,3.89%,48.02%,"14,353"
20,Lina,3.74%,54.07%,"26,196"
21,Snapfire,3.70%,54.85%,"13,134"
22,Bristleback,3.66%,49.83%,"30,557"
23,Terrorblade,3.63%,53.43%,"9,656"
24,Crystal Maiden,3.30%,51.39%,"24,688"
25,Techies,2.98%,53.33%,"22,858"
26,Brewmaster,2.96%,51.67%,"2,760"
27,Death Prophet,2.85%,55.86%,"5,661"
28,Enigma,2.75%,48.27%,"9,246"
29,Viper,2.71%,53.71%,"21,124"
30,Witch Doctor,2.61%,53.28%,"24,934"
31,Beastmaster,2.45%,58.79%,"2,094"
32,Treant Protector,2.01%,50.58%,"12,511"
33,Phoenix,1.94%,56.24%,"8,494"
34,Venomancer,1.87%,52.77%,"13,005"
35,Dawnbreaker,1.82%,53.33%,"12,374"
36,Invoker,1.64%,53.89%,"38,415"
37,Tidehunter,1.54%,53.52%,"12,929"
38,Pugna,1.51%,55.37%,"8,413"
39,Naga Siren,1.25%,51.97%,"5,143"
40,Outworld Destroyer,1.23%,53.59%,"10,876"
41,Dark Willow,1.11%,53.14%,"13,807"
42,Alchemist,1.08%,57.51%,"7,473"
43,Gyrocopter,0.99%,55.33%,"9,783"
44,Drow Ranger,0.93%,51.58%,"25,483"
45,Magnus,0.93%,55.96%,"11,654"
46,Windranger,0.92%,53.10%,"31,306"
47,Slark,0.85%,53.55%,"25,074"
48,Lion,0.85%,54.51%,"48,692"
49,Tiny,0.84%,59.84%,"12,332"
50,Ancient Apparition,0.73%,49.96%,"21,158"
51,Keeper of the Light,0.67%,56.80%,"8,084"
52,Rubick,0.55%,58.88%,"24,524"
53,Centaur Warrunner,0.48%,52.74%,"13,327"
54,Dark Seer,0.31%,49.39%,"5,898"
55,Hoodwink,0.30%,53.51%,"21,913"
56,Axe,0.23%,52.94%,"29,016"
57,Grimstroke,0.15%,54.87%,"18,423"
58,Weaver,0.15%,55.84%,"14,670"
59,Sniper,0.05%,55.06%,"34,518"
60,Silencer,0.03%,51.68%,"19,983"
61,Disruptor,-0.01%,55.05%,"13,417"
62,Juggernaut,-0.34%,54.34%,"36,940"
63,Omniknight,-0.38%,52.60%,"4,867"
64,Tinker,-0.47%,55.36%,"17,237"
65,Queen of Pain,-0.56%,58.29%,"14,518"
66,Ember Spirit,-0.62%,59.32%,"14,337"
67,Nyx Assassin,-0.70%,53.35%,"11,585"
68,Ursa,-0.79%,55.56%,"22,619"
69,Skywrath Mage,-0.84%,54.96%,"19,763"
70,Lycan,-0.90%,60.87%,"2,333"
71,Morphling,-0.98%,56.92%,"17,602"
72,Dazzle,-0.98%,52.78%,"21,018"
73,Bloodseeker,-1.02%,54.42%,"12,268"
74,Razor,-1.04%,55.62%,"8,866"
75,Puck,-1.12%,56.91%,"17,539"
76,Earth Spirit,-1.31%,59.10%,"7,761"
77,Phantom Assassin,-1.31%,58.86%,"33,400"
78,Enchantress,-1.38%,60.63%,"8,492"
79,Tusk,-1.45%,60.56%,"9,202"
80,Lone Druid,-1.52%,60.95%,"3,370"
81,Slardar,-1.61%,56.11%,"14,452"
82,Visage,-1.62%,55.80%,"2,550"
83,Pudge,-1.88%,56.29%,"57,441"
84,Oracle,-1.94%,59.50%,"7,588"
85,Vengeful Spirit,-1.96%,56.44%,"11,248"
86,Lifestealer,-1.99%,55.93%,"18,366"
87,Riki,-2.09%,53.94%,"16,425"
88,Spirit Breaker,-2.31%,56.50%,"18,210"
89,Void Spirit,-2.33%,59.66%,"11,139"
90,Wraith King,-2.46%,54.04%,"28,346"
91,Mars,-2.50%,59.94%,"17,619"
92,Doom,-2.55%,61.18%,"10,733"
93,Zeus,-2.62%,55.64%,"22,543"
94,Luna,-2.63%,55.03%,"21,448"
95,Undying,-2.71%,57.36%,"10,642"
96,Clockwerk,-2.74%,58.30%,"9,068"
97,Abaddon,-2.76%,54.79%,"10,405"
98,Bounty Hunter,-2.85%,57.82%,"18,235"
99,Ogre Magi,-2.86%,54.77%,"36,652"
100,Io,-2.93%,63.10%,"5,228"
101,Shadow Demon,-2.94%,60.11%,"5,109"
102,Legion Commander,-2.98%,57.75%,"28,717"
103,Spectre,-3.01%,54.42%,"20,799"
104,Dragon Knight,-3.12%,56.78%,"18,346"
105,Chaos Knight,-3.16%,54.95%,"15,005"
106,Faceless Void,-3.44%,58.77%,"24,773"
107,Nature's Prophet,-3.80%,66.13%,"14,870"
108,Mirana,-4.19%,57.37%,"25,258"
109,Chen,-4.22%,64.59%,"1,652"
110,Bane,-4.36%,60.74%,"4,549"
111,Night Stalker,-4.53%,58.87%,"5,998"
112,Phantom Lancer,-4.55%,58.41%,"17,702"
113,Storm Spirit,-4.60%,62.24%,"18,408"
114,Broodmother,-5.78%,60.09%,"6,104"
115,Shadow Shaman,-6.17%,59.08%,"29,805"
116,Templar Assassin,-6.71%,62.29%,"19,009"
117,Arc Warden,-6.84%,58.87%,"8,262"
118,Clinkz,-7.78%,60.02%,"11,261"
119,Anti-Mage,-10.71%,65.16%,"29,142"
