,counter_hero,disadv,certain_win,num_match
0,Meepo,3.35%,42.62%,"25,274"
1,Naga Siren,2.22%,47.43%,"24,906"
2,Chen,2.17%,55.33%,"6,275"
3,Bounty Hunter,2.09%,49.72%,"98,860"
4,Broodmother,1.96%,48.92%,"25,371"
5,Lone Druid,1.86%,54.72%,"14,663"
6,Visage,1.61%,49.12%,"10,052"
7,Io,1.51%,55.90%,"20,453"
8,Axe,1.49%,48.26%,"172,495"
9,Puck,1.42%,51.29%,"115,944"
10,Terrorblade,1.36%,52.63%,"57,671"
11,Wraith King,1.30%,46.83%,"147,830"
12,Phantom Lancer,1.28%,49.37%,"100,360"
13,Lycan,1.22%,56.00%,"10,668"
14,Beastmaster,1.21%,57.48%,"10,241"
15,Tiny,1.19%,56.95%,"77,029"
16,Shadow Demon,1.18%,52.99%,"30,265"
17,Oracle,1.16%,53.45%,"38,053"
18,Ember Spirit,1.12%,54.82%,"83,403"
19,Techies,1.10%,51.97%,"104,842"
20,Rubick,1.05%,55.68%,"143,128"
21,Earth Spirit,1.02%,53.88%,"42,044"
22,Void Spirit,0.99%,53.41%,"57,361"
23,Bloodseeker,0.98%,48.97%,"62,186"
24,Abaddon,0.91%,47.55%,"54,357"
25,Legion Commander,0.85%,50.88%,"143,163"
26,Underlord,0.84%,45.05%,"55,083"
27,Omniknight,0.81%,47.80%,"26,637"
28,Tusk,0.79%,55.62%,"55,640"
29,Zeus,0.78%,48.91%,"131,050"
30,Crystal Maiden,0.78%,50.46%,"129,517"
31,Nature's Prophet,0.75%,59.30%,"63,195"
32,Necrophos,0.66%,47.52%,"80,263"
33,Nyx Assassin,0.63%,48.51%,"73,897"
34,Disruptor,0.62%,51.20%,"83,237"
35,Batrider,0.57%,57.68%,"16,553"
36,Keeper of the Light,0.56%,53.97%,"42,826"
37,Doom,0.54%,55.36%,"66,535"
38,Storm Spirit,0.54%,54.37%,"95,437"
39,Queen of Pain,0.54%,54.32%,"85,945"
40,Kunkka,0.52%,52.09%,"76,039"
41,Bane,0.49%,52.79%,"21,993"
42,Templar Assassin,0.40%,52.30%,"91,077"
43,Shadow Fiend,0.40%,53.44%,"151,391"
44,Slardar,0.39%,50.88%,"91,970"
45,Dawnbreaker,0.39%,51.50%,"66,223"
46,Spirit Breaker,0.37%,50.58%,"92,865"
47,Pudge,0.36%,51.07%,"274,869"
48,Mars,0.36%,54.26%,"107,027"
49,Riki,0.35%,47.96%,"87,862"
50,Outworld Destroyer,0.33%,51.22%,"68,742"
51,Tidehunter,0.33%,51.48%,"79,986"
52,Huskar,0.32%,49.57%,"68,474"
53,Enchantress,0.29%,56.28%,"42,622"
54,Vengeful Spirit,0.29%,50.93%,"55,765"
55,Treant Protector,0.26%,48.75%,"68,619"
56,Elder Titan,0.21%,49.84%,"21,594"
57,Alchemist,0.19%,55.58%,"36,330"
58,Winter Wyvern,0.16%,48.25%,"111,678"
59,Phoenix,0.16%,55.21%,"50,976"
60,Sven,0.15%,54.47%,"66,612"
61,Dark Willow,0.15%,50.76%,"79,291"
62,Luna,0.12%,48.89%,"129,859"
63,Warlock,0.11%,49.70%,"63,397"
64,Earthshaker,0.09%,54.07%,"108,845"
65,Centaur Warrunner,0.08%,49.71%,"80,467"
66,Pangolier,0.08%,54.48%,"47,711"
67,Magnus,0.07%,53.83%,"82,371"
68,Venomancer,0.07%,51.27%,"82,940"
69,Spectre,0.06%,47.86%,"133,254"
70,Clinkz,0.02%,48.80%,"50,585"
71,Bristleback,0.00%,49.80%,"157,744"
72,Faceless Void,0.00%,52.36%,"143,321"
73,Sand King,0.00%,48.08%,"100,352"
74,Dragon Knight,0.00%,50.41%,"106,895"
75,Troll Warlord,-0.01%,53.43%,"51,963"
76,Dazzle,-0.04%,48.27%,"102,390"
77,Undying,-0.06%,51.50%,"55,397"
78,Ogre Magi,-0.06%,48.64%,"203,019"
79,Skywrath Mage,-0.06%,50.88%,"96,470"
80,Leshrac,-0.07%,54.66%,"51,330"
81,Lina,-0.07%,54.75%,"145,072"
82,Pugna,-0.08%,53.96%,"47,132"
83,Arc Warden,-0.10%,48.61%,"36,157"
84,Lifestealer,-0.10%,50.78%,"89,762"
85,Snapfire,-0.12%,55.82%,"87,754"
86,Gyrocopter,-0.13%,53.40%,"61,613"
87,Lion,-0.17%,52.23%,"287,929"
88,Juggernaut,-0.22%,50.91%,"205,939"
89,Timbersaw,-0.24%,54.39%,"78,910"
90,Ursa,-0.26%,51.83%,"116,735"
