,counter_hero,disadv,certain_win,num_match
0,Tinker,2.41%,44.48%,"57,421"
1,Batrider,2.40%,50.72%,"11,514"
2,Beastmaster,2.32%,51.31%,"7,274"
3,Windranger,2.30%,43.71%,"122,511"
4,Viper,2.21%,46.24%,"85,241"
5,Queen of Pain,2.15%,47.81%,"58,788"
6,Venomancer,2.09%,44.50%,"51,963"
7,Ancient Apparition,1.84%,40.61%,"82,462"
8,Zeus,1.83%,43.23%,"86,491"
9,Sniper,1.51%,45.69%,"126,199"
10,Outworld Destroyer,1.41%,45.39%,"46,431"
11,Phoenix,1.39%,49.00%,"30,871"
12,Hoodwink,1.33%,44.44%,"82,284"
13,Skywrath Mage,1.32%,44.80%,"68,705"
14,Lich,1.28%,46.51%,"56,169"
15,Techies,1.21%,47.09%,"73,691"
16,Enchantress,1.19%,50.38%,"28,895"
17,Ogre Magi,1.16%,42.87%,"137,348"
18,Razor,1.12%,45.44%,"38,887"
19,Terrorblade,1.11%,48.05%,"38,784"
20,Slark,1.10%,45.28%,"106,730"
21,Snapfire,1.09%,49.64%,"57,045"
22,Night Stalker,1.04%,45.26%,"24,884"
23,Brewmaster,1.02%,45.58%,"9,934"
24,Mirana,0.91%,44.44%,"96,725"
25,Enigma,0.73%,41.95%,"36,732"
26,Weaver,0.72%,47.35%,"52,669"
27,Juggernaut,0.71%,45.33%,"154,137"
28,Gyrocopter,0.71%,47.71%,"42,499"
29,Luna,0.64%,43.74%,"90,726"
30,Bounty Hunter,0.60%,46.48%,"66,325"
31,Pugna,0.58%,48.44%,"33,788"
32,Doom,0.57%,50.39%,"42,991"
33,Tiny,0.56%,52.54%,"51,177"
34,Troll Warlord,0.49%,48.12%,"43,272"
35,Keeper of the Light,0.48%,49.18%,"29,255"
36,Disruptor,0.47%,46.61%,"54,189"
37,Mars,0.46%,49.30%,"71,734"
38,Storm Spirit,0.43%,49.61%,"68,502"
39,Phantom Assassin,0.39%,49.50%,"126,002"
40,Morphling,0.36%,47.71%,"65,245"
41,Clockwerk,0.33%,47.35%,"36,231"
42,Necrophos,0.31%,43.29%,"53,972"
43,Jakiro,0.29%,45.10%,"55,522"
44,Timbersaw,0.28%,49.04%,"63,431"
45,Silencer,0.27%,43.23%,"78,356"
46,Lina,0.26%,49.57%,"104,154"
47,Sand King,0.16%,43.35%,"65,691"
48,Faceless Void,0.15%,47.44%,"100,970"
49,Magnus,0.12%,48.92%,"52,120"
50,Witch Doctor,0.05%,47.78%,"100,601"
51,Elder Titan,0.05%,45.32%,"15,089"
52,Vengeful Spirit,0.05%,46.44%,"40,276"
53,Bane,0.00%,48.50%,"15,385"
54,Nature's Prophet,-0.05%,55.07%,"47,767"
55,Ursa,-0.08%,46.90%,"89,401"
56,Dark Willow,-0.10%,46.30%,"52,145"
57,Lion,-0.11%,47.42%,"184,938"
58,Shadow Shaman,-0.13%,45.35%,"104,899"
59,Huskar,-0.22%,45.41%,"57,042"
60,Slardar,-0.23%,46.78%,"58,967"
61,Rubick,-0.24%,51.99%,"94,569"
62,Leshrac,-0.25%,49.94%,"31,584"
63,Arc Warden,-0.27%,44.15%,"26,528"
64,Invoker,-0.28%,47.72%,"139,590"
65,Spirit Breaker,-0.35%,46.58%,"69,270"
66,Death Prophet,-0.40%,51.42%,"24,023"
67,Shadow Demon,-0.43%,49.81%,"19,783"
68,Clinkz,-0.44%,44.62%,"38,807"
69,Spectre,-0.46%,43.78%,"92,168"
70,Dragon Knight,-0.48%,46.20%,"74,001"
71,Treant Protector,-0.57%,44.95%,"48,498"
72,Chen,-0.65%,53.35%,"4,617"
73,Omniknight,-0.67%,44.73%,"18,706"
74,Winter Wyvern,-0.68%,44.50%,"71,926"
75,Bristleback,-0.71%,45.81%,"124,499"
76,Pudge,-0.76%,47.36%,"210,743"
77,Sven,-0.86%,50.64%,"49,318"
78,Undying,-0.88%,47.59%,"40,306"
79,Bloodseeker,-0.88%,46.20%,"46,784"
80,Tusk,-0.91%,52.40%,"38,613"
81,Earthshaker,-0.95%,50.25%,"73,260"
82,Visage,-0.97%,47.13%,"7,454"
83,Oracle,-1.02%,50.84%,"25,729"
84,Pangolier,-1.06%,50.76%,"30,734"
85,Lifestealer,-1.08%,47.05%,"71,769"
86,Void Spirit,-1.10%,50.70%,"41,598"
87,Nyx Assassin,-1.14%,45.69%,"48,739"
88,Crystal Maiden,-1.20%,47.69%,"92,301"
89,Tidehunter,-1.23%,48.30%,"54,644"
90,Riki,-1.25%,44.96%,"63,056"
91,Grimstroke,-1.25%,48.30%,"70,628"
92,Naga Siren,-1.25%,46.40%,"18,557"
93,Kunkka,-1.32%,49.16%,"58,318"
94,Phantom Lancer,-1.32%,47.30%,"71,569"
95,Shadow Fiend,-1.36%,50.32%,"119,160"
96,Lycan,-1.39%,53.79%,"7,910"
97,Dawnbreaker,-1.42%,48.59%,"48,449"
98,Puck,-1.47%,49.40%,"70,720"
99,Earth Spirit,-1.51%,51.59%,"28,649"
100,Alchemist,-1.53%,52.48%,"30,043"
101,Axe,-1.55%,46.52%,"141,592"
102,Templar Assassin,-1.57%,49.49%,"67,283"
103,Lone Druid,-1.58%,53.41%,"11,030"
104,Drow Ranger,-1.66%,45.92%,"98,029"
105,Chaos Knight,-1.66%,45.34%,"57,428"
106,Medusa,-1.74%,46.09%,"75,773"
107,Abaddon,-1.75%,45.66%,"39,115"
108,Centaur Warrunner,-1.77%,46.90%,"56,101"
109,Dazzle,-1.77%,45.39%,"73,292"
110,Ember Spirit,-1.82%,52.86%,"58,561"
111,Warlock,-1.95%,47.14%,"42,519"
112,Underlord,-1.96%,43.47%,"36,337"
113,Io,-2.01%,54.63%,"15,267"
114,Wraith King,-2.27%,45.73%,"109,222"
115,Legion Commander,-2.28%,49.18%,"113,544"
116,Dark Seer,-2.42%,43.85%,"24,071"
117,Anti-Mage,-2.83%,49.93%,"94,698"
118,Broodmother,-3.22%,49.61%,"18,806"
119,Meepo,-4.73%,46.50%,"20,057"
