,counter_hero,disadv,certain_win,num_match
0,Axe,3.83%,43.33%,"107,270"
1,Anti-Mage,3.82%,45.34%,"88,410"
2,Outworld Destroyer,3.37%,45.34%,"46,043"
3,Ancient Apparition,3.32%,41.12%,"64,618"
4,Nyx Assassin,2.81%,43.66%,"41,724"
5,Puck,2.79%,47.08%,"72,012"
6,Storm Spirit,2.52%,49.44%,"66,945"
7,Lion,2.51%,46.94%,"160,427"
8,Techies,2.50%,47.73%,"61,156"
9,Broodmother,2.31%,45.82%,"17,460"
10,Earthshaker,2.24%,48.99%,"67,867"
11,Tiny,2.10%,52.88%,"48,200"
12,Phantom Lancer,2.05%,45.88%,"64,964"
13,Rubick,2.04%,51.66%,"91,786"
14,Earth Spirit,2.01%,49.88%,"27,261"
15,Bane,1.87%,48.48%,"14,194"
16,Ursa,1.76%,47.02%,"84,836"
17,Lina,1.68%,50.10%,"96,384"
18,Visage,1.61%,46.36%,"7,495"
19,Shadow Fiend,1.60%,49.38%,"111,061"
20,Void Spirit,1.45%,50.02%,"39,779"
21,Centaur Warrunner,1.37%,45.69%,"51,164"
22,Tinker,1.24%,47.60%,"56,002"
23,Elder Titan,1.20%,46.08%,"13,859"
24,Beastmaster,1.16%,54.39%,"6,501"
25,Timbersaw,1.16%,50.07%,"55,310"
26,Terrorblade,1.13%,49.96%,"37,975"
27,Naga Siren,1.12%,45.91%,"15,849"
28,Chaos Knight,1.01%,44.63%,"47,545"
29,Sand King,1.01%,44.45%,"62,746"
30,Luna,0.99%,45.36%,"82,078"
31,Skywrath Mage,0.96%,47.10%,"60,008"
32,Dark Willow,0.96%,47.15%,"54,544"
33,Oracle,0.91%,50.78%,"27,266"
34,Dragon Knight,0.87%,46.80%,"65,552"
35,Doom,0.84%,52.03%,"42,303"
36,Grimstroke,0.78%,48.19%,"68,462"
37,Queen of Pain,0.78%,51.11%,"52,742"
38,Medusa,0.76%,45.56%,"68,746"
39,Mirana,0.72%,46.57%,"93,813"
40,Batrider,0.72%,54.35%,"10,173"
41,Ogre Magi,0.68%,45.28%,"124,282"
42,Pudge,0.60%,48.07%,"188,248"
43,Dark Seer,0.55%,42.72%,"23,863"
44,Meepo,0.51%,43.07%,"17,614"
45,Magnus,0.50%,50.45%,"51,103"
46,Slark,0.47%,47.82%,"101,126"
47,Crystal Maiden,0.39%,48.07%,"88,706"
48,Riki,0.36%,45.32%,"53,796"
49,Faceless Void,0.33%,49.19%,"95,128"
50,Io,0.15%,54.31%,"15,395"
51,Tusk,0.15%,53.22%,"36,016"
52,Leshrac,0.11%,51.49%,"30,733"
53,Shadow Shaman,0.09%,47.08%,"96,586"
54,Hoodwink,0.08%,47.60%,"81,695"
55,Disruptor,0.04%,48.96%,"50,316"
56,Snapfire,0.03%,52.62%,"56,421"
57,Night Stalker,0.02%,48.26%,"21,596"
58,Death Prophet,0.02%,52.87%,"20,562"
59,Dawnbreaker,-0.01%,49.09%,"45,117"
60,Troll Warlord,-0.03%,50.56%,"36,142"
61,Wraith King,-0.05%,45.53%,"96,627"
62,Vengeful Spirit,-0.09%,48.52%,"37,047"
63,Tidehunter,-0.12%,49.11%,"48,879"
64,Sven,-0.22%,51.89%,"40,827"
65,Kunkka,-0.26%,50.02%,"48,034"
66,Necrophos,-0.33%,45.88%,"53,660"
67,Invoker,-0.36%,49.72%,"139,917"
68,Monkey King,-0.38%,52.28%,"65,250"
69,Mars,-0.45%,52.10%,"69,846"
70,Zeus,-0.47%,47.45%,"75,617"
71,Spirit Breaker,-0.48%,48.66%,"60,870"
72,Pangolier,-0.52%,52.13%,"31,095"
73,Clockwerk,-0.54%,50.16%,"37,015"
74,Keeper of the Light,-0.55%,52.16%,"28,142"
75,Gyrocopter,-0.56%,50.93%,"39,217"
76,Abaddon,-0.56%,46.40%,"35,920"
77,Pugna,-0.59%,51.55%,"31,053"
78,Lich,-0.67%,50.40%,"54,526"
79,Templar Assassin,-0.69%,50.53%,"61,298"
80,Drow Ranger,-0.74%,46.97%,"87,403"
81,Slardar,-0.75%,49.23%,"53,453"
82,Shadow Demon,-0.81%,52.12%,"19,067"
83,Bounty Hunter,-0.82%,49.85%,"57,595"
84,Enigma,-0.90%,45.60%,"32,890"
85,Silencer,-0.93%,46.39%,"67,782"
86,Windranger,-1.09%,48.89%,"121,679"
87,Weaver,-1.10%,51.12%,"45,761"
88,Chen,-1.12%,55.75%,"4,470"
89,Legion Commander,-1.15%,50.02%,"95,123"
90,Warlock,-1.19%,48.28%,"43,159"
91,Jakiro,-1.24%,48.57%,"55,051"
92,Lone Druid,-1.26%,54.94%,"9,694"
93,Winter Wyvern,-1.34%,47.08%,"76,619"
94,Brewmaster,-1.50%,50.14%,"9,538"
95,Lycan,-1.51%,55.77%,"6,794"
96,Spectre,-1.55%,46.81%,"82,362"
97,Witch Doctor,-1.61%,51.32%,"98,465"
98,Phoenix,-1.62%,54.01%,"33,753"
99,Clinkz,-1.72%,47.88%,"34,597"
100,Underlord,-1.75%,45.21%,"33,871"
101,Enchantress,-1.85%,55.44%,"30,042"
102,Omniknight,-1.85%,47.91%,"17,662"
103,Dazzle,-1.95%,47.50%,"73,286"
104,Ember Spirit,-1.98%,54.92%,"50,748"
105,Bristleback,-2.01%,49.02%,"102,850"
106,Treant Protector,-2.05%,48.41%,"46,547"
107,Undying,-2.13%,50.80%,"36,699"
108,Alchemist,-2.19%,55.03%,"24,432"
109,Huskar,-2.20%,49.38%,"47,845"
110,Venomancer,-2.22%,50.77%,"51,157"
111,Lifestealer,-2.24%,50.15%,"67,231"
112,Bloodseeker,-2.28%,49.58%,"37,131"
113,Juggernaut,-2.50%,50.27%,"147,836"
114,Nature's Prophet,-2.53%,59.45%,"43,145"
115,Arc Warden,-3.40%,49.31%,"26,073"
116,Razor,-3.57%,52.17%,"33,080"
117,Viper,-3.76%,54.04%,"75,876"
118,Phantom Assassin,-4.02%,55.63%,"117,275"
119,Sniper,-4.64%,53.53%,"110,493"
