,counter_hero,disadv,certain_win,num_match
0,Underlord,8.18%,38.50%,"8,836"
1,Leshrac,7.67%,46.68%,"9,265"
2,Sand King,7.48%,41.24%,"16,805"
3,Dark Seer,6.49%,40.02%,"6,210"
4,Earthshaker,5.04%,49.05%,"20,174"
5,Necrophos,4.97%,43.74%,"14,356"
6,Axe,4.97%,45.28%,"28,160"
7,Timbersaw,4.72%,49.30%,"13,380"
8,Medusa,4.61%,44.93%,"24,003"
9,Elder Titan,4.57%,45.66%,"3,863"
10,Jakiro,4.53%,45.82%,"13,292"
11,Sven,4.45%,50.00%,"16,687"
12,Gyrocopter,4.00%,49.16%,"11,322"
13,Legion Commander,3.87%,48.08%,"25,666"
14,Kunkka,3.74%,48.88%,"14,243"
15,Centaur Warrunner,3.49%,46.59%,"13,576"
16,Dazzle,3.41%,45.33%,"18,451"
17,Juggernaut,3.34%,47.78%,"39,075"
18,Phoenix,2.93%,52.04%,"7,809"
19,Crystal Maiden,2.91%,48.54%,"23,180"
20,Lina,2.90%,51.64%,"25,064"
21,Ember Spirit,2.90%,52.67%,"15,461"
22,Enigma,2.83%,44.96%,"9,621"
23,Snapfire,2.66%,52.65%,"13,628"
24,Lion,2.33%,49.96%,"44,635"
25,Grimstroke,2.20%,49.67%,"16,739"
26,Shadow Fiend,2.03%,51.73%,"28,315"
27,Zeus,1.99%,48.03%,"22,818"
28,Puck,1.99%,50.70%,"16,761"
29,Tiny,1.96%,55.52%,"12,120"
30,Lich,1.86%,50.69%,"13,834"
31,Tidehunter,1.75%,50.10%,"13,759"
32,Brewmaster,1.59%,49.83%,"2,611"
33,Dawnbreaker,1.33%,50.59%,"11,758"
34,Void Spirit,1.22%,52.94%,"9,886"
35,Beastmaster,1.22%,56.80%,"2,081"
36,Treant Protector,1.21%,48.13%,"12,322"
37,Magnus,1.11%,52.56%,"12,761"
38,Batrider,1.05%,56.49%,"3,045"
39,Keeper of the Light,0.99%,53.26%,"7,750"
40,Monkey King,0.98%,53.59%,"18,556"
41,Pangolier,0.97%,53.28%,"7,990"
42,Omniknight,0.95%,48.06%,"5,040"
43,Disruptor,0.94%,50.90%,"13,666"
44,Winter Wyvern,0.91%,47.89%,"17,692"
45,Alchemist,0.86%,54.50%,"7,523"
46,Troll Warlord,0.85%,52.42%,"11,514"
47,Warlock,0.75%,49.28%,"10,740"
48,Sniper,0.60%,51.33%,"34,128"
49,Earth Spirit,0.51%,54.07%,"6,906"
50,Invoker,0.50%,51.71%,"34,664"
51,Queen of Pain,0.46%,54.08%,"14,931"
52,Rubick,0.45%,55.77%,"22,225"
53,Witch Doctor,0.38%,52.16%,"25,922"
54,Lifestealer,0.36%,50.45%,"17,531"
55,Phantom Assassin,0.35%,54.10%,"32,218"
56,Luna,-0.12%,49.43%,"24,416"
57,Techies,-0.13%,53.07%,"28,259"
58,Doom,-0.27%,55.72%,"11,152"
59,Storm Spirit,-0.29%,54.87%,"16,114"
60,Dragon Knight,-0.37%,50.91%,"19,003"
61,Bristleback,-0.38%,50.36%,"29,494"
62,Drow Ranger,-0.39%,49.61%,"26,249"
63,Nyx Assassin,-0.41%,49.86%,"12,434"
64,Hoodwink,-0.67%,51.21%,"21,325"
65,Death Prophet,-0.70%,56.18%,"6,371"
66,Tusk,-0.73%,56.63%,"9,557"
67,Windranger,-0.75%,51.43%,"31,982"
68,Clockwerk,-0.95%,53.32%,"9,376"
69,Venomancer,-0.98%,52.34%,"14,625"
70,Pudge,-1.05%,52.36%,"53,764"
71,Pugna,-1.07%,54.70%,"8,779"
72,Undying,-1.11%,52.57%,"10,651"
73,Meepo,-1.29%,48.07%,"5,149"
74,Outworld Destroyer,-1.33%,52.88%,"11,285"
75,Anti-Mage,-1.35%,53.17%,"24,138"
76,Mars,-1.35%,55.62%,"17,311"
77,Huskar,-1.36%,51.42%,"14,718"
78,Morphling,-1.38%,54.09%,"15,847"
79,Abaddon,-1.43%,50.25%,"10,457"
80,Slark,-1.44%,52.50%,"25,267"
81,Spirit Breaker,-1.57%,52.56%,"18,018"
82,Weaver,-1.59%,54.31%,"14,052"
83,Skywrath Mage,-1.82%,52.67%,"18,561"
84,Bloodseeker,-1.85%,52.00%,"12,548"
85,Shadow Demon,-1.87%,55.82%,"5,244"
86,Enchantress,-1.93%,57.96%,"8,175"
87,Vengeful Spirit,-2.02%,53.28%,"10,868"
88,Faceless Void,-2.12%,54.30%,"25,845"
89,Ancient Apparition,-2.14%,49.50%,"22,701"
90,Spectre,-2.19%,50.42%,"22,461"
91,Oracle,-2.33%,56.66%,"6,807"
92,Dark Willow,-2.42%,53.36%,"13,852"
93,Nature's Prophet,-2.42%,61.55%,"13,605"
94,Mirana,-2.51%,52.56%,"24,903"
95,Terrorblade,-2.52%,56.27%,"10,403"
96,Viper,-2.56%,55.51%,"22,649"
97,Io,-2.58%,59.49%,"4,216"
98,Arc Warden,-2.72%,51.55%,"7,017"
99,Tinker,-2.76%,54.36%,"14,953"
100,Shadow Shaman,-2.81%,52.72%,"28,573"
101,Phantom Lancer,-2.82%,53.52%,"18,645"
102,Wraith King,-3.62%,51.91%,"29,796"
103,Ursa,-3.69%,55.11%,"21,333"
104,Silencer,-3.88%,52.21%,"20,836"
105,Ogre Magi,-3.91%,52.51%,"37,300"
106,Riki,-4.04%,52.61%,"16,621"
107,Templar Assassin,-4.26%,56.73%,"16,248"
108,Slardar,-4.34%,55.55%,"15,841"
109,Razor,-4.47%,55.79%,"9,864"
110,Bane,-5.00%,58.16%,"4,713"
111,Lone Druid,-5.00%,61.22%,"3,290"
112,Chaos Knight,-5.34%,53.84%,"16,387"
113,Bounty Hunter,-5.35%,57.01%,"17,514"
114,Night Stalker,-6.04%,57.15%,"6,647"
115,Chen,-6.39%,63.50%,"1,411"
116,Visage,-6.93%,57.92%,"2,065"
117,Lycan,-7.18%,63.97%,"2,423"
118,Clinkz,-7.42%,56.45%,"10,183"
119,Broodmother,-7.53%,58.61%,"5,376"
