,counter_hero,disadv,certain_win,num_match
0,Meepo,3.00%,33.89%,"14,888"
1,Morphling,2.79%,40.55%,"43,144"
2,Spectre,2.77%,36.05%,"58,693"
3,Batrider,2.52%,45.70%,"8,147"
4,Lycan,2.41%,44.93%,"6,079"
5,Phantom Assassin,2.14%,43.02%,"88,223"
6,Earth Spirit,2.12%,43.06%,"17,589"
7,Terrorblade,1.96%,42.41%,"25,781"
8,Naga Siren,1.90%,38.45%,"13,606"
9,Beastmaster,1.87%,46.86%,"5,563"
10,Broodmother,1.58%,39.95%,"12,437"
11,Mars,1.56%,43.42%,"43,977"
12,Chen,1.40%,46.30%,"3,674"
13,Dawnbreaker,1.37%,41.05%,"30,717"
14,Gyrocopter,1.34%,42.31%,"27,507"
15,Axe,1.31%,39.17%,"79,034"
16,Spirit Breaker,1.28%,40.26%,"47,529"
17,Legion Commander,1.19%,41.11%,"71,340"
18,Storm Spirit,1.14%,44.09%,"44,966"
19,Enchantress,1.13%,45.58%,"20,331"
20,Chaos Knight,1.10%,37.94%,"38,806"
21,Magnus,0.99%,43.27%,"32,095"
22,Snapfire,0.97%,44.94%,"35,077"
23,Slark,0.88%,40.81%,"66,951"
24,Pudge,0.87%,41.20%,"130,797"
25,Shadow Fiend,0.74%,43.52%,"76,300"
26,Io,0.66%,46.93%,"10,334"
27,Crystal Maiden,0.66%,41.17%,"61,179"
28,Slardar,0.64%,41.20%,"38,935"
29,Night Stalker,0.54%,41.10%,"15,426"
30,Bounty Hunter,0.53%,41.83%,"43,094"
31,Tusk,0.52%,46.08%,"23,418"
32,Visage,0.49%,40.89%,"5,339"
33,Anti-Mage,0.48%,41.95%,"61,651"
34,Tiny,0.46%,47.72%,"32,386"
35,Alchemist,0.43%,45.56%,"20,101"
36,Clockwerk,0.43%,42.52%,"23,154"
37,Winter Wyvern,0.41%,38.80%,"45,794"
38,Centaur Warrunner,0.41%,40.07%,"34,670"
39,Templar Assassin,0.32%,42.85%,"41,229"
40,Luna,0.30%,39.44%,"59,821"
41,Void Spirit,0.27%,44.49%,"25,165"
42,Earthshaker,0.27%,44.21%,"52,944"
43,Monkey King,0.24%,44.93%,"47,768"
44,Brewmaster,0.21%,41.70%,"6,757"
45,Sand King,0.18%,38.71%,"43,860"
46,Lone Druid,0.18%,46.67%,"8,522"
47,Shadow Demon,0.17%,44.39%,"13,077"
48,Leshrac,0.16%,44.72%,"20,911"
49,Medusa,0.12%,39.60%,"49,673"
50,Timbersaw,0.11%,44.40%,"39,049"
51,Arc Warden,0.10%,39.13%,"18,138"
52,Wraith King,0.09%,38.83%,"68,803"
53,Outworld Destroyer,0.08%,42.04%,"28,953"
54,Mirana,-0.05%,40.70%,"63,198"
55,Treant Protector,-0.05%,39.79%,"31,386"
56,Doom,-0.10%,46.22%,"26,566"
57,Bane,-0.17%,43.88%,"10,234"
58,Lina,-0.17%,45.16%,"67,752"
59,Lion,-0.24%,42.80%,"127,521"
60,Pangolier,-0.34%,45.20%,"20,027"
61,Underlord,-0.34%,37.28%,"22,572"
62,Queen of Pain,-0.34%,45.49%,"39,006"
63,Jakiro,-0.34%,41.07%,"35,222"
64,Ember Spirit,-0.35%,46.51%,"35,203"
65,Vengeful Spirit,-0.36%,42.14%,"26,792"
66,Lich,-0.39%,43.45%,"35,520"
67,Nyx Assassin,-0.40%,40.30%,"29,900"
68,Dragon Knight,-0.42%,41.46%,"45,911"
69,Phantom Lancer,-0.42%,41.70%,"45,458"
70,Kunkka,-0.43%,43.50%,"36,394"
71,Shadow Shaman,-0.47%,41.00%,"69,639"
72,Rubick,-0.47%,47.36%,"56,764"
73,Zeus,-0.59%,40.93%,"60,645"
74,Dazzle,-0.64%,39.64%,"47,623"
75,Hoodwink,-0.70%,41.75%,"53,250"
76,Disruptor,-0.76%,43.12%,"33,994"
77,Abaddon,-0.78%,40.05%,"24,149"
78,Tidehunter,-0.82%,43.16%,"33,687"
79,Sven,-0.87%,45.79%,"36,011"
80,Ursa,-0.87%,42.97%,"53,170"
81,Elder Titan,-0.90%,41.62%,"9,646"
82,Keeper of the Light,-0.91%,45.77%,"20,512"
83,Phoenix,-0.94%,46.54%,"20,385"
84,Faceless Void,-0.95%,43.75%,"65,125"
85,Ogre Magi,-0.98%,40.26%,"91,340"
86,Invoker,-1.00%,43.65%,"91,733"
87,Troll Warlord,-1.01%,44.82%,"29,301"
88,Oracle,-1.01%,46.00%,"15,516"
89,Undying,-1.10%,43.08%,"26,556"
90,Riki,-1.12%,40.18%,"42,720"
91,Skywrath Mage,-1.16%,42.55%,"47,873"
92,Witch Doctor,-1.18%,44.21%,"66,711"
93,Clinkz,-1.18%,40.70%,"26,729"
94,Windranger,-1.18%,42.33%,"83,637"
95,Death Prophet,-1.18%,47.34%,"16,085"
96,Puck,-1.21%,44.38%,"43,968"
97,Huskar,-1.34%,41.84%,"38,696"
98,Techies,-1.35%,44.74%,"69,051"
99,Omniknight,-1.41%,40.83%,"12,933"
100,Enigma,-1.48%,39.59%,"24,760"
101,Grimstroke,-1.48%,43.80%,"42,368"
102,Necrophos,-1.50%,40.46%,"37,628"
103,Dark Seer,-1.57%,38.40%,"15,872"
104,Tinker,-1.58%,43.75%,"38,356"
105,Bristleback,-1.60%,42.00%,"76,543"
106,Weaver,-1.62%,44.91%,"36,935"
107,Warlock,-1.63%,42.13%,"26,318"
108,Pugna,-1.71%,45.95%,"22,516"
109,Silencer,-1.81%,40.65%,"52,479"
110,Ancient Apparition,-1.91%,39.69%,"55,569"
111,Dark Willow,-1.93%,43.42%,"33,794"
112,Bloodseeker,-2.02%,42.63%,"32,320"
113,Sniper,-2.03%,44.28%,"92,499"
114,Juggernaut,-2.07%,43.23%,"97,113"
115,Viper,-2.14%,45.71%,"58,415"
116,Drow Ranger,-2.15%,41.72%,"65,356"
117,Razor,-2.29%,44.19%,"24,135"
118,Venomancer,-2.64%,44.49%,"37,456"
119,Lifestealer,-3.12%,44.38%,"42,330"
